電腦編號,里別,防空疏散避難設施地址,地下層數,可容納人數,轄管分局,備駐
QMA00038,大同里,屏東縣屏東市大同里06鄰民族路87號之1,1,22.0,屏東分局,
QMA00037,大同里,屏東縣屏東市大同里06鄰民族路95號,1,18.0,屏東分局,
QMA00036,大同里,屏東縣屏東市大同里06鄰民族路97號,1,18.0,屏東分局,
QMA00030,大同里,屏東縣屏東市大同里07鄰民族路113號,1,16.0,屏東分局,
QMA00028,大同里,屏東縣屏東市大同里08鄰民族路119號,1,26.0,屏東分局,
QMA00017,大同里,屏東縣屏東市大同里07鄰民族路121號,1,23.0,屏東分局,
QMA00019,大同里,屏東縣屏東市大同里07鄰民族路127號,1,79.0,屏東分局,
QMA00040,大同里,屏東縣屏東市大同里06鄰民族路143號,1,40.0,屏東分局,
QMA00136,大同里,屏東縣屏東市大同里06鄰民族路153號,1,23.0,屏東分局,
QMA00025,大同里,屏東縣屏東市大同里08鄰民族路159號,1,87.0,屏東分局,
QMA00108,大同里,屏東縣屏東市大同里01鄰上海路1號,1,24.0,屏東分局,
" QMA00107",大同里,屏東縣屏東市大同里01鄰上海路6號,1,26.0,屏東分局,
QMA00106,大同里,屏東縣屏東市大同里01鄰上海路8號,1,40.0,屏東分局,
QMA00113,大同里,屏東縣屏東市大同里01鄰上海路10號,1,85.0,屏東分局,
QMA00109,大同里,屏東縣屏東市大同里01鄰上海路11號,1,33.0,屏東分局,
QMA00110,大同里,屏東縣屏東市大同里01鄰上海路11號之1,1,25.0,屏東分局,
QMA00114,大同里,屏東縣屏東市大同里01鄰上海路12號,1,53.0,屏東分局,
QMA00112,大同里,屏東縣屏東市大同里01鄰上海路13號之1,1,61.0,屏東分局,
QMA00103,大同里,屏東縣屏東市大同里03鄰上海路18號,1,33.0,屏東分局,
QMA00111,大同里,屏東縣屏東市大同里01鄰上海路18號,1,223.0,屏東分局,
QMA00104,大同里,屏東縣屏東市大同里03鄰上海路20號,1,33.0,屏東分局,
QMA00105,大同里,屏東縣屏東市大同里03鄰上海路27號,1,40.0,屏東分局,
QMA00115,大同里,屏東縣屏東市大同里01鄰上海路40號,1,43.0,屏東分局,
QMA00116,大同里,屏東縣屏東市大同里01鄰上海路42號,1,69.0,屏東分局,
QMA00051,大同里,屏東縣屏東市大同里03鄰上海路44號,1,29.0,屏東分局,
QMA00052,大同里,屏東縣屏東市大同里03鄰上海路46號,1,20.0,屏東分局,
QMA00425,大同里,屏東縣屏東市大同里04鄰上海路49號,1,26.0,屏東分局,
QMA00,大同里,屏東縣屏東市大同里05鄰上海路50號,1,20.0,屏東分局,
QMA00399,大同里,屏東縣屏東市大同里07鄰上海路59號,1,341.0,屏東分局,
QMA00421,大同里,屏東縣屏東市大同里05鄰上海路60號,1,26.0,屏東分局,共有2處、總計可容納人數52人
QMA00447,大同里,屏東縣屏東市大同里05鄰上海路60號,1,26.0,屏東分局,共有2處、總計可容納人數52人
QMA00388,大同里,屏東縣屏東市大同里06鄰上海路88號,1,30.0,屏東分局,共有2處、總計可容納人數71人
QMA00398,大同里,屏東縣屏東市大同里07鄰上海路88號,1,41.0,屏東分局,共有2處、總計可容納人數71人
QMA00120,大同里,屏東縣屏東市大同里04鄰逢甲路1號,1,3369.0,屏東分局,
QMA00427,大同里,屏東縣屏東市大同里03鄰逢甲路6號,1,33.0,屏東分局,
QMA00122,大同里,屏東縣屏東市大同里04鄰逢甲路7-9號,1,99.0,屏東分局,
QMA00121,大同里,屏東縣屏東市大同里04鄰逢甲路13號,1,155.0,屏東分局,
QMA00426,大同里,屏東縣屏東市大同里01鄰逢甲路18號,1,26.0,屏東分局,共有2處、總計可容納人數59人
QMA00424,大同里,屏東縣屏東市大同里01鄰逢甲路18號,1,33.0,屏東分局,共有2處、總計可容納人數59人
QMA00117,大同里,屏東縣屏東市大同里01鄰逢甲路20號,1,26.0,屏東分局,
QMA00420,大同里,屏東縣屏東市大同里03鄰逢甲路22號,1,33.0,屏東分局,共有2處、總計可容納人數66人
QMA00430,大同里,屏東縣屏東市大同里02鄰逢甲路22號,1,33.0,屏東分局,共有2處、總計可容納人數66人
QMA00119,大同里,屏東縣屏東市大同里04鄰逢甲路25號,1,41.0,屏東分局,
QMA00431,大同里,屏東縣屏東市大同里02鄰逢甲路26號,1,26.0,屏東分局,共有3處、總計可容納人數92人
QMA00435,大同里,屏東縣屏東市大同里02鄰逢甲路26號,1,33.0,屏東分局,共有3處、總計可容納人數92人
QMA00434,大同里,屏東縣屏東市大同里02鄰逢甲路26號,1,33.0,屏東分局,共有3處、總計可容納人數92人
QMA00429,大同里,屏東縣屏東市大同里02鄰逢甲路30號,1,26.0,屏東分局,
QMA00,大同里,屏東縣屏東市大同里02鄰逢甲路36號,1,33.0,屏東分局,
QMA00403,大同里,屏東縣屏東市大同里04鄰逢甲路46號,1,30.0,屏東分局,
QMA00393,大同里,屏東縣屏東市大同里05鄰逢甲路50號,1,33.0,屏東分局,
QMA00442,大同里,屏東縣屏東市大同里01鄰逢甲路60號,1,226.0,屏東分局,
