電腦編號,鄉鎮市區,村里別,地址,經緯度,地下樓層,可容納人數,轄管分局,備註
YA0005,岡山區,維新里,高雄市永安區維新村永工二路7號,"22.811544,120.251532",1,394.0,岡山分局,
YA0007,岡山區,維新里,高雄市永安區維新里永工二路16號,"22.814781,120.252729",1,40.0,岡山分局,
YA0008,岡山區,維新里,高雄市永安區維新里永工三路8號,"22.81303,120.250623",1,110.0,岡山分局,
YA0010,岡山區,維新里,高雄市永安區維新里13鄰永工一路6號,"22.812259,120.254784",1,179.0,岡山分局,
YA0012,岡山區,維新里,高雄市永安區維新里永工九路3號,"22.815676,120.250789",1,25.0,岡山分局,
YA0013,岡山區,維新里,高雄市永安區永工二路22號,"22.816389,120.252368",1,137.0,岡山分局,
YA0014,岡山區,維新里,高雄市永安區維新里13鄰永工九路2號,"22.816258,120.251328",1,56.0,岡山分局,
YA0015,岡山區,維新里,高雄市永安區維新里永工五路7號,"22.808527,120.250279",1,409.0,岡山分局,
YA0018,岡山區,維新里,高雄市永安區維新里永工一路19號,"22.81620205816521, 120.25425167261935",1,464.0,岡山分局,
YA0019,岡山區,維新里,高雄市永安區維新里永工三路2號,"22.810025,120.250444",1,81.0,岡山分局,
YA0020,岡山區,維新里,高雄市永安區永工三路13號,"22.814758,120.249082",1,106.0,岡山分局,
YA0021,岡山區,維新里,高雄市永安區維新里永工五路3號,"22.809145,120.254521",1,95.0,岡山分局,
YA0023,岡山區,維新里,高雄市永安區永工一路19號,"22.81620205816521, 120.25425167261935",1,157.0,岡山分局,
YA0024,岡山區,維新里,高雄市永安區永工一路3號,"22.810687,120.254039",1,60.0,岡山分局,
YA0025,岡山區,維新里,高雄市永安區維新里永工三路3號,"22.810922,120.249748",1,543.0,岡山分局,
YA0026,岡山區,維新里,高雄市永安區永工一路11號,"22.814229,120.253648",1,50.0,岡山分局,
YA0028,岡山區,維新里,高雄市永安區永安維新村永工九路6號,"22.816486,120.250221",1,90.0,岡山分局,
YA0029,岡山區,維新里,高雄市永安區維新里永工三路15號,"22.815902,120.24945",1,354.0,岡山分局,
YA0030,岡山區,維新里,高雄市永安區維新村永工三路7號,"22.813179,120.249532",1,75.0,岡山分局,
YA0032,岡山區,維新里,高雄市永安區維新里永工三路6號,"22.81208,120.250476",1,107.0,岡山分局,
YA0033,岡山區,維新里,高雄市永安區永工二路6號,"22.80955,120.252348",1,583.0,岡山分局,
YA0035,岡山區,維新里,高雄市永安區永安工業區永工三路4號,"22.811257,120.250142",1,390.0,岡山分局,
YA0036,岡山區,維新里,高雄市永安區維新里永工一路10號,"22.814674,120.254701",1,57.0,岡山分局,
YA0037,岡山區,維新里,高雄市永安區維新里永工一路5號,"22.811754,120.253938",1,426.0,岡山分局,
YA0038,岡山區,維新里,高雄市永安區永工三路13號,"22.814758,120.249082",1,91.0,岡山分局,
YA0039,岡山區,維新里,高雄市永安區維新村永工三路7號,"22.81322662324484, 120.24980470512358",1,101.0,岡山分局,
YA0042,岡山區,維新里,高雄市永安區永工三路15號,"22.815902,120.24945",1,749.0,岡山分局,
YA0044,岡山區,保安里,高雄市永安區保寧里保興二路10號,"22.825534,120.25114",1,45.0,岡山分局,
YA0046,岡山區,新港里,高雄市永安區新港里新興路1之20號,"22.815356,120.210244",1,155.0,岡山分局,
YA0047,岡山區,新港里,高雄市永安區新港里新興路1之21號,"22.816244,120.20986",1,55.0,岡山分局,
YA0048,岡山區,永安里,高雄市永安區永安里永安路34號,"22.818428,120.224104",1,221.0,岡山分局,
YA0049,岡山區,維新里,高雄市永安區維新里永工三路9號,"22.813485,120.249736",1,102.0,岡山分局,
YA0050,岡山區,新港里,高雄市永安區興達路6號,"22.858934,120.200537",1,524.0,岡山分局,
YA0051,岡山區,維新里,高雄市永安區維新里永工三路9號,"22.813485,120.249736",1,588.0,岡山分局,
NM0002,內門區,觀亭里,高雄市內門區觀亭村中正路115巷1號,"22.917404,120.455868",1,221.0,旗山分局,
NM0004,內門區,觀亭里,高雄市內門區觀亭里南屏路148號,"22.921605,120.455622",1,321.0,旗山分局,
NM0005,內門區,內南里,高雄市內門區內南里菜園頂9號,"22.91245137,120.47039709582",1,1084.0,旗山分局,
NM0006,內門區,內南里,高雄市內門區內南里菜園頂9號,"22.912372083334404, 120.47040010107642",1,818.0,旗山分局,
NM0007,內門區,觀亭里,高雄市內門區中正路115巷18之5號,"22.916696,120.455892",1,1995.0,旗山分局,
NM0008,內門區,觀亭里,高雄市內門區中正路115巷18之5號,"22.9170645797049, 120.45533059457475",1,68.0,旗山分局,
NM0001,內門區,內門里,高雄市內門區內門村內門20號,"22.942858,120.462501",1,222.0,旗山分局,
JX0001,甲仙區,和安里,甲仙區中山路56號,"23.083883,120.587301",1,139.0,旗山分局,
JX0002,甲仙區,西安里,高雄市甲仙區林森路44號,"23.08300852,120.589121153868",1,101.0,旗山分局,
JX0003,甲仙區,東安里,高雄市甲仙區東安里文化南路18號,"23.081638,120.589814",1,66.0,旗山分局,
JX0004,甲仙區,和安里,高雄市甲仙區中正路99巷12號,"23.084284,120.587644",1,61.0,旗山分局,
JX0005,甲仙區,和安里,高雄市甲仙區和安里中山路50號,"23.083953,120.587693",1,242.0,旗山分局,
JX0006,甲仙區,和安里,高雄市甲仙區文化路129號,"23.08078,120.587915",1,147.0,旗山分局,
SL0001,杉林區,上平里,高雄市杉林區上平里山仙路6號,"22.971727,120.540139",1,173.0,旗山分局,
QS0001,旗山區,湄洲里,高雄市旗山區中山路120號,"22.88856,120.482164",1,143.0,旗山分局,
QS0002,旗山區,湄洲里,高雄市旗山區中山路102號,"22.887936,120.482195",1,187.0,旗山分局,
QS0003,旗山區,太平里,高雄市旗山區旗南一路57號,"22.88521815,120.479995167353",1,85.0,旗山分局,
QS0004,旗山區,湄洲里,高雄市旗山區華中街3之1號,"22.887936,120.482534",1,198.0,旗山分局,
QS0005,旗山區,大德里,高雄市旗山區大德里大同街23號,"22.883637,120.4845",1,341.0,旗山分局,
QS0007,旗山區,三協里,高雄市旗山區三協里旗南一路168之2號,"22.880614,120.477132",1,56.0,旗山分局,
QS0008,旗山區,三協里,高雄市旗山區三協里旗南一路168之1號,"22.880652,120.477151",1,16.0,旗山分局,
QS0010,旗山區,大德里,高雄市旗山區延平一路688巷6號,"22.884255,120.48263",1,24.0,旗山分局,
QS0011,旗山區,大德里,高雄市旗山區延平一路688巷4號,"22.88425,120.48269",1,25.0,旗山分局,
QS0012,旗山區,湄洲里,高雄市旗山區延平一路591巷40弄10號,"22.886431,120.483794",1,33.0,旗山分局,
QS0013,旗山區,永和里,高雄市旗山區永和里旗甲路一段146號,"22.897936,120.482181",1,401.0,旗山分局,
QS0014,旗山區,永和里,高雄市旗山區永和里志航街10號,"22.896215,120.482919",1,30.0,旗山分局,
QS0015,旗山區,大德里,高雄市旗山區大德里中山路38號,"22.885632,120.482138",1,22.0,旗山分局,
QS0016,旗山區,大德里,高雄市旗山區復新街24號,"22.885048,120.482327",1,26.0,旗山分局,
QS0017,旗山區,大德里,高雄市旗山區復新街22號,"22.885048,120.482386",1,25.0,旗山分局,
QS0020,旗山區,竹峰里,高雄市旗山區文中路98號,"22.893128,120.481058",1,11.0,旗山分局,
QS0021,旗山區,湄洲里,高雄市旗山區延平一路690號,"22.884,120.482904",1,942.0,旗山分局,
QS0022,旗山區,湄洲里,高雄市旗山區延平一路534之1號,"22.888752,120.48309",1,51.0,旗山分局,
QS0024,旗山區,大德里,高雄市旗山區延平一路689號,"22.883617,120.483223",1,185.0,旗山分局,
QS0026,旗山區,湄洲里,高雄市旗山區中山路223號,"22.89097584,120.48176699619",1,33.0,旗山分局,
QS0027,旗山區,湄洲里,高雄市旗山區中山路225號,"22.89104117,120.481720067354",1,66.0,旗山分局,
QS0028,旗山區,湄洲里,高雄市旗山區中山路227號,"22.89108715,120.48169849619",1,55.0,旗山分局,
QS0029,旗山區,太平里,高雄市旗山區中正路3號,"22.88641684,120.479858625026",1,299.0,旗山分局,
QS0030,旗山區,太平里,高雄市旗山區泰安街62號,"22.88249,120.480564",1,764.0,旗山分局,
QS0033,旗山區,永和里,高雄市旗山區永和里旗甲路1段195號,"22.90128412389898, 120.48235697682476",1,499.0,旗山分局,
QS0034,旗山區,湄洲里,高雄市旗山區湄洲里華中街1號,"22.88793,120.482957",1,568.0,旗山分局,
QS0035,旗山區,大德里,高雄市旗山區中學路60號,"22.880693,120.483277",1,2353.0,旗山分局,
QS0036,旗山區,永和里,高雄市旗山區永和里旗甲路1段195號,"22.90128412389898, 120.48235697682476",1,114.0,旗山分局,
QS0038,旗山區,永和里,高雄市旗山區永和里旗甲路1段195號,"22.900714984500944, 120.48151288789352",1,1169.0,旗山分局,
QS0039,旗山區,大德里,高雄市旗山區大德里復新東街67號,"22.88501,120.485066",1,140.0,旗山分局,
QS0040,旗山區,湄洲里,高雄市旗山區中華路548號,"22.888093,120.485169",1,751.0,旗山分局,
QS0042,旗山區,湄洲里,高雄市旗山區湄洲里中華路582號,"22.886666,120.485377",1,1080.0,旗山分局,
QS0043,旗山區,太平里,高雄市旗山區中山南街2號,"22.884122,120.48079",1,866.0,旗山分局,
QS0045,旗山區,太平里,高雄市旗山區太平里中正路6-6號,"22.88716404,120.480034759483",1,2898.0,旗山分局,
QS0047,旗山區,大德里,高雄市旗山區旗甲路1段195號,"22.90128412389898, 120.48235697682476",1,2086.0,旗山分局,
QS0048,旗山區,大德里,高雄市旗山區大德里中學路42號,"22.881406,120.48132",1,730.0,旗山分局,
QS0049,旗山區,永和里,高雄市旗山區延平一路203巷20號,"22.895177,120.484371",1,272.0,旗山分局,
QS0050,旗山區,永和里,高雄市旗山區永和里延平一路111號,"22.898897,120.482848",1,1318.0,旗山分局,
MN0001,旗山區,東門里,高雄市美濃區東門里民族路36巷2之1號,"22.900404,120.553487",1,436.0,旗山分局,
MN0003,旗山區,合和里,高雄市美濃區合和里成功路139號,"22.893912,120.547053",1,296.0,旗山分局,
QS0019,旗山區,圓富里,高雄市旗山區圓富里旗甲路2段396號,"22.92346675,120.497907996191",1,175.0,旗山分局,
QS0046,旗山區,大林里,高雄市旗山區大林里溝坪路98之1號,"22.968584,120.515711",1,3457.0,旗山分局,
QS0051,旗山區,圓富里,高雄市旗山區華山路9號,"22.927327,120.501896",1,1400.0,旗山分局,
QS0053,旗山區,圓富里,高雄市旗山區圓富里旗甲路二段609號,"22.928808,120.500528",1,669.0,旗山分局,
QS0009,旗山區,東平里,旗山區東平里樹人路21號,"22.883974874479595, 120.49413135132006",1,176.0,旗山分局,
QS0025,旗山區,東平里,旗山區東平里樹人路21號,"22.884461,120.494376",1,326.0,旗山分局,
QS0041,旗山區,東平里,旗山區東平里樹人路21號,"22.8842529221505, 120.49410349272061",1,532.0,旗山分局,
MN0002,旗山區,龍山里,高雄市美濃區龍肚街62號,"22.881923,120.572282",1,97.0,旗山分局,
QS0037,旗山區,南勝里,高雄市旗山區南勝里龍文巷30號,"22.77615,120.44886",1,177.0,旗山分局,
QS0054,旗山區,南勝里,高雄市旗山區得勝巷2之1號,"22.794426,120.452794",1,1075.0,旗山分局,
LG0001,六龜區,義寶里,高雄市六龜區華南街34號,"22.997867706603525, 120.63434834812251",1,376.0,六龜分局,
LG0002,六龜區,義寶里,高雄市六龜區義寶里光復路70號,"22.99618089691992, 120.63467214119984",1,126.0,六龜分局,
LG0003,六龜區,義寶里,高雄市六龜區義寶里光復路107號,"22.995567506339047, 120.63517497602446",1,468.0,六龜分局,
LG0004,六龜區,興龍里,高雄市六龜區興龍里舊潭3之3號,"23.010758953974456, 120.66921387888253",1,983.0,六龜分局,
LZ0002,路竹區,竹南里,高雄市路竹區竹東村中華路4號,"22.857900456173034, 120.26025031929944",1,63.0,湖內分局,
LZ0003,路竹區,竹東里,高雄市路竹區竹東里中正路51號,"22.856735719340193, 120.26186554291675",1,221.0,湖內分局,
LZ0006,路竹區,三爺里,高雄市路竹區三爺里復興路909號,"22.835166460294083, 120.28551128259534",1,494.0,湖內分局,
LZ0007,路竹區,竹西里,高雄市路竹區竹西里中山路6號,"22.873628734444143, 120.25366461395764",1,36.0,湖內分局,
LZ0008,路竹區,文南里,高雄市路竹區文南里中華路530號,"22.84878625135513, 120.24744443369391",1,141.0,湖內分局,
LZ0009,路竹區,北嶺里,高雄市路竹區北嶺里中山南路21號,"22.825403341959447, 120.26673345979442",1,233.0,湖內分局,
LZ0012,路竹區,後鄉里,高雄市路竹區後鄉里長興路22號,"22.846438866579224, 120.24328042148608",1,347.0,湖內分局,
LZ0013,路竹區,後鄉里,高雄市路竹區後鄉里長興路66號,"22.846234310067278, 120.24300041098894",1,142.0,湖內分局,
LZ0014,路竹區,竹東里,高雄市路竹區竹東里中山路1453號,"22.849844302684456, 120.26233265275842",1,198.0,湖內分局,
LZ0015,路竹區,竹南里,高雄市路竹區中山路1457號,"22.850390518584145, 120.26233508029706",1,280.0,湖內分局,
LZ0017,路竹區,後鄉里,高雄市路竹區後鄉里長興路66號,"22.846234310067278, 120.24300041098894",1,27.0,湖內分局,
LZ0018,路竹區,竹南里,高雄市路竹區竹東村中山路1293巷42號,"22.85210405329419, 120.2624190586539",1,74.0,湖內分局,
LZ0021,路竹區,竹東里,高雄市路竹區竹東里中山路259號,"22.872078265231735, 120.2549944983293",1,108.0,湖內分局,
LZ0022,路竹區,後鄉里,高雄市路竹區後鄉里新興路122巷2號,"22.842697358138377, 120.23909616508749",1,82.0,湖內分局,
LZ0024,路竹區,後鄉里,高雄市路竹區後鄉里長興路22號,"22.846349210714617, 120.24317415760471",1,1899.0,湖內分局,
LZ0027,路竹區,文南里,高雄市路竹區文南里中華路147號,"22.856421238606764, 120.25694962676445",1,257.0,湖內分局,
LZ0028,路竹區,竹西里,高雄市路竹區中山路2巷59號,"22.844187116418105, 120.26357700801059",1,18.0,湖內分局,
LZ0030,路竹區,鴨寮里,高雄市路竹區鴨寮里復興路667號,"22.842668140615242, 120.28025195865017",1,297.0,湖內分局,
LZ0032,路竹區,竹南里,高雄市路竹區竹南里國昌路88號,"22.85469879977381, 120.25838722547765",1,147.0,湖內分局,
LZ0033,路竹區,文北里,高雄市路竹區文北里延平路790號,"22.857753173701983, 120.24250599993248",1,107.0,湖內分局,
LZ0034,路竹區,北嶺里,高雄市路竹區北嶺村中山南路100之1號,"22.82621393071062, 120.26642981949355",1,216.0,湖內分局,
LZ0036,路竹區,竹南里,高雄市路竹區中山路1821號,"22.840931851244402, 120.26686269079025",1,904.0,湖內分局,
LZ0043,路竹區,竹東里,高雄市路竹區中山路731號地下室,"22.864473970872158, 120.25747029773075",1,266.0,湖內分局,
LZ0045,路竹區,竹南里,高雄市路竹區中山路1821號,"22.840931851244402, 120.26686269079025",1,1036.0,湖內分局,
LZ0046,路竹區,北嶺里,高雄市路竹區北嶺里中山南路61號,"22.82446109714605, 120.26733265514356",1,420.0,湖內分局,
LZ0048,路竹區,北嶺里,高雄市路竹區北嶺村中山南路112號,"22.82261730828886, 120.26737861460538",1,101.0,湖內分局,
LZ0049,路竹區,竹東里,高雄市路竹區中山路627號,"22.86553145626416, 120.25713625560067",1,385.0,湖內分局,
LZ0051,路竹區,後鄉里,高雄市路竹區順安路355號,"22.835489283740557, 120.24242818259529",1,88.0,湖內分局,
LZ0052,路竹區,北嶺里,高雄市路竹區中山南路350號,"22.821672739446218, 120.2684899050606",1,171.0,湖內分局,
LZ0054,路竹區,文南里,高雄市路竹區文南里中華路530號,"22.84878625135513, 120.24744443369391",1,65.0,湖內分局,
LZ0056,路竹區,竹南里,高雄市路竹區竹南里國昌路86巷24號,"22.855342694337953, 120.25926678063993",1,380.0,湖內分局,
LZ0057,路竹區,竹南里,高雄市路竹區中山路1187號,"22.854441409394454, 120.26140865239721",1,853.0,湖內分局,
LZ0058,路竹區,竹東里,高雄市路竹區中興路18號,"22.860857878375665, 120.26074939625043",1,747.0,湖內分局,
LZ0059,路竹區,竹南里,高雄市路竹區竹南里國昌路73號,"22.854121716947965, 120.25878752110886",1,128.0,湖內分局,
LZ0060,路竹區,後鄉里,高雄市路竹區後鄉里順安路345號,"22.83821549102526, 120.24010856725306",1,265.0,湖內分局,
LZ0061,路竹區,竹南里,高雄市路竹區中山路1543巷31號,"22.848034380623634, 120.26377281609642",1,15.0,湖內分局,
LZ0062,路竹區,後鄉里,高雄市路竹區後鄉里順安路331號,"22.834374357854344, 120.24147693749805",1,68.0,湖內分局,
LZ0063,路竹區,竹南里,高雄市路竹區竹南里國昌路76號,"22.85476732678286, 120.25924618873545",1,863.0,湖內分局,
LZ0067,路竹區,竹東里,高雄市路竹區竹東里中山路625號,"22.865505535536798, 120.257075227023",1,496.0,湖內分局,
LZ0068,路竹區,後鄉里,高雄市路竹區順安路299號,"22.83669239511231, 120.2417417146663",1,420.0,湖內分局,
LZ0069,路竹區,竹南里,高雄市路竹區竹南里國昌路86巷9號,"22.855757851014435, 120.25834073027897",1,275.0,湖內分局,
LZ0070,路竹區,後鄉里,高雄市路竹區長興路22號,"22.84631843213209, 120.24329324866093",1,694.0,湖內分局,
LZ0047,路竹區,竹滬里,高雄市路竹區竹滬里華正路145號,"22.858448162164255, 120.23585257690858",1,314.0,湖內分局,
LZ0010,路竹區,社南里,高雄市路竹區大同路550號,"22.855469512872368, 120.26692429079684",1,1285.0,湖內分局,
LZ0023,路竹區,社西里,高雄市路竹區社西里大仁路811號,"22.873073686399493, 120.25864337768019",1,121.0,湖內分局,
LZ0025,路竹區,竹園里,高雄市路竹區竹園里環球路21號,"22.878123763706874, 120.29925296725398",1,302.0,湖內分局,
LZ0029,路竹區,甲南里,高雄市路竹區甲南里天祐路24號,"22.878195315315896, 120.25400792216209",1,121.0,湖內分局,
LZ0037,路竹區,竹園里,高雄市路竹區竹園里環球路15號,"22.87785613135018, 120.2998624289939",1,1072.0,湖內分局,
LZ0038,路竹區,竹園里,高雄市路竹區環球路15號,"22.877707646532414, 120.29985921799721",1,483.0,湖內分局,
LZ0041,路竹區,社西里,高雄市路竹區社西里大仁路791號,"22.87316603373649, 120.25913786054551",1,455.0,湖內分局,
LZ0042,路竹區,竹園里,高雄市路竹區竹圍里環球路21號,"22.878123763706874, 120.29925296725398",1,131.0,湖內分局,
LZ0055,路竹區,社南里,高雄市路竹區社南里大同路513巷138號,"22.85341000459705, 120.2710217652386",1,452.0,湖內分局,
LZ0065,路竹區,甲南里,高雄市路竹區一甲路111號,"22.86816870739471, 120.27229806258406",1,816.0,湖內分局,
HN0002,湖內區,大湖里,高雄市湖內區大湖里民權路9之1號,"22.88773805917076, 120.2437931997223",1,220.0,湖內分局,
HN0003,湖內區,田尾里,高雄市湖內區中山路1段711號,"22.89646184208998, 120.23774573574256",1,71.0,湖內分局,
HN0006,湖內區,湖內里,高雄市湖內區湖內里東方路110號,"22.88033023337252, 120.24542399201287",1,2864.0,湖內分局,
HN0008,湖內區,大湖里,高雄市湖內區大湖里中山路1段290號,"22.886729635584928, 120.24461075794973",1,693.0,湖內分局,
HN0009,湖內區,湖內里,高雄市湖內區湖內里東方路110號,"22.88033023337252, 120.24542399201287",1,1581.0,湖內分局,
HN0012,湖內區,湖內里,高雄市湖內區湖內里東方路110號,"22.88079849985547, 120.24486653454807",1,167.0,湖內分局,
HN0013,湖內區,大湖里,高雄市湖內區大湖里民權路111號,"22.88967156551776, 120.24351718580003",1,204.0,湖內分局,
HN0014,湖內區,湖內里,高雄市湖內區湖內里中山路1段150號,"22.880182826533616, 120.25070556706578",1,524.0,湖內分局,
HN0017,湖內區,湖內里,高雄市湖內區湖內里東方路110號,"22.880831084770275, 120.24597548287238",1,1272.0,湖內分局,
HN0019,湖內區,田尾里,高雄市湖內區田尾里中山路1段707號,"22.864912062580107, 120.25713975726227",1,123.0,湖內分局,
HN0024,湖內區,湖內里,高雄市湖內區湖內里東方路21號,"22.880179706703853, 120.24960784635662",1,521.0,湖內分局,
HN0025,湖內區,湖內里,高雄市湖內區湖內里東方路107號,"22.87967144914255, 120.24789253841847",1,834.0,湖內分局,
HN0026,湖內區,湖內里,高雄市湖內區湖內村2民生街146號,"22.8784593904847, 120.24780812912738",1,989.0,湖內分局,
HN0027,湖內區,湖內里,高雄市湖內區湖內里東方路105巷6弄4號,"22.87889496614895, 120.24779475894569",1,715.0,湖內分局,
HN0028,湖內區,湖內里,高雄市湖內區湖內村2中山路1段301巷62弄23號,"22.881276179376002, 120.24734501761799",1,1876.0,湖內分局,
HN0030,湖內區,湖東里,高雄市湖內區湖內里中山路1段301巷52弄7號,"22.87003211304758, 120.25645552364078",1,937.0,湖內分局,
HN0034,湖內區,大湖里,高雄市湖內區大湖里忠孝街153號,"22.893246687576585, 120.23379801577572",1,1214.0,湖內分局,
HN0035,湖內區,湖內里,高雄市湖內區湖內里民生街207號之1,"22.878155650460133, 120.24733463590914",1,378.0,湖內分局,
HN0004,湖內區,中賢里,高雄市湖內區中正路2段89號,"22.908348453488085, 120.21120459489805",1,122.0,湖內分局,
HN0005,湖內區,公館里,高雄市湖內區公館里中山路2段33號,"22.904578819776834, 120.22995522161996",1,48.0,湖內分局,
HN0015,湖內區,太爺里,高雄市湖內區太爺里中山路2段2巷53弄11號,"22.901988880473677, 120.23629657657635",1,88.0,湖內分局,
HN0016,湖內區,中賢里,高雄市湖內區中賢里信義路255之1號,"22.907212748566504, 120.21371244318556",1,220.0,湖內分局,
HN0020,湖內區,太爺里,高雄市湖內區太爺里中山路2段2巷17弄22號,"22.90178749316571, 120.23510247378528",1,47.0,湖內分局,
HN0021,湖內區,海埔里,高雄市湖內區中山路1段887號,"22.899380472452012, 120.2341612181854",1,129.0,湖內分局,
HN0022,湖內區,太爺里,高雄市湖內區太爺里中山路2段2巷53弄24號,"22.90239864396886, 120.23585215577378",1,123.0,湖內分局,
HN0023,湖內區,太爺里,高雄市湖內區太爺里中山二路60號,"22.903725928242896, 120.23141926951821",1,78.0,湖內分局,
HN0029,湖內區,葉厝里,高雄市湖內區葉厝里保生路394巷6號,"22.907314425542747, 120.21709416536912",1,285.0,湖內分局,
HN0031,湖內區,逸賢里,高雄市湖內區逸賢里湖中路812號,"22.906129003402658, 120.20849645225933",1,1083.0,湖內分局,
HN0032,湖內區,公館里,高雄市湖內區中山路2段63號,"22.9072680596304, 120.2263265647815",1,420.0,湖內分局,
HN0033,湖內區,太爺里,高雄市湖內區中山路2段2巷19弄13號,"22.901135227388195, 120.23649754864226",1,94.0,湖內分局,
HN0036,湖內區,公館里,高雄市湖內區中山路2段63號,"22.9072680596304, 120.2263265647815",1,489.0,湖內分局,
HN0037,湖內區,海埔里,高雄市湖內區忠孝街112號,"22.893315057043964, 120.23507990942977",1,714.0,湖內分局,
QD0015,茄萣區,白雲里,高雄市茄萣區濱海路4段66號,"22.907281601779747, 120.18189014373242",1,683.0,湖內分局,
QD0001,茄萣區,崎漏里,高雄市茄萣區崎漏里大發路1號,"22.863862310252483, 120.19484896355415",1,125.0,湖內分局,
QD0002,茄萣區,崎漏里,高雄市茄萣區崎漏里大發路103號,"22.86883727923935, 120.1931335856985",1,46.0,湖內分局,
QD0003,茄萣區,崎漏里,高雄市茄萣區大發路105號,"22.868903469383945, 120.19322301752831",1,220.0,湖內分局,
QD0004,茄萣區,吉定里,高雄市茄萣區吉定里濱海路2段1號,"22.888239071897388, 120.1852233249254",1,146.0,湖內分局,
QD0006,茄萣區,和協里,高雄市茄萣區港埔路85號,"22.898330582105153, 120.18594637310386",1,455.0,湖內分局,
QD0007,茄萣區,崎漏里,高雄市茄萣區崎漏里民權路12號,"22.86594307113175, 120.19869226725375",1,922.0,湖內分局,
QD0008,茄萣區,崎漏里,高雄市茄萣區崎漏里民權路10號,"22.865952956858198, 120.1987137249249",1,378.0,湖內分局,
QD0009,茄萣區,保定里,高雄市茄萣區保定里信義路2段54號,"22.896933055427436, 120.18776972492556",1,463.0,湖內分局,
QD0010,茄萣區,崎漏里,高雄市茄萣區崎漏里民治路2號,"22.876299985352798, 120.19598584732992",1,457.0,湖內分局,
QD0011,茄萣區,崎漏里,高雄市茄萣區崎漏村民治路85號,"22.875150816694752, 120.19594099758552",1,1026.0,湖內分局,
QD0013,茄萣區,崎漏里,高雄市茄萣區崎漏里民權路282號,"22.874628041362474, 120.1954043091163",1,1027.0,湖內分局,
AL0001,阿蓮區,崗山里,高雄市阿蓮區崗山里95之2號,"22.86552266535519, 120.33095720981436",1,551.0,湖內分局,
AL0004,阿蓮區,崗山里,高雄市阿蓮區崗山里95之2號,"22.86532703707421, 120.3311223883177",1,622.0,湖內分局,
AL0005,阿蓮區,清蓮里,高雄市阿蓮區清蓮里民權路80號,"22.882317327284106, 120.32655812154599",1,150.0,湖內分局,
AL0006,阿蓮區,清蓮里,高雄市阿蓮區民生路61號,"22.882239220639697, 120.32767317554813",1,214.0,湖內分局,
AL0007,阿蓮區,港後里,高雄市阿蓮區港後里港後76之6號,"22.87216646198145, 120.31649323884365",1,624.0,湖內分局,
AL0009,阿蓮區,復安里,高雄市阿蓮區復安里復安172號,"22.850214032974325, 120.3239539960424",1,55.0,湖內分局,
AL0010,阿蓮區,阿蓮里,高雄市阿蓮區阿蓮里民族路158號,"22.882384815756094, 120.33019056686051",1,852.0,湖內分局,
AL0011,阿蓮區,港後里,高雄市阿蓮區港後里崙頂64號,"22.87779060645906, 120.30814832067466",1,120.0,湖內分局,
AL0012,阿蓮區,港後里,高雄市阿蓮區港後里港後路76號,"22.872158071700987, 120.31659065856492",1,512.0,湖內分局,
AL0013,阿蓮區,阿蓮里,高雄市阿蓮區阿蓮里中正路334號,"22.88106464189022, 120.33471557223534",1,868.0,湖內分局,
AL0014,阿蓮區,港後里,高雄市阿蓮區港後里港後路76號,"22.872158071700987, 120.31659065856492",1,363.0,湖內分局,
AL0015,阿蓮區,阿蓮里,高雄市阿蓮區中正路382號,"22.880985424176256, 120.33393752105113",1,158.0,湖內分局,
AL0016,阿蓮區,阿蓮里,高雄市阿蓮區和蓮里信義路226號,"22.879172875913614, 120.32541950536447",1,512.0,湖內分局,
AL0017,阿蓮區,阿蓮里,高雄市阿蓮區阿蓮里中正路334號,"22.88106464189022, 120.33471557223534",1,364.0,湖內分局,
AL0018,阿蓮區,崗山里,高雄市阿蓮區崗山里崗山95之11號,"22.86040634884127, 120.33376718146954",1,124.0,湖內分局,
AL0019,阿蓮區,阿蓮里,高雄市阿蓮區阿蓮里民族路163號,"22.883188666173538, 120.32979602008368",1,956.0,湖內分局,
TL0002,田寮區,南安里,高雄市田寮區南安里崗北路32號,"22.8700244645957, 120.35932606725378",1,564.0,湖內分局,
TL0001,田寮區,西德里,高雄市田寮區西德里長山路1號,"22.8915996505324, 120.37157689949616",1,3121.0,湖內分局,
DX001,大社區,三奶里,高雄市大社區三奶里興工路5號,"22.717240068600546, 120.34339807431758",1,653.0,仁武分局,
DX002,大社區,三奶里,高雄市大社區三奶里興工路4號,"22.72102318081396, 120.34179157373131",1,59.0,仁武分局,
DX003,大社區,三奶里,高雄市大社區三奶里興工路2號,"22.724110245079284, 120.34026726755657",1,577.0,仁武分局,
DX004,大社區,大社里,高雄市大社區大社里三民路336之2號,"22.731165949061204, 120.34539743209714",1,155.0,仁武分局,
DX005,大社區,三奶里,高雄市大社區三奶里興工路1號,"22.72016127128817, 120.34243643545545",1,20.0,仁武分局,
DX006,大社區,大社里,高雄市大社區大社里大社路109號,"22.734679296812573, 120.35310003242313",1,59.0,仁武分局,
DX007,大社區,保社里,高雄市大社區保社里旗楠路39號,"22.745889737536245, 120.34333576733584",1,110.0,仁武分局,
DX008,大社區,保社里,高雄市大社區保社里旗楠路62號,"22.745050178856705, 120.34307926042639",1,20.0,仁武分局,
DX009,大社區,保社里,高雄市大社區保社里旗楠路99號,"22.74938222019968, 120.34552443040533",1,94.0,仁武分局,
