電腦編號,類別,村里別,地址,地下樓層數,可容納人數,備註,placemark_address
SNA00129,壽豐鄉電力公司,壽豐村,花蓮縣壽豐鄉公園路42號,1.0,266人,,花蓮縣壽豐鄉公園路42號
SNA00130,壽豐中華電信機房,壽豐村,花蓮縣壽豐鄉壽興街21號,1.0,333人,,花蓮縣壽豐鄉壽興街21號
SNA00131,壽豐鄉農會,壽豐村,花蓮縣壽豐鄉壽山路17號,1.0,419人,,花蓮縣壽豐鄉壽山路17號
SNA00132,東昌活動中心,東昌村,花蓮縣吉安鄉東海六街76號,1.0,130人,,花蓮縣吉安鄉東海六街76號
SNA00133,宜昌國中,宜昌村,花蓮縣吉安鄉宜昌一街41號,1.0,2102人,,花蓮縣吉安鄉宜昌一街41號
SNA00134,宜昌國中(活動中心),宜昌村,花蓮縣吉安鄉宜昌一街43巷15號,1.0,453人,,花蓮縣吉安鄉宜昌一街43巷15號
SNA00135,宜昌國小,宜昌村,花蓮縣吉安鄉宜昌一街45號,1.0,94人,,花蓮縣吉安鄉宜昌一街45號
SNA00136,化仁國中,東昌村,花蓮縣吉安鄉東海十街3號,1.0,350人,,花蓮縣吉安鄉東海十街3號
SNA00137,化仁國小,東昌村,花蓮縣吉安鄉東里十一街83號,1.0,693人,,花蓮縣吉安鄉東里十一街83號
SNA00138,吉安火車站,南昌村,花蓮縣吉安鄉南昌街200號,1.0,213人,,花蓮縣吉安鄉南昌街200號
SNA00139,花蓮縣退休警察人員協會,仁里村,花蓮縣吉安鄉仁里三街11之1號,1.0,206人,,花蓮縣吉安鄉仁里三街11之1號
SNA00142,特殊教育學校,宜昌村,花蓮縣吉安鄉中山路二段2號,1.0,420人,,花蓮縣吉安鄉中山路二段2號
SNA00143,吉安鄉公所(停車場),仁里村,花蓮縣吉安鄉中正路一段151號,1.0,2377人,,花蓮縣吉安鄉中正路一段151號
SNA00144,花蓮監理站,仁和村,花蓮縣吉安鄉中正路二段152號,1.0,280人,,花蓮縣吉安鄉中正路二段152號
SNA00145,北昌國小,北昌村,花蓮縣吉安鄉自強路533號,1.0,994人,,花蓮縣吉安鄉自強路533號
SNA00146,太昌國小,太昌村,花蓮縣吉安鄉明義五街1號,1.0,836人,,花蓮縣吉安鄉明義五街1號
SNA00148,福興村活動中心,福興村,花蓮縣吉安鄉吉安路三段90號,1.0,130人,,花蓮縣吉安鄉吉安路三段90號
SNA00149,花蓮農業改良場,吉安村,花蓮縣吉安鄉吉安路二段150號,1.0,256人,,花蓮縣吉安鄉吉安路二段150號
SNA00150,吉安國小,吉安村,花蓮縣吉安鄉吉安路二段97號,1.0,2604人,,花蓮縣吉安鄉吉安路二段97號
SNA00151,吉安國中,慶豐村,花蓮縣吉安鄉中山路三段622號,1.0,1025人,
SNA00152,南華國小,干城村,花蓮縣吉安鄉吉安路六段60號,1.0,158人,,花蓮縣吉安鄉吉安路六段60號
SNA00153,花蓮監獄,干城村,花蓮縣吉安鄉吉安路六段700號,1.0,46人,,花蓮縣吉安鄉吉安路六段700號
SNA00154,花蓮監獄,干城村,花蓮縣吉安鄉吉安路六段700號,1.0,156人,,花蓮縣吉安鄉吉安路六段700號
SNA00155,花蓮監獄,干城村,花蓮縣吉安鄉吉安路六段700號,1.0,220人,,花蓮縣吉安鄉吉安路六段700號
SNA00156,花蓮監獄,干城村,花蓮縣吉安鄉吉安路六段700號,1.0,1400人,,花蓮縣吉安鄉吉安路六段700號
SNA00157,南華村活動中心,南華村,花蓮縣吉安鄉南華四街123號,1.0,130人,,花蓮縣吉安鄉南華四街123號
SNA00158,國立東華大學(文學院),志學村,花蓮縣壽豐鄉大學路二段1號,1.0,1304人,,花蓮縣壽豐鄉大學路二段1號
SNA00159,國立東華大學(仰山莊),志學村,花蓮縣壽豐鄉仰山莊1號,1.0,4017人,,花蓮縣壽豐鄉仰山莊1號
SNA00160,國立東華大學(行政大樓),志學村,花蓮縣壽豐鄉大學路二段1號,1.0,1672人,,花蓮縣壽豐鄉大學路二段1號
SNA00161,平和國中,平和村,花蓮縣壽豐鄉平和路48號,1.0,377人,,花蓮縣壽豐鄉平和路48號
SNA00162,壽豐鄉圖書館,壽豐村,花蓮縣壽豐鄉壽山路62號,1.0,162人,,花蓮縣壽豐鄉壽山路62號
SNA00164,水璉消防分隊,水璉村,花蓮縣壽豐鄉水璉路6號,1.0,908人,,花蓮縣壽豐鄉水璉路6號
SNA00165,麥當勞,宜昌村,花蓮縣吉安鄉宜昌一街2-3號,1.0,950人,,花蓮縣吉安鄉宜昌一街2-3號
SNA00166,鮮友火鍋,宜昌村,花蓮縣吉安鄉中華路二段11號,1.0,6168人,,花蓮縣吉安鄉中華路二段11號
SNA00167,華登旅館,南昌村,花蓮縣吉安鄉南昌北路34號,1.0,200人,,花蓮縣吉安鄉南昌北路34號
SNA00168,澄品飯店,宜昌村,花蓮縣吉安鄉宜昌六街11號,1.0,396人,,花蓮縣吉安鄉宜昌六街11號
SNA00169,碧海藍天飯店,宜昌村,花蓮縣吉安鄉宜昌一街2-2號,1.0,950人,,花蓮縣吉安鄉宜昌一街2-2號
SNA00170,華瀚飯店,東昌村,花蓮縣吉安鄉東海一街100號,1.0,2153人,,花蓮縣吉安鄉東海一街100號
SNA00171,函園飯店,勝安村,花蓮縣吉安鄉自強路25號,1.0,200人,,花蓮縣吉安鄉自強路25號
SNA00172,欣榮大廈,勝安村,花蓮縣吉安鄉慈惠三街114號,1.0,186人,,花蓮縣吉安鄉慈惠三街114號
SNA00173,慈惠堂,勝安村,花蓮縣吉安鄉慈惠三街136號,1.0,326人,,花蓮縣吉安鄉慈惠三街136號
SNA00174,勝安宮,勝安村,花蓮縣吉安鄉慈惠三街118號,1.0,208人,,花蓮縣吉安鄉慈惠三街118號
SNA00175,遠來飯店,鹽寮村,花蓮縣壽豐鄉山嶺路18號,1.0,13857人,,花蓮縣壽豐鄉山嶺路18號
SNA00008,華廈,南昌村,花蓮縣吉安鄉南昌路78號,1.0,1645人,,花蓮縣吉安鄉南昌路78號
SNA00163,壽豐鄉文化中心,壽豐村,花蓮縣壽豐鄉公園路30號,1.0,267人,,花蓮縣壽豐鄉公園路30號
SNA00147,吉安鄉立圖書館,吉安村,花蓮縣吉安鄉中山路三段３號,1.0,１５８人,
