類別,電腦編號,村里別,緯經度,可容納人數,轄管分局,備註,停車場坡道,建築物名稱,地下樓層數
大樓,ETA00318,竹園里,"24.933619,121.264882",1392.0,八德分局,,O,和發愛晴社區,2
大樓,ETA00319,福德里,"24.93019,121.27978",1364.0,八德分局,,O,鵬程首捷社區,3
工廠,ETA00320,瑞豐里,"24.931138,121.291737",1040.0,八德分局,,,新生齒技有限公司,1
學校,ETA00321,興中里,"24.928905,121.283928",1471.0,八德分局,,O,八德國小,1
大樓,ETA00322,福德里,"24.926673,121.280449",3234.0,八德分局,,O,八德一號社會住宅,3
公家機關,ETA00323,廣隆里,"24.96079,121.29476",798.0,八德分局,,O,桃園市政府消防局第一大隊大湳分隊,2
大樓,ETA00324,福興里,"24.934079,121.281797",800.0,八德分局,,O,昇捷天沐社區,2
大樓,ETA00325,大竹里,"24.94688,121.31813",813.0,八德分局,,O,水玥社區,2
大樓,ETA00326,大湳里,"24.959581,121.3156",2332.0,八德分局,,O,元臺境社區,2
大樓,ETA00327,瑞豐里,"24.927561,121.289188",2412.0,八德分局,,O,八德二號社會住宅,3
工廠,ETA00328,大安里,"24.9481,121.31861",4494.0,八德分局,,O,美超微電腦股份有限公司負責人,2
大樓,ETA00329,大宏里,"24.96865,121.29799",3662.0,八德分局,,O,桃大誠社區,3
公家機關,ETA00330,廣隆里,"24.959938,121.294145",12134.0,八德分局,,O,八德國民運動中心,2
