類別,編號,里別,防空疏散避難設施地址,地下層數位址,可容納人數,placemark_address
大樓,205.0,新生里,臺東縣臺東市新生里2鄰杭州街396號,1.0,1562.0,臺東縣臺東市新生里2鄰杭州街396號
大樓,206.0,新生里,臺東縣臺東市新生里12鄰傳廣路532號,1.0,769.0,臺東縣臺東市新生里12鄰傳廣路532號
大樓,207.0,新生里,臺東縣臺東市新生里6鄰開封街370號,1.0,938.0,臺東縣臺東市新生里6鄰開封街370號
大樓,208.0,溫泉村,臺東縣卑南鄉溫泉村11鄰溫泉路312巷5號5樓之1,1.0,3043.0,臺東縣卑南鄉溫泉村11鄰溫泉路312巷5號5樓之1
大樓,209.0,溫泉村,臺東縣卑南鄉溫泉村20鄰龍泉路53巷3號6樓之3,1.0,3323.0,臺東縣卑南鄉溫泉村20鄰龍泉路53巷3號6樓之3
大樓,210.0,溫泉村,臺東縣卑南鄉溫泉村20鄰龍泉路113巷23號,1.0,3462.0,臺東縣卑南鄉溫泉村20鄰龍泉路113巷23號
大樓,211.0,溫泉村,臺東縣卑南鄉溫泉村19鄰6-1號,1.0,596.0,臺東縣卑南鄉溫泉村19鄰6-1號
大樓,212.0,溫泉村,臺東縣臺東市溫泉村20鄰龍泉路55號地下1樓,1.0,992.0,臺東縣臺東市溫泉村20鄰龍泉路55號地下1樓
大樓,213.0,建興里,"台東市建興里7鄰青海路4段 285號",1.0,400.0,"台東市建興里7鄰青海路4段 285號"
大樓,214.0,建興里,臺東縣臺東市建興里7鄰青海路四段283號,1.0,2173.0,臺東縣臺東市建興里7鄰青海路四段283號
大樓,215.0,建興里,臺東縣臺東市建興里7鄰青海路四段281巷7號,1.0,1378.0,臺東縣臺東市建興里7鄰青海路四段281巷7號
大樓,216.0,豐盛里,臺東市豐盛里4鄰文心街60號,1.0,1534.0,臺東市豐盛里4鄰文心街60號
大樓,217.0,豐盛里,臺東縣臺東市豐盛里2鄰文心街12號,1.0,7589.0,臺東縣臺東市豐盛里2鄰文心街12號
大樓,218.0,豐榮里,臺東縣臺東市豐榮里23鄰光榮街57號,1.0,1549.0,臺東縣臺東市豐榮里23鄰光榮街57號
大樓,219.0,中華里,臺東市中華里10鄰精誠路2號,1.0,980.0,臺東市中華里10鄰精誠路2號
大樓,220.0,寶桑里,臺東市寶桑里11鄰勝利街158巷10弄8號,1.0,1280.0,臺東市寶桑里11鄰勝利街158巷10弄8號
大樓,221.0,忠智里,臺東縣成功鎮忠智里中正路100號,1.0,361.0,臺東縣成功鎮忠智里中正路100號
政府機關,222.0,文化里,臺東縣臺東市文化里5鄰中山路276號,1.0,1450.0,臺東縣臺東市文化里5鄰中山路276號
