電腦編號,鄉鎮市區,村里別,地址,經緯度,地下樓層數,可容納人數,轄管分局
189,鼓山區,龍水里,高雄市鼓山區龍水里美術南三路222號,"22.653562,120.285566",2,1431.0,鼓山分局
190,鼓山區,龍水里,高雄市鼓山區龍水里美術北五街55號,"22.663983,120.287925",1,1318.0,鼓山分局
191,鼓山區,龍水里,高雄市鼓山區龍水里美術南一街11號,"22.653919,120.287277",2,1826.0,鼓山分局
192,鼓山區,龍水里,高雄市鼓山區龍水里美術東八街106號,"22.653776,120.291329",2,2321.0,鼓山分局
193,鼓山區,龍水里,高雄市鼓山區龍水里美術南三路267號,"22.653074,120.285352",2,4079.0,鼓山分局
194,鼓山區,龍水里,高雄市鼓山區龍水里美術南三路67號,"22.652878,120.289066",2,1765.0,鼓山分局
195,鼓山區,龍水里,高雄市鼓山區龍水里美術館路187號,"22.654651,120.28464",3,3026.0,鼓山分局
196,鼓山區,龍水里,高雄市鼓山區龍水里美術東八街101號,"22.653592,120.290992",1,2888.0,鼓山分局
197,鼓山區,龍水里,高雄市鼓山區龍水里美術東六街220號,"22.660297,120.291651",2,2515.0,鼓山分局
198,鼓山區,龍水里,高雄市鼓山區龍水里美術北一街79號,"22.662939,120.28633",3,3202.0,鼓山分局
199,鼓山區,龍水里,高雄市鼓山區龍水里美術東三路2號,"22.65742,120.29386",1,2293.0,鼓山分局
200,鼓山區,龍水里,高雄市鼓山區龍水里美術南三路196號,"22.6535,120.286023",2,1538.0,鼓山分局
201,鼓山區,龍水里,高雄市鼓山區龍水里美術館路265號,"22.654613,120.282974",1,508.0,鼓山分局
202,鼓山區,龍水里,高雄市鼓山區龍水里美術東六街81號,"22.658214,120.291292",2,1587.0,鼓山分局
203,鼓山區,龍水里,高雄市鼓山區龍水里美明路42號,"22.666004,120.290404",1,1926.0,鼓山分局
204,鼓山區,龍水里,高雄市鼓山區龍水里美術東四路398號,"22.658321,120.290496",2,5397.0,鼓山分局
205,鼓山區,龍水里,高雄市鼓山區龍水里青海路76號,"22.651508,120.289669",2,3171.0,鼓山分局
206,鼓山區,龍水里,高雄市鼓山區龍水里美術館路9號,"22.654444,120.293564",2,2088.0,鼓山分局
207,鼓山區,龍水里,高雄市鼓山區龍水里美明路32號,"22.665706,120.290594",2,1136.0,鼓山分局
208,鼓山區,龍水里,高雄市鼓山區龍水里美術東三路36號,"22.657627,120.29294",2,2585.0,鼓山分局
209,鼓山區,龍水里,高雄市鼓山區龍水里美術南二路135號,"22.652709,120.284522",1,3112.0,鼓山分局
210,鼓山區,龍水里,高雄市鼓山區龍水里美術東八街76號,"22.653302,120.291327",1,373.0,鼓山分局
211,鼓山區,龍水里,高雄市鼓山區龍水里美術南一街196號,"22.65433,120.283029",2,2532.0,鼓山分局
212,鼓山區,龍水里,高雄市鼓山區龍水里美術館路287號,"22.654629,120.28225",3,1950.0,鼓山分局
213,鼓山區,龍水里,高雄市鼓山區龍水里美術東四路331號,"22.66185,120.290177",2,1664.0,鼓山分局
214,鼓山區,龍水里,高雄市鼓山區龍水里美術北一街49號,"22.66213,120.287605",2,1586.0,鼓山分局
215,鼓山區,龍水里,高雄市鼓山區龍水里美術東四路441號,"22.664574,120.29029",2,4472.0,鼓山分局
216,鼓山區,龍水里,高雄市鼓山區龍水里美術東六街176號,"22.659482,120.291607",2,2235.0,鼓山分局
217,鼓山區,龍水里,高雄市鼓山區龍水里馬卡道路406號,"22.666357,120.288053",2,2221.0,鼓山分局
218,鼓山區,龍水里,高雄市鼓山區龍水里美術東六街19號,"22.656604,120.291192",1,927.0,鼓山分局
219,鼓山區,龍水里,高雄市鼓山區龍水里美術北三路39號,"22.662371,120.291067",2,2208.0,鼓山分局
220,鼓山區,龍水里,高雄市鼓山區龍水里美術北一街103號,"22.663229,120.286086",1,1717.0,鼓山分局
221,鼓山區,龍水里,高雄市鼓山區龍水里美術南三路209號,"22.652732,120.287226",3,7796.0,鼓山分局
222,鼓山區,龍水里,高雄市鼓山區龍水里美術南二路180號,"22.652922,120.284961",2,1175.0,鼓山分局
223,鼓山區,龍水里,高雄市鼓山區龍水里馬卡道路398號,"22.665703,120.287659",1,1491.0,鼓山分局
224,鼓山區,龍水里,高雄市鼓山區龍水里美術東六街222號,"22.660481,120.291798",1,523.0,鼓山分局
225,鼓山區,龍水里,高雄市鼓山區龍水里美術館路171號,"22.654682,120.285343",2,2086.0,鼓山分局
226,鼓山區,龍水里,高雄市鼓山區龍水路199號,"22.654098,120.282638",1,637.0,鼓山分局
227,鼓山區,龍水里,高雄市鼓山區龍水里美術東五路178號,"22.659289,120.289569",1.2.3,3925.0,鼓山分局
228,鼓山區,龍水里,高雄市鼓山區龍水里美明路98號,"22.665717,120.289148",1.2,1355.0,鼓山分局
229,鼓山區,龍水里,高雄市鼓山區龍水里美術東四路289號,"22.660299,120.290096",1.2,3046.0,鼓山分局
230,鼓山區,龍水里,高雄市鼓山區龍水里美明路30號,"22.665607,120.290755",1,288.0,鼓山分局
231,鼓山區,龍水里,高雄市鼓山區龍水里美術館路77號,"22.654572,120.290657",1.2,5520.0,鼓山分局
232,鼓山區,龍水里,高雄市鼓山區龍水里美術北三路235號,"22.663755,120.286443",2,2862.0,鼓山分局
233,鼓山區,龍水里,高雄市鼓山區龍水里美術東五路128號,"22.659201,120.290958",3,5792.0,鼓山分局
234,鼓山區,龍水里,高雄市鼓山區龍水里美術館路175號,"22.654724,120.285067",2,1093.0,鼓山分局
