電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註,停車場坡道,建築物名稱
B061,龍潭里,桃園市龍潭區龍潭里南龍路13號,"24.864150501556633, 121.21358194371982",1,1786,龍潭分局,,,龍潭國小
B062,龍星里,桃園市龍潭區龍星里中正路242-1號,"24.86304745292958, 121.21708318351166",1,483,龍潭分局,,O,泰固建設
B063,中山里,桃園市龍潭區中山里東龍路390號,"24.868655720040614, 121.21406340865013",1,302,龍潭分局,,O,陳黃金雪
B064,龍星里,桃園市龍潭區龍星里光明路43號,"24.861456249490864, 121.21940945467624",2,1038,龍潭分局,,O,來德建設
B065,中山里,桃園市龍潭區中山里公園路68號,"24.86679211576689, 121.21870585467627",1,696,龍潭分局,,O,景品建設有限公司
B066,中正里,桃園市龍潭區中正里東龍路47號,"24.85933481041436, 121.21626622399198",1,2095,龍潭分局,,O,來德建設有限公司
B067,中正里,桃園市龍潭區中正里新龍路219巷10號,"24.857813514357332, 121.21304546632095",1,2081,龍潭分局,,O,慶展建設
B068,上華里,桃園市龍潭區上華里中正路上華段112巷36弄22號,"24.85166995472612, 121.22228218351144",2,610,龍潭分局,,O,富弘建設
B069,龍星里,桃園市龍潭區大同路191巷12號,"24.861772280442473, 121.21919804118264",2,619,龍潭分局,,O,城中建設
B070,中正里,桃園市龍潭區中正里新龍路207號,"24.858429392876012, 121.21341524118269",1,619,龍潭分局,,O,慶升建設
B071,中山里,桃園市龍潭區中山里華南路1段80號,"24.869737082320167, 121.21684972584086",1,531,龍潭分局,,O,冠勤建設
B072,中山里,桃園市龍潭區中山里大昌路一段75巷133弄29號,"24.873273482267273, 121.21701455837369",1,1122,龍潭分局,,O,茂予建設
B073,中山里,桃園市龍潭區中山里中興路690號,"24.87051468560164, 121.22240428166324",1,2969,龍潭分局,,O,龍潭區公所
B074,龍星里,桃園市龍潭區龍星里新龍路28號,"24.860690280187516, 121.21722369700508",1,118,龍潭分局,,,江玫瑰
B075,龍星里,桃園市龍潭區龍星里大同路193號5樓,"24.862025822131756, 121.2196449681696",1,111,龍潭分局,,,王品蕎
B076,中山里,桃園市龍潭區中山里中豐路中山段97-1號,"24.867942086210753, 121.2120189681697",1,905,龍潭分局,,O,誼駿建設股份有限公司
B077,中山里,桃園市龍潭區中山里東龍路341巷21號2樓,"24.86828005837893, 121.21355952214341",1,676,龍潭分局,,O,華東建設有限公司
B078,中山里,桃園市龍潭區中山里百福街108號,"24.86941048824256, 121.21536926544023",1,1473,龍潭分局,,O,華曜建設股份有限公司
B079,中正里,桃園市龍潭區中正里龍華路479巷37號,"24.85610582399864, 121.21815526816948",1,623,龍潭分局,,O,合睦建設有限公司
B080,中山里,桃園市龍潭區中山里福龍路3段216號,"24.87512085102236, 121.21806729515683",2,1042,龍潭分局,,O,登冠建設
B081,中山里,桃園市龍潭區中山里中正路261巷83號2樓,"24.86336899054044, 121.2180449988538",3,2901,龍潭分局,,O,來德建設有限公司
B082,上林里,桃園市龍潭區上林里神龍路130巷31號,"24.861733479435983, 121.2124342562336",2,302,龍潭分局,,O,竣園開發建設有限公司
B083,中正里,桃園市龍潭區中正里30鄰大同路168號,"24.86140308407102, 121.21989734694681",1,103,龍潭分局,,O,"吳萬疆 "
B084,中山里,桃園市龍潭區中山里41鄰中豐路中山段195號,"24.866175455017782, 121.21044925467626",2,126,龍潭分局,,O,"巨登欣業有限公司       "
B085,中正里,桃園市龍潭區神龍路346號,"24.857232774696666, 121.21514681049842",1,1233,龍潭分局,,O,雙龍國小
B086,中山里,桃園市龍潭區中山里東龍路353號,"24.868679517166306, 121.21361304799906",2,1140,龍潭分局,,O,弘茂建設股份有限公司
