類別,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,備註
生泰合成工業,OMA00184,土庫里,臺南市新營區土庫里7鄰開元路168號,"23.320639,120.336398",1.0,165.0,
春昱建設,OMA00185,新南里,臺南市新營區新南里3鄰金華路二段159號,"23.309754,120.302663",1.0,913.0,
太子建設,OMA00186,新南里,臺南市新營區新南里16鄰民治路332之2號,"23.306307,120.303337",1.0,3264.0,
康睿健康事業公司,OMA00187,新南里,臺南市新營區新南里2鄰隋唐街218號,"23.308395,120.30014",1.0,2177.0,
自來水訓練中心,OMA00188,中營里,臺南市新營區中營里1鄰工業街41號,"23.304061,120.322947",1.0,3221.0,
未來室(大樓),OMA00189,新北里,臺南市新營區新北里21鄰金華路一段278號,"23.313998,120.306848",1.0,1794.0,
康霖會館大樓,OMA00190,民權里,臺南市新營區民權里11鄰中華路18號,"23.305125,120.314293",1.0,1100.0,
恆大公司,OUA00002,庄內里,臺南市白河區庄內里7鄰中山路526號,"23.359265,120.422656",1.0,168.0,
佑昇醫院,OUA00005,永安里,臺南市白河區永安里13鄰民安路1號,"23.346285,120.411204",1.0,789.0,
白河國小,OUA00006,永安里,臺南市白河區永安里3鄰三民路448號,"23.352450,120.413833",1.0,466.0,
白河商工,OUA00007,永安里,臺南市白河區永安里14鄰新興路528號,"23.353013,120.416421",1.0,93.0,
白河商工,OUA00008,永安里,臺南市白河區永安里14鄰新興路528號,"23.353013,120.416421",1.0,528.0,
白河商工,OUA00009,永安里,臺南市白河區永安里14鄰新興路528號,"23.353013,120.416421",1.0,62.0,
大竹國小,OUA00010,大竹里,臺南市白河區大竹里1鄰大排竹3號,"23.368019,120.412589",1.0,60.0,
崎內國小,OUA00011,崎內里,臺南市白河區崎內里5鄰內崎內38之8號,"23.385608,120.467348",1.0,64.0,
內角國小,OUA00013,內角里,臺南市白河區內角里1鄰內角1號,"23.397611,120.440869",1.0,92.0,
河東國小六溪分校,OUA00014,六溪里,臺南市白河區六溪里5鄰六重溪26號,"23.309505,120.459101",1.0,32.0,
家銓建設,OUA00015,河東里,臺南市白河區河東里10鄰糞箕湖135之20號,"23.345109,120.42352",1.0,665.0,
豊貿實業公司,OUA00017,後壁里,臺南市後壁區後壁里2鄰後壁42號之13,"23.362259,120.359404",1.0,256.0,
後壁高中,OUA00019,嘉苳里,臺南市後壁區嘉苳里6鄰下茄苳132號,"23.355813,120.35903",1.0,134.0,
後壁高中,OUA00020,嘉苳里,臺南市後壁區嘉苳里6鄰下茄苳132號,"23.355813,120.35903",1.0,172.0,
後壁高中,OUA00021,嘉苳里,臺南市後壁區嘉苳里6鄰下茄苳132號,"23.355813,120.35903",1.0,212.0,
後壁高中,OUA00022,嘉苳里,臺南市後壁區嘉苳里6鄰下茄苳132號,"23.355813,120.35903",1.0,80.0,
後壁區公所,OUA00023,後壁里,臺南市後壁區後壁里1鄰後壁129號,"23.366067,120.361983",1.0,697.0,
東山區公所,OUA00024,東山里,臺南市東山區東山里4鄰所前路225號,"23.326217,120.404473",1.0,410.0,
東山區衛生所,OUA00027,東山里,臺南市東山區東山里4鄰所前路236號,"23.326329,120.404723",1.0,53.0,
東原菜市場,OUA00028,東原里,臺南市東山區東原里1鄰前大埔2號之14,"23.266594,120.446196",1.0,297.0,
華濟中學,OUA00029,聖賢里,臺南市東山區聖賢里11鄰頂窩65號,"23.306801,120.339605",1.0,1092.0,
