類別,電腦編號,村里別,緯經度,地下樓層數,可容納人數,轄管分局,備註,"unnamed (1)","unnamed (2)","unnamed (3)","unnamed (4)"
公寓,EMA00102,文化里,"24.9920958,121.3112131",1,1346.0,桃園分局,,,,,
大樓,EMA01160,南門里,"24.9797645,121.3047276",1、2、3、4、5,2674.0,桃園分局,,,,,
公寓,EMA00097,文化里,"24.9907536,121.3106253",1,298.0,桃園分局,,,,,
大樓,EMA01213,武陵里,"24.9922051,121.3124477",1、2,80.0,桃園分局,,,,,
公寓,EMA01019,文化里,"24.9903137,121.3113974",1,278.0,桃園分局,,,,,
公寓,EMA01109,武陵里,"24.990344,121.3142295",1,237.0,桃園分局,,,,,
公寓,EMA01105,武陵里,"24.989482,121.3124979",1,9.0,桃園分局,,,,,
公寓,EMA01268,武陵里,"24.9895717,121.3121935",1,26.0,桃園分局,,,,,
公寓,EMA01363,東山里,"24.9908522,121.3166179",1,953.0,桃園分局,,,,,
大樓,EMA00113,武陵里,"24.9904709,121.3137189",1、2、3、4、5,2640.0,桃園分局,,,,,
公寓,EMA00112,武陵里,"24.9910702,121.3144578",1,1184.0,桃園分局,,,,,
公寓,EMA00132,東門里,"24.9957963,121.3146519",1,37.0,桃園分局,,,,,
大樓,EMA00130,東門里,"24.9959906,121.3152996",1、2,68.0,桃園分局,,,,,
大樓,EMA00129,東門里,"24.995561,121.3133638",1、2,113.0,桃園分局,,,,,
大樓,EMA00127,東門里,"24.9955085,121.3129436",1、2,94.0,桃園分局,,,,,
大樓,EMA00125,東門里,"24.9959417,121.3140844",1、2,3432.0,桃園分局,,,,,
大樓,EMA00128,東門里,"24.9949449,121.31445",1、2,2265.0,桃園分局,,,,,
大樓,EMA01364,東門里,"24.9944936,121.3152904",1、2,1366.0,桃園分局,,,,,
大樓,EMA00126,東門里,"24.9966503,121.3139712",1、2,1373.0,桃園分局,,,,,
公寓,EMA00133,東門里,"24.9961911,121.3137269",1,98.0,桃園分局,,,,,
大樓,EMA01294,東門里,"24.997443,121.313674",1、2,465.0,桃園分局,,,,,
公寓,EMA01110,東山里,"24.993601,121.31637",1,21.0,桃園分局,,,,,
公寓,EMA00150,南華里,"24.9897888,121.3078693",1,64.0,桃園分局,,,,,
公寓,EMA00151,南華里,"24.9911259,121.3084171",1,36.0,桃園分局,,,,,
大樓,EMA00172,文明里,"24.9901533,121.3097048",1、2、3,3550.0,桃園分局,,,,,
大樓,EMA00171,文明里,"24.9912629,121.30931",1、2,421.0,桃園分局,,,,,
大樓,EMA00179,東門里,"24.9940415,121.3153809",1、2,2494.0,桃園分局,,,,,
公寓,EMA11227,經國里,"25.011287,121.307676",1,52.0,桃園分局,,,,,
公寓,EMA11228,同安里,"25.0141666,121.3038301",1,46.0,桃園分局,,,,,
公寓,EMA11229,自強里,"25.0202742,121.3032654",1,106.0,桃園分局,,,,,
大樓,EMA00230,經國里,"25.0168471,121.3051763",1、2、3,2405.0,桃園分局,,,,,
公寓,EMA00231,經國里,"25.017411,121.304926",1,937.0,桃園分局,,,,,
公寓,EMA00232,新埔里,"25.0173127,121.3034044",1,22.0,桃園分局,,,,,
公寓,EMA00233,新埔里,"25.0177198,121.3023586",1,37.0,桃園分局,,,,,
公寓,EMA00234,新埔里,"25.0180819,121.3021242",1,32.0,桃園分局,,,,,
公寓,EMA00235,新埔里,"25.0181465,121.3021437",1,45.0,桃園分局,,,,,
公寓,EMA00236,新埔里,"25.0172722,121.3026753",1,41.0,桃園分局,,,,,
公寓,EMA00237,新埔里,"25.0185864,121.3028776",1,556.0,桃園分局,,,,,
公寓,EMA00238,新埔里,"25.0183081,121.3028678",1,137.0,桃園分局,,,,,
公寓,EMA00239,經國里,"25.0109071,121.3066136",1,52.0,桃園分局,,,,,
公寓,EMA00240,經國里,"25.011287,121.307676",1,52.0,桃園分局,,,,,
大樓,EMA00241,經國里,"25.0130198,121.3050745",1、2,1094.0,桃園分局,,,,,
公寓,EMA00242,經國里,"25.0109131,121.3067201",1,186.0,桃園分局,,,,,
公寓,EMA00243,經國里,"25.011287,121.307676",1,52.0,桃園分局,,,,,
公寓,EMA00724,信光里,"25.0063767,121.3038544",1,28.0,桃園分局,,,,,
公寓,EMA00725,東埔里,"25.004938,121.3050855",1,78.0,桃園分局,,,,,
公寓,EMA00726,信光里,"25.0061482,121.3046566",1,377.0,桃園分局,,,,,
公寓,EMA00730,信光里,"25.006526,121.304967",1,21.0,桃園分局,,,,,
公寓,EMA00731,信光里,"25.0050494,121.3049211",1,105.0,桃園分局,,,,,
公寓,EMA00732,信光里,"25.006733,121.30492",1,26.0,桃園分局,,,,,
公寓,EMA00733,信光里,"25.0061964,121.3052074",1,45.0,桃園分局,,,,,
公寓,EMA00734,信光里,"25.0063202,121.3057296",1,25.0,桃園分局,,,,,
公寓,EMA00735,信光里,"25.0064436,121.3054366",1,24.0,桃園分局,,,,,
公寓,EMA00736,信光里,"25.0066202,121.3056336",1,28.0,桃園分局,,,,,
公寓,EMA00737,信光里,"25.0063739,121.3053544",1,18.0,桃園分局,,,,,
公寓,EMA00758,春日里,"25.0186594,121.3090772",1,24.0,桃園分局,,,,,
大樓,EMA00775,春日里,"25.0176474,121.3111212",1、2,628.0,桃園分局,,,,,
公寓,EMA00783,會稽里,"25.0144729,121.315476",1,1516.0,桃園分局,,,,,
公寓,EMA00786,會稽里,"25.0159709,121.3141279",1,1001.0,桃園分局,,,,,
公寓,EMA00789,會稽里,"25.0157446,121.314895",1,105.0,桃園分局,,,,,
大樓,EMA00791,檜樂里,"25.014592,121.317917",1、2、3,10994.0,桃園分局,,,,,
公寓,EMA00792,會稽里,"25.014891,121.3162759",1,1057.0,桃園分局,,,,,
大樓,EMA00793,會稽里,"25.014855,121.317056",1、2、3,3082.0,桃園分局,,,,,
公寓,EMA00794,會稽里,"25.0147859,121.3170934",1,709.0,桃園分局,,,,,
公寓,EMA00795,會稽里,"25.0172253,121.3148786",1,18.0,桃園分局,,,,,
公寓,EMA00814,汴洲里,"25.0258307,121.3113389",1,108.0,桃園分局,,,,,
公寓,EMA00815,汴洲里,"25.0215405,121.3101267",1,300.0,桃園分局,,,,,
公寓,EMA00816,汴洲里,"25.0234111,121.3117963",1,253.0,桃園分局,,,,,
公寓,EMA00817,汴洲里,"25.0234563,121.3117498",1,254.0,桃園分局,,,,,
公寓,EMA00818,汴洲里,"25.0235053,121.3116839",1,438.0,桃園分局,,,,,
公寓,EMA00819,汴洲里,"25.0230945,121.3119712",1,105.0,桃園分局,,,,,
公寓,EMA00820,汴洲里,"25.0240923,121.3121323",1,220.0,桃園分局,,,,,
公寓,EMA00821,汴洲里,"25.0260029,121.3112883",1,100.0,桃園分局,,,,,
公寓,EMA00822,汴洲里,"25.026094,121.311343",1,100.0,桃園分局,,,,,
公寓,EMA00823,汴洲里,"25.0230655,121.3088944",1,105.0,桃園分局,,,,,
大樓,EMA00844,汴洲里,"25.0256261,121.3042643",1、2,242.0,桃園分局,,,,,
公寓,EMA00845,汴洲里,"25.0261857,121.3050553",1,82.0,桃園分局,,,,,
公寓,EMA00846,汴洲里,"25.0263,121.305377",1,90.0,桃園分局,,,,,
公寓,EMA00847,汴洲里,"25.0262451,121.3050259",1,82.0,桃園分局,,,,,
公寓,EMA00848,汴洲里,"25.0264274,121.305332",1,76.0,桃園分局,,,,,
公寓,EMA00849,汴洲里,"25.0261789,121.3050015",1,92.0,桃園分局,,,,,
公寓,EMA00850,汴洲里,"25.0258269,121.3043774",1,77.0,桃園分局,,,,,
大樓,EMA00851,汴洲里,"25.0274491,121.3011937",1、2,617.0,桃園分局,,,,,
大樓,EMA00852,汴洲里,"25.0326953,121.3016604",1、2,1902.0,桃園分局,,,,,
公寓,EMA00856,汴洲里,"25.028361,121.306005",1,42.0,桃園分局,,,,,
公寓,EMA00858,汴洲里,"25.0282313,121.3060178",1,42.0,桃園分局,,,,,
公寓,EMA00859,汴洲里,"25.0318795,121.3008336",1,61.0,桃園分局,,,,,
公寓,EMA00860,汴洲里,"25.0285215,121.3063754",1,41.0,桃園分局,,,,,
公寓,EMA00861,汴洲里,"25.0285235,121.3065034",1,41.0,桃園分局,,,,,
大樓,EMA00862,汴洲里,"25.0294631,121.3043759",1、2,1608.0,桃園分局,,,,,
公寓,EMA00872,春日里,"25.0159909,121.3108843",1,288.0,桃園分局,,,,,
公寓,EMA00873,春日里,"25.0186601,121.3092015",1,37.0,桃園分局,,,,,
公寓,EMA00874,春日里,"25.0157929,121.310976",1,34.0,桃園分局,,,,,
公寓,EMA00875,春日里,"25.0216422,121.3124114",1,153.0,桃園分局,,,,,
公寓,EMA00876,春日里,"25.0159044,121.3120047",1,142.0,桃園分局,,,,,
大樓,EMA01025,檜樂里,"25.0159873,121.3169194",1、2,6100.0,桃園分局,,,,,
大樓,EMA01029,同安里,"25.0125701,121.3015228",1、2,4586.0,桃園分局,,,,,
大樓,EMA01030,信光里,"25.0076197,121.308167",1、2,4294.0,桃園分局,,,,,
公寓,EMA01031,莊敬里,"25.0239861,121.29619",1,89.0,桃園分局,,,,,
大樓,EMA01064,自強里,"25.021957,121.303438",1、2,2076.0,桃園分局,,,,,
大樓,EMA01065,莊敬里,"25.0251515,121.2966547",1、2,2698.0,桃園分局,,,,,
大樓,EMA01081,汴洲里,"25.0326694,121.300596",1、2,5345.0,桃園分局,,,,,
大樓,EMA01083,經國里,"25.0171934,121.3037199",1、2,3108.0,桃園分局,,,,,
公寓,EMA01086,同安里,"25.0209836,121.2997669",1,124.0,桃園分局,,,,,
大樓,EMA01096,春日里,"25.0213787,121.3118559",1、2,516.0,桃園分局,,,,,
公寓,EMA01099,春日里,"25.0184649,121.309999",1,2457.0,桃園分局,,,,,
公寓,EMA01100,同安里,"25.0122424,121.3037612",1,1040.0,桃園分局,,,,,
公寓,EMA01117,新埔里,"25.0182137,121.3051286",1,310.0,桃園分局,,,,,
大樓,EMA01118,新埔里,"25.0182968,121.3021707",1、2,1218.0,桃園分局,,,,,
大樓,EMA01119,新埔里,"25.0186889,121.304088",1、2、3、4,5641.0,桃園分局,,,,,
大樓,EMA01120,新埔里,"25.0192955,121.3023037",1、2,2702.0,桃園分局,,,,,
大樓,EMA01135,莊敬里,"25.0248712,121.2973696",1、2、3,5049.0,桃園分局,,,,,
公寓,EMA01137,信光里,"25.007909,121.304653",1,3666.0,桃園分局,,,,,
公寓,EMA01147,莊敬里,"25.0198088,121.2986733",1,198.0,桃園分局,,,,,
公寓,EMA01149,東埔里,"25.0036538,121.3057843",1,265.0,桃園分局,,,,,
大樓,EMA01159,汴洲里,"25.0207827,121.3101293",1、2、3,1580.0,桃園分局,,,,,
大樓,EMA01170,自強里,"25.0201978,121.3015111",1、2,1477.0,桃園分局,,,,,
大樓,EMA01171,新埔里,"25.0182799,121.3029596",1、2、3,6546.0,桃園分局,,,,,
公寓,EMA01174,同安里,"25.011283,121.3029958",1,140.0,桃園分局,,,,,
大樓,EMA01182,自強里,"25.022603,121.303153",1、2、3,7574.0,桃園分局,,,,,
大樓,EMA01193,同安里,"25.0159306,121.3020085",1、2、3,3724.0,桃園分局,,,,,
大樓,EMA01194,自強里,"25.0214849,121.3031982",1、2、3,1805.0,桃園分局,,,,,
公寓,EMA01216,同安里,"25.0122424,121.3037612",1,1825.0,桃園分局,,,,,
大樓,EMA01217,莊敬里,"25.0196418,121.2988883",1、2,884.0,桃園分局,,,,,
大樓,EMA01221,長安里,"25.0037403,121.3050681",1、2、3,3118.0,桃園分局,,,,,
公寓,EMA01230,自強里,"25.0237938,121.3021147",1,3192.0,桃園分局,,,,,
大樓,EMA01234,莊敬里,"25.0248175,121.2964085",1、2、3,8664.0,桃園分局,,,,,
公寓,EMA01236,經國里,"25.0182479,121.306454",1,284.0,桃園分局,,,,,
大樓,EMA01239,同安里,"25.009991,121.30455",1、2、3,6560.0,桃園分局,,,,,
大樓,EMA01243,同安里,"25.0182144,121.3016349",1、2、3,2944.0,桃園分局,,,,,
公寓,EMA01245,春日里,"25.0216005,121.3083025",1,461.0,桃園分局,,,,,
大樓,EMA01248,春日里,"25.016332,121.3092188",1、2、3,3338.0,桃園分局,,,,,
大樓,EMA01254,春日里,"25.0181738,121.3107253",1、2,7594.0,桃園分局,,,,,
公寓,EMA01256,同安里,"25.0166109,121.3028023",1,450.0,桃園分局,,,,,
大樓,EMA01257,經國里,"25.0159676,121.3050284",1、2,17896.0,桃園分局,,,,,
大樓,EMA01259,莊敬里,"25.0196335,121.3009086",1、2,1386.0,桃園分局,,,,,
公寓,EMA01260,新埔里,"25.018508,121.3044698",1,180.0,桃園分局,,,,,
大樓,EMA01261,自強里,"25.0313881,121.3002843",1、2、3,2174.0,桃園分局,,,,,
大樓,EMA01274,汴洲里,"25.02799,121.3039",1、2,1209.0,桃園分局,,,,,
大樓,EMA01275,莊敬里,"25.0242372,121.2949779",1、2,1061.0,桃園分局,,,,,
大樓,EMA01276,新埔里,"25.0197121,121.3039173",1、2、3,2224.0,桃園分局,,,,,
公寓,EMA01278,春日里,"25.0232795,121.3068422",1,1032.0,桃園分局,,,,,
大樓,EMA01288,會稽里,"25.0150024,121.3164604",1、2、3,2901.0,桃園分局,,,,,
大樓,EMA01289,同安里,"25.0154676,121.3032469",1、2,2194.0,桃園分局,,,,,
公寓,EMA01290,同安里,"25.0122424,121.3037613",1,1417.0,桃園分局,,,,,
大樓,EMA01291,莊敬里,"25.021545,121.296322",1、2、3,2678.0,桃園分局,,,,,
大樓,EMA01302,同安里,"25.0108595,121.3018749",1、2,6037.0,桃園分局,,,,,
大樓,EMA01303,春日里,"25.0187618,121.3106162",1、2,1314.0,桃園分局,,,,,
大樓,EMA01304,莊敬里,"25.0227362,121.2993515",1、2、3,937.0,桃園分局,,,,,
大樓,EMA01314,經國里,"25.0135308,121.3074057",1、2、3,4220.0,桃園分局,,,,,
公寓,EMA01320,自強里,"25.0130198,121.3050745",1,645.0,桃園分局,,,,,
公寓,EMA01339,會稽里,"25.0161645,121.3137939",1,774.0,桃園分局,,,,,
大樓,EMA01340,經國里,"25.0134049,121.3074688",1、2,1826.0,桃園分局,,,,,
大樓,EMA01341,經國里,"25.012859,121.3078281",1、2、3,2021.0,桃園分局,,,,,
公寓,EMA01342,經國里,"25.0170662,121.3033205",1,481.0,桃園分局,,,,,
大樓,EMA01343,會稽里,"25.014229,121.317497",1、2,4598.0,桃園分局,,,,,
公寓,EMA01351,春日里,"25.0232795,121.3068422",1,3470.0,桃園分局,,,,,
公寓,EMA01352,自強里,"25.0217263,121.3040055",1,1052.0,桃園分局,,,,,
大樓,EMA01353,檜樂里,"25.014902,121.318668",1、2,2330.0,桃園分局,,,,,
大樓,EMA01368,經國里,"25.0115967,121.3082373",1、2、3,4248.0,桃園分局,,,,,
大樓,EMA01369,檜樂里,"25.014788,121.318253",1、2,1721.0,桃園分局,,,,,
大樓,EMA01370,自強里,"25.0223277,121.3009214",1、2,4266.0,桃園分局,,,,,
公寓,EMA01382,莊敬里,"25.0214926,121.2981712",1,1654.0,桃園分局,,,,,
公寓,EMA01383,新埔里,"25.0182479,121.306454",1,4378.0,桃園分局,,,,,
大樓,EMA01384,信光里,"25.0072874,121.3042622",1、2,4093.0,桃園分局,,,,,
大樓,EMA01400,經國里,"25.0164539,121.3048046",1、2,7565.0,桃園分局,,,,,
大樓,EMA01401,莊敬里,"25.0253351,121.2995231",1、2,8414.0,桃園分局,,,,,
大樓,EMA01402,春日里,"25.0173092,121.3102625",1、2,3340.0,桃園分局,,,,,
大樓,EMA01403,信光里,"25.0090464,121.3044258",1、2,1300.0,桃園分局,,,,,
公寓,EMA01404,會稽里,"25.0161645,121.3137939",1,3953.0,桃園分局,,,,,
公寓,EMA01420,會稽里,"25.0190232,121.3154235",1,2130.0,桃園分局,,,,,
大樓,EMA01421,同安里,"25.013918,121.302993",1、2,1814.0,桃園分局,,,,,
公寓,EMA01422,同安里,"25.0163231,121.3017492",1,216.0,桃園分局,,,,,
大樓,EMA01423,同安里,"25.0202707,121.3002282",1、2,173.0,桃園分局,,,,,
大樓,EMA01424,汴洲里,"25.0221402,121.3074055",1、2,1588.0,桃園分局,,,,,
公寓,EMA01425,東埔里,"25.0046806,121.3049084",1,148.0,桃園分局,,,,,
大樓,EMA01439,信光里,"25.0071212,121.3035813",1、2,3993.0,桃園分局,,,,,
大樓,EMA01440,自強里,"25.0236932,121.3031389",1、2,6736.0,桃園分局,,,,,
大樓,EMA01449,信光里,"25.0083937,121.3051042",1、2、3,3019.0,桃園分局,,,,,
公寓,EMA01450,新埔里,"25.0182479,121.306454",1,4431.0,桃園分局,,,,,
公寓,EMA01451,檜樂里,"25.0192089,121.3157206",1,6159.0,桃園分局,,,,,
大樓,EMA01452,同安里,"25.0148247,121.3025424",1、2、3,3101.0,桃園分局,,,,,
公寓,EMA01458,會稽里,"25.0161645,121.3137939",1,3370.0,桃園分局,,,,,
大樓,EMA01462,檜樂里,"25.0166698,121.3179058",1、2、3,7229.0,桃園分局,,,,,
大樓,T97105,汴洲里,"25.0208783,121.3103493",1、2、3,3277.0,桃園分局,,,,,
公寓,T97108,春日里,"25.0215232,121.3081378",1,287.0,桃園分局,,,,,
大樓,T97216,同安里,"25.0110516,121.3056439",1、2,2676.0,桃園分局,,,,,
公寓,T97221,自強里,"25.0239227,121.3016183",1,456.0,桃園分局,,,,,
公寓,T98102,東埔里,"25.0047592,121.3048819",1,372.0,桃園分局,,,,,
大樓,T98103,同安里,"25.0086383,121.3036366",1、2,613.0,桃園分局,,,,,
大樓,T99205,經國里,"25.0182479,121.306454",1、2、3,797.0,桃園分局,,,,,
大樓,T99206,同安里,"25.0140118,121.3014443",1、2、3,11019.0,桃園分局,,,,,
大樓,T99309,信光里,"25.008755,121.307135",1、2、3,2978.0,桃園分局,,,,,
大樓,T99402,春日里,"25.0201693,121.3102506",1、2,2198.0,桃園分局,,,,,
大樓,T99403,東埔里,"25.0010563,121.3072288",1、2,135.0,桃園分局,,,,,
公寓,EMA00750,三民里,"24.9990827,121.3183608",1,125.0,桃園分局,,,,,
公寓,EMA00751,三民里,"24.997835,121.318471",1,50.0,桃園分局,,,,,
公寓,EMA00752,三民里,"24.998885,121.317927",1,34.0,桃園分局,,,,,
公寓,EMA00753,三民里,"24.9993824,121.3188422",1,869.0,桃園分局,,,,,
公寓,EMA00754,三民里,"24.9992935,121.3195514",1,52.0,桃園分局,,,,,
公寓,EMA00755,三民里,"24.9986093,121.3193443",1,252.0,桃園分局,,,,,
公寓,EMA00756,三民里,"24.9983177,121.3189441",1,114.0,桃園分局,,,,,
公寓,EMA00757,三民里,"24.9966878,121.3200286",1,630.0,桃園分局,,,,,
公寓,EMA00759,三民里,"24.9990479,121.318779",1,34.0,桃園分局,,,,,
公寓,EMA00760,三民里,"24.998119,121.318357",1,106.0,桃園分局,,,,,
公寓,EMA00761,三民里,"24.9992231,121.3184456",1,568.0,桃園分局,,,,,
公寓,EMA00762,三民里,"24.9977615,121.3187841",1,26.0,桃園分局,,,,,
公寓,EMA00763,三民里,"24.9978714,121.3184079",1,18.0,桃園分局,,,,,
公寓,EMA00764,三民里,"24.9977596,121.3196114",1,48.0,桃園分局,,,,,
公寓,EMA00765,三民里,"24.998835,121.318178",1,434.0,桃園分局,,,,,
公寓,EMA00766,三民里,"24.9999186,121.3208768",1,1016.0,桃園分局,,,,,
公寓,EMA00767,三民里,"24.9970507,121.3216907",1,3173.0,桃園分局,,,,,
公寓,EMA00768,三民里,"24.9964535,121.3232899",1,862.0,桃園分局,,,,,
公寓,EMA00769,三民里,"24.9968943,121.3226481",1,581.0,桃園分局,,,,,
公寓,EMA00770,三民里,"24.9952723,121.319957",1,286.0,桃園分局,,,,,
公寓,EMA00771,三民里,"24.9958232,121.3246691",1,3184.0,桃園分局,,,,,
公寓,EMA00772,三民里,"24.9975877,121.3223283",1,1420.0,桃園分局,,,,,
公寓,EMA00773,三民里,"24.9994425,121.3215358",1,1597.0,桃園分局,,,,,
公寓,EMA00774,成功里,"24.9980524,121.3159836",1,257.0,桃園分局,,,,,
公寓,EMA00776,寶山里,"25.0121042,121.3143414",1,2765.0,桃園分局,,,,,
公寓,EMA00777,寶山里,"25.0122098,121.3147726",1,640.0,桃園分局,,,,,
大樓,EMA00778,寶民里,"25.0116877,121.3172795",1、2,4546.0,桃園分局,,,,,
大樓,EMA00779,寶山里,"25.0154902,121.3133787",1、2,1424.0,桃園分局,,,,,
大樓,EMA00780,大有里,"25.0147414,121.3189573",1、2,412.0,桃園分局,,,,,
大樓,EMA00781,大有里,"25.0129391,121.3182858",1、2,3112.0,桃園分局,,,,,
公寓,EMA00782,寶山里,"25.0145843,121.3135555",1,385.0,桃園分局,,,,,
公寓,EMA00784,大有里,"25.0143947,121.3192309",1,352.0,桃園分局,,,,,
公寓,EMA00785,寶山里,"25.0144707,121.3138612",1,565.0,桃園分局,,,,,
公寓,EMA00787,寶山里,"25.0147689,121.3138041",1,788.0,桃園分局,,,,,
公寓,EMA00788,寶山里,"25.0150422,121.3137594",1,1190.0,桃園分局,,,,,
大樓,EMA00790,大有里,"25.01285,121.3187311",1、2,2363.0,桃園分局,,,,,
公寓,EMA00796,朝陽里,"25.0022031,121.3096897",1,44.0,桃園分局,,,,,
公寓,EMA00797,朝陽里,"24.9976679,121.3135304",1,96.0,桃園分局,,,,,
公寓,EMA00798,朝陽里,"24.9975302,121.3133724",1,38.0,桃園分局,,,,,
公寓,EMA00799,朝陽里,"24.9986444,121.313091",1,17.0,桃園分局,,,,,
公寓,EMA00800,朝陽里,"25.001447,121.3100179",1,188.0,桃園分局,,,,,
公寓,EMA00801,朝陽里,"24.9989771,121.3135033",1,42.0,桃園分局,,,,,
公寓,EMA00802,朝陽里,"24.9972887,121.3128653",1,345.0,桃園分局,,,,,
公寓,EMA00803,朝陽里,"24.9978211,121.3140321",1,41.0,桃園分局,,,,,
公寓,EMA00804,朝陽里,"24.9979889,121.313284",1,24.0,桃園分局,,,,,
公寓,EMA00805,朝陽里,"24.997954,121.313191",1,22.0,桃園分局,,,,,
公寓,EMA00806,朝陽里,"24.9977715,121.3133929",1,41.0,桃園分局,,,,,
公寓,EMA00807,朝陽里,"24.997811,121.3134807",1,66.0,桃園分局,,,,,
公寓,EMA00808,朝陽里,"24.9992859,121.3135064",1,54.0,桃園分局,,,,,
公寓,EMA00809,朝陽里,"24.9983188,121.3114109",1,105.0,桃園分局,,,,,
公寓,EMA00810,朝陽里,"25.0008256,121.310377",1,42.0,桃園分局,,,,,
公寓,EMA00811,朝陽里,"25.0019999,121.3097553",1,70.0,桃園分局,,,,,
公寓,EMA00812,朝陽里,"24.9977395,121.3137729",1,132.0,桃園分局,,,,,
公寓,EMA00813,朝陽里,"24.9983123,121.3138869",1,105.0,桃園分局,,,,,
公寓,EMA00826,青溪里,"24.9996029,121.3170823",1,132.0,桃園分局,,,,,
公寓,EMA00827,青溪里,"24.9996377,121.3179664",1,1878.0,桃園分局,,,,,
大樓,EMA00828,青溪里,"25.0008043,121.3185377",1、2、3、4,7333.0,桃園分局,,,,,
公寓,EMA00829,成功里,"24.998432,121.3163589",1,21.0,桃園分局,,,,,
公寓,EMA00830,成功里,"24.9985229,121.317724",1,122.0,桃園分局,,,,,
公寓,EMA00831,成功里,"24.9977833,121.3179739",1,20.0,桃園分局,,,,,
公寓,EMA00832,成功里,"24.9987508,121.3177459",1,126.0,桃園分局,,,,,
公寓,EMA00833,成功里,"24.9980545,121.3190628",1,24.0,桃園分局,,,,,
公寓,EMA00834,成功里,"24.9986004,121.3165792",1,16.0,桃園分局,,,,,
公寓,EMA00835,成功里,"24.9976088,121.3150125",1,21.0,桃園分局,,,,,
公寓,EMA00836,成功里,"24.9974952,121.3178871",1,29.0,桃園分局,,,,,
公寓,EMA00837,成功里,"24.996887,121.3160485",1,12.0,桃園分局,,,,,
公寓,EMA00838,成功里,"24.996873,121.316001099999",1,13.0,桃園分局,,,,,
公寓,EMA00839,成功里,"24.9970626,121.3162609",1,14.0,桃園分局,,,,,
公寓,EMA00840,成功里,"24.9970778,121.3163443",1,220.0,桃園分局,,,,,
公寓,EMA00842,成功里,"24.9987797,121.3177285",1,33.0,桃園分局,,,,,
公寓,EMA00867,大業里,"25.0092622,121.311294",1,54.0,桃園分局,,,,,
公寓,EMA00868,大業里,"25.0090744,121.3132532",1,234.0,桃園分局,,,,,
公寓,EMA00869,大業里,"25.0085956,121.3129418",1,60.0,桃園分局,,,,,
大樓,EMA00870,大業里,"25.0088099,121.313943",1、2,4554.0,桃園分局,,,,,
公寓,EMA00871,大業里,"25.0090404,121.3129365",1,396.0,桃園分局,,,,,
大樓,EMA01023,朝陽里,"24.9994827,121.3109137",1、2、3,1336.0,桃園分局,,,,,
公寓,EMA01024,忠義里,"25.0047124,121.317725",1,5477.0,桃園分局,,,,,
大樓,EMA01026,寶民里,"25.011697,121.3150459",1、2,6025.0,桃園分局,,,,,
大樓,EMA01027,成功里,"24.9956203,121.31815",1、2,2010.0,桃園分局,,,,,
公寓,EMA01028,成功里,"24.9975773,121.3178356",1,314.0,桃園分局,,,,,
公寓,EMA01066,三元里,"25.0079885,121.3229738",1,100.0,桃園分局,,,,,
大樓,EMA01067,三元里,"25.0077464,121.3193597",1、2,2478.0,桃園分局,,,,,
大樓,EMA01068,大業里,"25.0073937,121.3156589",1、2,1752.0,桃園分局,,,,,
大樓,EMA01069,大業里,"25.0097277,121.311049",1、2、3,1493.0,桃園分局,,,,,
公寓,EMA01070,成功里,"24.9974469,121.317112",1,444.0,桃園分局,,,,,
大樓,EMA01071,寶山里,"25.0156931,121.3123412",1、2,1602.0,桃園分局,,,,,
大樓,EMA01079,三民里,"24.9984462,121.3180886",1、2、3,1409.0,桃園分局,,,,,
公寓,EMA01080,三民里,"24.9995079,121.3192312",1,770.0,桃園分局,,,,,
公寓,EMA01082,成功里,"24.996943,121.3181975",1,112.0,桃園分局,,,,,
公寓,EMA01095,青溪里,"24.9996377,121.3179664",1,1638.0,桃園分局,,,,,
公寓,EMA01097,朝陽里,"24.9992232,121.3130471",1,1732.0,桃園分局,,,,,
公寓,EMA01098,三元里,"24.9976445,121.3261944",1,382.0,桃園分局,,,,,
公寓,EMA01113,大有里,"25.0145409,121.3189704",1,4050.0,桃園分局,,,,,
大樓,EMA01114,忠義里,"25.0060314,121.3168935",1、2,2900.0,桃園分局,,,,,
公寓,EMA01115,福元里,"25.0067122,121.3160189",1,702.0,桃園分局,,,,,
大樓,EMA01133,大興里,"25.012343,121.311653",1、2,330.0,桃園分局,,,,,
大樓,EMA01158,大業里,"25.0101649,121.3110039",1、2,7902.0,桃園分局,,,,,
大樓,EMA01190,福元里,"25.0072265,121.3187009",1、2,1474.0,桃園分局,,,,,
大樓,EMA01191,朝陽里,"24.9970779,121.3130788",1、2,3126.0,桃園分局,,,,,
公寓,EMA01198,福元里,"25.005057,121.3189404",1,668.0,桃園分局,,,,,
大樓,EMA01204,福元里,"25.0049751,121.3195357",1、2,2134.0,桃園分局,,,,,
大樓,EMA01207,大興里,"25.0144086,121.309095",1、2、3、4,1390.0,桃園分局,,,,,
公寓,EMA01209,福元里,"25.009212,121.3148277",1,514.0,桃園分局,,,,,
公寓,EMA01219,大有里,"25.0096184,121.3202341",1,6773.0,桃園分局,,,,,
大樓,EMA01223,寶民里,"25.013475,121.313235",1、2,1773.0,桃園分局,,,,,
公寓,EMA01229,福元里,"25.0067122,121.3160189",1,1677.0,桃園分局,,,,,
公寓,EMA01244,三民里,"24.9979166,121.3200715",1,305.0,桃園分局,,,,,
大樓,EMA01252,寶民里,"25.0081815,121.3182928",1、2、3,1382.0,桃園分局,,,,,
公寓,EMA01253,福元里,"25.0057135,121.3181735",1,138.0,桃園分局,,,,,
