類別,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,placemark_address
民宅,過港里,基隆市暖暖區暖中路9號,"25.10489, 121.73978",1.0,185,第三分局,"民宅 過港004 過港里 基隆市暖暖區暖中路9號 185 第三分局"
民宅,過港里,基隆市暖暖區過港路5號,"25.10382, 121.74016",1.0,257,第三分局,"民宅 過港005 過港里 基隆市暖暖區過港路5號 257 第三分局"
民宅,過港里,基隆市暖暖區寧靜街60巷6號,"25.10431, 121.74065",1.0,269,第三分局,"民宅 過港006 過港里 基隆市暖暖區寧靜街60巷6號 269 第三分局"
暖江國小,過港里,基隆市暖暖區寧靜街3號,"25.10537, 121.73786",1.0,158,第三分局,"暖江國小 過港007 過港里 基隆市暖暖區寧靜街3號 158 第三分局"
羅傑摩爾,過港里,基隆市暖暖區過港路10巷142號,"25.10517, 121.73771",1.0,3028,第三分局,"羅傑摩爾 過港008 過港里 基隆市暖暖區過港路10巷142號 3028 第三分局"
羅傑摩爾,過港里,基隆市暖暖區過港路10巷182號,"25.10576, 121.74279",1.0,2723,第三分局,"羅傑摩爾 過港009 過港里 基隆市暖暖區過港路10巷182號 2723 第三分局"
羅傑摩爾,過港里,基隆市暖暖區過港路10巷230號,"25.10576, 121.74279",1.0,1251,第三分局,"羅傑摩爾 過港010 過港里 基隆市暖暖區過港路10巷230號 1251 第三分局"
民宅,過港里,基隆市暖暖區過港路216號,"25.10859, 121.73488",1.0,119,第三分局,"民宅 過港011 過港里 基隆市暖暖區過港路216號 119 第三分局"
民宅,過港里,基隆市暖暖區過港路182號,"25.10478, 121.73825",1.0,44,第三分局,"民宅 過港012 過港里 基隆市暖暖區過港路182號 44 第三分局"
暖江國小,過港里,基隆市暖暖區寧靜街3號,"25.10387, 121.73985",1.0,73,第三分局,"暖江國小 過港013 過港里 基隆市暖暖區寧靜街3號 73 第三分局"
永念亭,過港里,基隆市暖暖區興隆街14之15號,"25.10709, 121.74844",1.0,531,第三分局,"永念亭 過港014 過港里 基隆市暖暖區興隆街14之15號 531 第三分局"
民宅,過港里,基隆市暖暖區過港路20號,"25.10478, 121.73825",1.0,135,第三分局,"民宅 過港015 過港里 基隆市暖暖區過港路20號 135 第三分局"
民宅,實踐里,基隆市七堵區福一街20巷29號,"25.08025, 121.69592",1.0,91,第三分局,"民宅 實踐001 實踐里 基隆市七堵區福一街20巷29號 91 第三分局"
五堵國小,實踐里,基隆市七堵區百一街25號,"25.07981, 121.69338",1.0,260,第三分局,"五堵國小 實踐002 實踐里 基隆市七堵區百一街25號 260 第三分局"
五堵國小,實踐里,基隆市七堵區百一街25號,"25.07981, 121.69338",1.0,170,第三分局,"五堵國小 實踐003 實踐里 基隆市七堵區百一街25號 170 第三分局"
民宅,實踐里,基隆市七堵區福一街37號,"25.08104, 121.69992",1.0,982,第三分局,"民宅 實踐004 實踐里 基隆市七堵區福一街37號 982 第三分局"
民宅,實踐里,基隆市七堵區實踐路76號,"25.08098, 121.70013",1.0,1111,第三分局,"民宅 實踐005 實踐里 基隆市七堵區實踐路76號 1111 第三分局"
民宅,實踐里,基隆市七堵區福六街27號,"25.08233, 121.70028",1.0,1089,第三分局,"民宅 實踐006 實踐里 基隆市七堵區福六街27號 1089 第三分局"
民宅,實踐里,基隆市七堵區百一街195號,"25.08104, 121.69992",1.0,150,第三分局,"民宅 實踐008 實踐里 基隆市七堵區百一街195號 150 第三分局"
民宅,實踐里,基隆市七堵區百二街26號,"25.08098, 121.70013",1.0,107,第三分局
民宅,實踐里,基隆市七堵區實踐路86號,"25.08173, 121.69433",1.0,745,第三分局,"民宅 實踐010 實踐里 基隆市七堵區實踐路86號 745 第三分局"
五堵國小,實踐里,基隆市七堵區百一街25號,"25.07981, 121.69338",1.0,156,第三分局,"五堵國小 實踐011 實踐里 基隆市七堵區百一街25號 156 第三分局"
五堵國小,實踐里,基隆市七堵區百一街25號,"25.07981, 121.69338",1.0,252,第三分局,"五堵國小 實踐012 實踐里 基隆市七堵區百一街25號 252 第三分局"
民宅,實踐里,基隆市七堵區百一街147號,"25.08058, 121.69799",1.0,376,第三分局,"民宅 實踐013 實踐里 基隆市七堵區百一街147號 376 第三分局"
民宅,實踐里,基隆市七堵區百三街146號,"25.08183, 121.69874",1.0,287,第三分局
民宅,實踐里,基隆市七堵區百二街6之1號,"25.08098, 121.70013",1.0,338,第三分局,"民宅 實踐015 實踐里 基隆市七堵區百二街6之1號 338 第三分局"
綠意東居,泰安里,基隆市七堵區泰安路1之9號,"25.08889, 121.7071",2.0,1152,第三分局,"綠意東居 泰安013 泰安里 基隆市七堵區泰安路1之9號 1152 第三分局"
萬隆建設-萬隆青青NO.2,堵南里,基隆市七堵區堵南街133號,"25.13561, 121.7343",2.0,1496,第三分局,"萬隆建設-萬隆青青NO.2 堵南021 堵南里 基隆市七堵區堵南街133號 1496 第三分局"
暖暖國小,暖暖里,基隆市暖暖區暖暖街121號,"25.10075, 121.73735",1.0,261,第三分局,"暖暖國小 暖暖021 暖暖里 基隆市暖暖區暖暖街121號 261 第三分局"
