類別,村里,地址,緯經度,地下樓層數,可容納人數,轄管分局,轄管所別,備註
公寓,中苗里,苗栗縣苗栗市中山路553號,"24.55851222528946, 120.82030506848979",1.0,100,苗栗分局,北苗所,
公寓,中苗里,苗栗縣苗栗市中正路443巷1號,"24.56012970089058, 120.8226948789923",1.0,540,苗栗分局,北苗所,
富邦產物,中苗里,苗栗縣苗栗市中正路399號,"24.560898736675586, 120.82256408734365",2.0,597,苗栗分局,北苗所,
大樓,中苗里,苗栗縣苗栗市中正路416號,"24.56062206567912, 120.82211179931804",1.0,680,苗栗分局,北苗所,
大樓,中苗里,苗栗縣苗栗市中正路420號,"24.560464802940228, 120.82203316373624",2.0,1214,苗栗分局,北苗所,
公寓,中苗里,苗栗縣苗栗市中正路422巷43號,"24.56050681449409, 120.82204825699085",1.0,100,苗栗分局,北苗所,
公寓,中苗里,苗栗縣苗栗市中正路447號,"24.5600560358152, 120.82202169931803",1.0,110,苗栗分局,北苗所,
公寓,中苗里,苗栗縣苗栗市中正路449號,"24.55993428231491, 120.82198869931801",1.0,56,苗栗分局,北苗所,
台灣銀行,中苗里,苗栗縣苗栗市中正路510號,"24.55893974552323, 120.82093495699088",1.0,880,苗栗分局,北苗所,
大樓,中苗里,苗栗縣苗栗市中正路458號,"24.55992324049398, 120.82170136373618",2.0,701,苗栗分局,北苗所,
公寓,中苗里,苗栗縣苗栗市中正路503巷37號,"24.558672666513846, 120.82227500606339",1.0,"56 ",苗栗分局,北苗所,
公寓,中苗里,苗栗縣苗栗市中正路523巷3號,"24.558296424972642, 120.82137363489981",1.0,"48 ",苗栗分局,北苗所,
大樓,中苗里,苗栗縣苗栗市中山路403號,"24.560950355586957, 120.82193945499921",2.0,"288 ",苗栗分局,北苗所,
大樓,中苗里,苗栗縣苗栗市中正路496號,"24.559210915852326, 120.82132508383565",1.0,"304 ",苗栗分局,北苗所,
公寓,中苗里,苗栗縣苗栗市中正路527號,"24.558427867070872, 120.82110023965349",1.0,"34 ",苗栗分局,北苗所,
公寓,中苗里,苗栗縣苗栗市中山路536號,"24.559112841252563, 120.82011118383564",1.0,"116 ",苗栗分局,北苗所,
公寓,中苗里,苗栗縣苗栗市中山路561號,"24.558430192201378, 120.82015039732623",1.0,"26 ",苗栗分局,北苗所,
公寓,中苗里,苗栗縣苗栗市中山路557號,"24.558587400065125, 120.8201609838355",1.0,"34 ",苗栗分局,北苗所,
公寓,中苗里,苗栗縣苗栗市中山路555號,"24.55856108352905, 120.82016846849",1.0,"34 ",苗栗分局,北苗所,
公寓,中苗里,苗栗縣苗栗市中山路376號,"24.561466848597593, 120.82209729732631",1.0,"38 ",苗栗分局,北苗所,
公寓,中苗里,苗栗縣苗栗市中山路414號,"24.56087428136751, 120.82137598383571",1.0,"298 ",苗栗分局,北苗所,
大樓,中苗里,苗栗縣苗栗市建台街1巷10號,"24.557561982315736, 120.82147368118",1.0,"495 ",苗栗分局,北苗所,
公寓,維祥里,苗栗縣苗栗市玉維路286號,"24.55734070954272, 120.83459653965348",1.0,"176 ",苗栗分局,北苗所,
苗栗農工,維祥里,苗栗縣苗栗市玉維路286號,"24.55734070954272, 120.83459653965348",1.0,"888 ",苗栗分局,北苗所,
苗栗農工,維祥里,苗栗縣苗栗市玉維路286號,"24.55734070954272, 120.83459653965348",1.0,"725 ",苗栗分局,北苗所,
苗栗農工,維祥里,苗栗縣苗栗市玉維路286號,"24.55734070954272, 120.83459653965348",1.0,"502 ",苗栗分局,北苗所,
苗栗農工,維祥里,苗栗縣苗栗市玉維路286號,"24.55734070954272, 120.83459653965348",1.0,"644 ",苗栗分局,北苗所,
公寓,維祥里,苗栗縣苗栗市四維街223號,"24.556031468937032, 120.82925313965349",1.0,"64 ",苗栗分局,北苗所,
大樓,清華里,苗栗縣苗栗市長安街1巷1號,"24.567859217281786, 120.82569872616288",1.0,"1044 ",苗栗分局,北苗所,
大樓,清華里,苗栗縣苗栗市為公路282號,"24.571418556951965, 120.82952321081731",1.0,"1480 ",苗栗分局,北苗所,
公寓,清華里,苗栗縣苗栗市為公路354號,"24.571682556746204, 120.83120581081725",1.0,"57 ",苗栗分局,北苗所,
公寓,清華里,苗栗縣苗栗市為公路340號,"24.571706142215742, 120.83063833965376",1.0,"16 ",苗栗分局,北苗所,
公寓,清華里,苗栗縣苗栗市為公路360號,"24.571727770444596, 120.83135026849027",1.0,"38 ",苗栗分局,北苗所,
公寓,清華里,苗栗縣苗栗市玉興路28號,"24.567410672127206, 120.82769821081715",1.0,"60 ",苗栗分局,北苗所,
公寓,清華里,苗栗縣苗栗市紫園1號,"24.5706536386787, 120.82709461031678",1.0,"126 ",苗栗分局,北苗所,
公寓,嘉盛里,苗栗縣苗栗市為公路559巷1號,"24.5733378840705, 120.83553179732671",1.0,"50 ",苗栗分局,北苗所,
公寓,嘉盛里,苗栗縣苗栗市為公路686巷29號,"24.573922112509027, 120.8396564684902",1.0,"93 ",苗栗分局,北苗所,
公賣局,嘉盛里,苗栗縣苗栗市為公路602號,"24.573359012684712, 120.83749972616307",1.0,"133 ",苗栗分局,北苗所,
苗栗醫院,嘉盛里,苗栗縣苗栗市為公路747號,"24.575568225900145, 120.84103169732674",1.0,"53 ",苗栗分局,北苗所,
公寓,嘉盛里,苗栗縣苗栗市橋頭北2號,"24.57502252615534, 120.84172368198098",1.0,"102 ",苗栗分局,北苗所,
公寓,嘉盛里,苗栗縣苗栗市為公路540號,"24.57299352710424, 120.83570103965369",1.0,"46 ",苗栗分局,北苗所,
中油公司,清華里,苗栗縣苗栗市為公路273號,"24.571589171352596, 120.82924452616298",1.0,"400 ",苗栗分局,北苗所,
公寓,清華里,苗栗縣苗栗市為公路307巷9號,"24.57181308490233, 120.83007566849017",1.0,"24 ",苗栗分局,北苗所,
公寓,清華里,苗栗縣苗栗市為公路307巷13-4號,"24.57181328396653, 120.8300631327847",1.0,"58 ",苗栗分局,北苗所,
公寓,清華里,苗栗縣苗栗市為公路307巷13-3號,"24.57181328396653, 120.8300631327847",1.0,"58 ",苗栗分局,北苗所,
公寓,清華里,苗栗縣苗栗市嘉盛街9號,"24.572051999125595, 120.83114317020937",1.0,"46 ",苗栗分局,北苗所,
公寓,清華里,苗栗縣苗栗市長安街12號,"24.569838501728274, 120.82537901496411",1.0,"32 ",苗栗分局,北苗所,
公寓,清華里,苗栗縣苗栗市為公路196巷14號,"24.570761214795, 120.82775939732659",1.0,"24 ",苗栗分局,北苗所,
公寓,清華里,苗栗縣苗栗市為公路196巷15號,"24.57076121479501, 120.82773793965374",1.0,"24 ",苗栗分局,北苗所,
公寓,清華里,苗栗縣苗栗市為公路195巷16號,"24.57157501409756, 120.82771639732657",1.0,"26 ",苗栗分局,北苗所,
公寓,清華里,苗栗縣苗栗市為公路195巷17號,"24.57160962775156, 120.82724543965368",1.0,"24 ",苗栗分局,北苗所,
公寓,清華里,苗栗縣苗栗市為公路195巷18號,"24.571580785029088, 120.82771339732656",1.0,"26 ",苗栗分局,北苗所,
公寓,清華里,苗栗縣苗栗市為公路195巷13號,"24.571530285056646, 120.82725972616304",1.0,"24 ",苗栗分局,北苗所,
公寓,清華里,苗栗縣苗栗市為公路195巷12號,"24.5713491278734, 120.82771496849003",1.0,"26 ",苗栗分局,北苗所,
公寓,清華里,苗栗縣苗栗市為公路195巷11號,"24.571457570549853, 120.82722731081721",1.0,"24 ",苗栗分局,北苗所,
公寓,清華里,苗栗縣苗栗市為公路195巷9號,"24.571436727832488, 120.82728325499934",1.0,"24 ",苗栗分局,北苗所,
公寓,清華里,苗栗縣苗栗市為公路195巷10號,"24.5713222560382, 120.82771163965363",1.0,"26 ",苗栗分局,北苗所,
公寓,清華里,苗栗縣苗栗市福星街87號,"24.57267819938853, 120.82547701325713",1.0,"33 ",苗栗分局,北苗所,
大樓,清華里,苗栗縣苗栗市國華路67-73號,"24.573220569483297, 120.83139840738772",1.0,"1449 ",苗栗分局,北苗所,
公寓,清華里,苗栗縣苗栗市為公路307巷22號,"24.571309954684782, 120.82994411083656",1.0,"50 ",苗栗分局,北苗所,
公寓,清華里,苗栗縣苗栗市啟文路28號,"24.57219407078707, 120.82747196849009",1.0,"29 ",苗栗分局,北苗所,
公寓,玉華里,苗栗縣苗栗市玉清路132號,"24.56142330371309, 120.8303604686226",1.0,"232 ",苗栗分局,北苗所,
大倫國中,玉清里,苗栗縣苗栗市育英街82號,"24.568830544008158, 120.83021026849003",1.0,"133 ",苗栗分局,北苗所,
大倫國中,玉清里,苗栗縣苗栗市育英街82號,"24.568830544008158, 120.83021026849003",1.0,"624 ",苗栗分局,北苗所,
大倫國中,玉清里,苗栗縣苗栗市育英街82號,"24.568830544008158, 120.83021026849003",1.0,"480 ",苗栗分局,北苗所,
大倫國中,玉清里,苗栗縣苗栗市育英街82號,"24.568830544008158, 120.83021026849003",1.0,"86 ",苗栗分局,北苗所,
玉清宮,玉清里,苗栗縣苗栗市為民街35號,"24.564785873150196, 120.8266953261629",1.0,"466 ",苗栗分局,北苗所,
大樓,上苗里,苗栗縣苗栗市站前1號,"24.569930571145143, 120.82322403965372",2.0,"1998 ",苗栗分局,北苗所,
公寓,上苗里,苗栗縣苗栗市中正路14號,"24.56966525831797, 120.82429853965365",1.0,"78 ",苗栗分局,北苗所,
公寓,上苗里,苗栗縣苗栗市中正路69號,"24.568402044275324, 120.82448186849005",1.0,"72 ",苗栗分局,北苗所,
公寓,上苗里,苗栗縣苗栗市建中街20號,"24.568860748738917, 120.82402599606492",1.0,"76 ",苗栗分局,北苗所,
公寓,上苗里,苗栗縣苗栗市中山路130號,"24.56679247058641, 120.82330151790798",1.0,"120 ",苗栗分局,北苗所,
公寓,上苗里,苗栗縣苗栗市中正路58號,"24.568765329081717, 120.8242376396537",1.0,"130 ",苗栗分局,北苗所,
公寓,上苗里,苗栗縣苗栗市為公路60號,"24.5699866468115, 120.82408926849006",1.0,"30 ",苗栗分局,北苗所,
公寓,上苗里,苗栗縣苗栗市中山路25號,"24.5694751733287, 120.8237317396536",2.0,"86 ",苗栗分局,北苗所,
公寓,上苗里,苗栗縣苗栗市中正路104號,"24.56765821745399, 120.82417523965363",1.0,"130 ",苗栗分局,北苗所,
公寓,上苗里,苗栗縣苗栗市中正路106號,"24.567570729640373, 120.82418956849004",1.0,"56 ",苗栗分局,北苗所,
公寓,上苗里,苗栗縣苗栗市中正路102號,"24.56772273253585, 120.8241651819807",1.0,"180 ",苗栗分局,北苗所,
公寓,上苗里,苗栗縣苗栗市中正路85號,"24.567964687001645, 120.82446559732658",1.0,"20 ",苗栗分局,北苗所,
公寓,上苗里,苗栗縣苗栗市中山路126號,"24.56697154516691, 120.82325106848995",1.0,"74 ",苗栗分局,北苗所,
公寓,上苗里,苗栗縣苗栗市中正路73號,"24.568313144330688, 120.8244669396535",1.0,"10 ",苗栗分局,北苗所,
公寓,上苗里,苗栗縣苗栗市中正路97號,"24.567817374878537, 120.82444699732642",1.0,"200 ",苗栗分局,北苗所,
公寓,上苗里,苗栗縣苗栗市中山路118號,"24.567308478578383, 120.82327245499934",1.0,"74 ",苗栗分局,北苗所,
公寓,上苗里,苗栗縣苗栗市中山路116號,"24.56733259053089, 120.82323953965354",1.0,"64 ",苗栗分局,北苗所,
公寓,上苗里,苗栗縣苗栗市中正路107號,"24.567638475045634, 120.82443649732639",1.0,"133 ",苗栗分局,北苗所,
公寓,上苗里,苗栗縣苗栗市中山路120號,"24.567129772236736, 120.82324899732654",1.0,"49 ",苗栗分局,北苗所,
公寓,上苗里,苗栗縣苗栗市中山路122號,"24.56711704507628, 120.82324599732655",1.0,"49 ",苗栗分局,北苗所,
公寓,上苗里,苗栗縣苗栗市中正路89號,"24.56792602947414, 120.82446356849003",1.0,"40 ",苗栗分局,北苗所,
公寓,上苗里,苗栗縣苗栗市中正路79號,"24.56829237443436, 120.82448786849004",1.0,"32 ",苗栗分局,北苗所,
公寓,上苗里,苗栗縣苗栗市建國街23號,"24.569397543654777, 120.82396245499937",1.0,"36 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市府東路95巷5號,"24.562956447669325, 120.82126923965367",1.0,"64 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市府東路10號,"24.56477334653706, 120.82161456848999",1.0,"80 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市府東路89號,"24.563058131750243, 120.8213776973264",1.0,"44 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市府東路85號,"24.563227689585208, 120.82159676849002",1.0,"44 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市府東路83號,"24.563301715821602, 120.8215616396536",1.0,"54 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市府東路67號,"24.56334183161759, 120.8215846973263",1.0,"72 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市府東路57號,"24.563680273581042, 120.82171852616284",1.0,"62 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市府東路95巷10號,"24.56291741594136, 120.8212906973265",1.0,"38 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市府東路95巷1號,"24.562897900072834, 120.82125851081723",1.0,"106 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市府東路9號,"24.56478207315173, 120.82191422616283",1.0,"100 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市府東路4號,"24.564902502351135, 120.82147907261718",1.0,"300 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市縣府路71號,"24.56390591563314, 120.82177089732639",1.0,"100 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市縣府路69號,"24.563937315623306, 120.82191066848995",1.0,"48 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市縣府路67號,"24.563892889222515, 120.82188571081721",1.0,"84 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市縣府路63號,"24.563939289197112, 120.82207659732644",1.0,"200 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市縣府路62號,"24.564398462420765, 120.82215545499925",1.0,"120 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市府前路131號,"24.560673732864874, 120.81861739732635",1.0,"42 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市府前路133號,"24.56069062342347, 120.81858176848985",1.0,"38 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市府前路129號,"24.56068781663667, 120.81862833965359",1.0,"52 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市府前路95號,"24.561477690539615, 120.81935852616282",1.0,"80 ",苗栗分局,北苗所,
縣立文化中心,北苗里,苗栗縣苗栗市自治路50號,"24.56646439951591, 120.82027241081721",1.0,"1060 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市府前路63巷1號,"24.56209071619922, 120.8199734973264",1.0,"102 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市府前路61-1號,"24.562059706234848, 120.81987903965347",1.0,"190 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市府前路61號,"24.562059706234848, 120.81988976848987",1.0,"44 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市府前路135號,"24.56064273287943, 120.81858046849005",1.0,"44 ",苗栗分局,北苗所,
公寓,上苗里,苗栗縣苗栗市中山路82號,"24.5679753869958, 120.82321832616294",1.0,"430 ",苗栗分局,北苗所,
中油公司,上苗里,苗栗縣苗栗市中正路140號,"24.566553803084236, 120.8239597261629",1.0,"2050 ",苗栗分局,北苗所,
公寓,上苗里,苗栗縣苗栗市建民街60號,"24.56598413038214, 120.8238027396536",1.0,"808 ",苗栗分局,北苗所,
苗栗市信用合作社,上苗里,苗栗縣苗栗市中正路81號,"24.568103486925914, 120.8245155261629",1.0,"150 ",苗栗分局,北苗所,
公寓,嘉盛里,苗栗縣苗栗市國華路100號,"24.573818883808013, 120.83104555499936",1.0,"26 ",苗栗分局,北苗所,
公寓,嘉盛里,苗栗縣苗栗市為公路458號,"24.57246259857898, 120.83366743965371",1.0,"100 ",苗栗分局,北苗所,
公寓,嘉盛里,苗栗縣苗栗市國華路69號,"24.573285155578663, 120.83141236849008",1.0,"34 ",苗栗分局,北苗所,
公寓,嘉盛里,苗栗縣苗栗市國華路94號,"24.573814940900938, 120.83115179732661",1.0,"37 ",苗栗分局,北苗所,
公寓,嘉盛里,苗栗縣苗栗市育英街16號,"24.571779955931117, 120.83174433965374",1.0,"28 ",苗栗分局,北苗所,
大樓,建功里,苗栗縣苗栗市中正路240號,"24.5644744310881, 120.82390091081712",2.0,"1090 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市中正路264號,"24.56397351561212, 120.82392955499918",1.0,"30 ",苗栗分局,北苗所,
建功國小,建功里,苗栗縣苗栗市中正路241號,"24.56453288887345, 120.82424796848993",1.0,"465 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市中正路328號,"24.562687373967915, 120.82328803965346",1.0,"26 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市中山路253號,"24.564273998754384, 120.82332976848991",1.0,"156 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市中正路336號,"24.562673222381544, 120.82320966879097",1.0,"106 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市中山路269號,"24.56382609435416, 120.82338735499923",1.0,"13 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市中山路267號,"24.56376192079227, 120.82329422616286",1.0,"13 ",苗栗分局,北苗所,
縣立體育館,建功里,苗栗縣苗栗市中正路191號,"24.56555580378393, 120.82440233965362",1.0,"1333 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市建功街11號,"24.5637063523679, 120.82541261267215",1.0,"49 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市中正路310號,"24.56320497918939, 120.82336652616281",1.0,"36 ",苗栗分局,北苗所,
建功國小,建功里,苗栗縣苗栗市中正路241號,"24.564610951311202, 120.82423723965351",1.0,"40 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市中正路265號,"24.563831536475757, 120.82412776848997",1.0,"64 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市中正路222號,"24.564839762077032, 120.82395959732641",1.0,"17 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市建功街31號,"24.563753731425013, 120.82503979732644",1.0,"38 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市中正路335號,"24.562544763864615, 120.8234289261628",1.0,"26 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市中正路315號,"24.56284763184866, 120.82360216849",1.0,"30 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市中正路325號,"24.562739737580888, 120.82348662616278",1.0,"66 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市中正路327號,"24.562678679681255, 120.82357613965358",1.0,"62 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市中正路323號,"24.562796595476602, 120.82355842616279",1.0,"109 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市中正路319號,"24.56284007953038, 120.8235799973263",1.0,"53 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市中正路331號,"24.562546016057276, 120.82346859732633",1.0,"33 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市中正路289巷19號,"24.562879858013986, 120.82473581081717",1.0,"46 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市建功街32巷19號,"24.564824477675778, 120.82534578383569",1.0,"30 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市建功街32巷15號,"24.56467331539379, 120.82517046849009",1.0,"25 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市中正路275號,"24.563628247250715, 120.82401121081716",1.0,"164 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市中正路333巷6-1號,"24.562413548007612, 120.82397875499927",1.0,"36 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市中正路26號,"24.569388413923196, 120.82437143965363",1.0,"120 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市中正路354巷1號,"24.562362148039693, 120.82307775499918",1.0,"24 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市中正路339號,"24.56247406391962, 120.82337616848993",1.0,"36 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市中正路344號,"24.562405605992463, 120.8230943819807",1.0,"45 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市中正路289巷21弄7號,"24.562923231813244, 120.82478669732635",1.0,"53 ",苗栗分局,北苗所,
大樓,北苗里,苗栗縣苗栗市自治路567巷80號,"24.57179674215914, 120.81823732616287",1.0,"390 ",苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市北苗11-1號,,1.0,"26 ",苗栗分局,北苗所,查無該址
公寓,北苗里,苗栗縣苗栗市蕉嶺街16號,"24.566718314756038, 120.81857756849004",1.0,"26 ",苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市蕉嶺街18號,"24.566801030000235, 120.81862908383575",1.0,"26 ",苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市蕉嶺街20號,"24.56668868769762, 120.81849749732643",1.0,"26 ",苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市蕉嶺街22號,"24.56678725709958, 120.81865899732652",1.0,"26 ",苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市蕉嶺街23號,"24.566864887601454, 120.81811709732645",1.0,"80 ",苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市自治路86號,"24.5661479726193, 120.81873185499924",1.0,"108 ",苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市自治路90號,"24.56630187629494, 120.81865359732652",1.0,"108 ",苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市自治路62巷31號,"24.566953641819076, 120.81927219732647",1.0,"46 ",苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市自治路62巷33號,"24.56706128749439, 120.81925253965365",1.0,"46 ",苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市自治路62巷29號,"24.566998802772154, 120.81923781081719",1.0,"48 ",苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市自治路62巷15號,"24.56659328774964, 120.81924926848994",1.0,"794 ",苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市自治路62巷26號,"24.566714333556774, 120.81957102616289",1.0,"77 ",苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市自治路62巷11號,"24.566435660833896, 120.81942868383585",1.0,"38 ",苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市自治路62巷22號,"24.56662433008283, 120.81967955499933",1.0,"77 ",苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市自治路62巷2號,"24.566040914967306, 120.81959699732647",1.0,"64 ",苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市自治路62巷8號,"24.566220457232244, 120.8196185973264",1.0,"58 ",苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市自治路62巷12號,"24.566237414906062, 120.81953559732645",1.0,"54 ",苗栗分局,北苗所,
中正圖書館,北苗里,苗栗縣苗栗市自治路50號,"24.565992257285657, 120.82040932616286",1.0,"266 ",苗栗分局,北苗所,
都市發展局,北苗里,苗栗縣苗栗市英才路45號,"24.567044929886052, 120.82096412616276",1.0,"2062 ",苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市自治路52巷47號,"24.56703044513028, 120.81983885499936",1.0,"36 ",苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市龍川街11號,"24.567310829761905, 120.82029706849002",1.0,"80 ",苗栗分局,北苗所,
大樓,北苗里,苗栗縣苗栗市文峰街32號,"24.567985556819195, 120.81947092616295",1.0,"622 ",苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市自治路52巷37號,"24.566723402965266, 120.81978969732646",1.0,"40 ",苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市自治路52巷35號,"24.5666342571354, 120.81977426849",1.0,"40 ",苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市自治路52巷9號之5,"24.566150091820326, 120.81976413965364",1.0,"70 ",苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市自治路182巷2弄1號,"24.56677957237328, 120.81765863965367",1.0,"106 ",苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市自治路182巷2弄23號,"24.566704287689053, 120.81703245499922",1.0,"66 ",苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市自治路182巷2弄20號,"24.56683366052385, 120.81704472616288",1.0,"38 ",苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市自治路182巷2弄22號,"24.56675004530504, 120.81699753965356",1.0,"38 ",苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市自治路82巷6號,"24.566142272621583, 120.81896726848998",1.0,"120 ",苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市自治路82巷24號,"24.566618372436057, 120.81914028383578",1.0,"80 ",苗栗分局,北苗所,
公寓,北苗里,苗栗縣苗栗市自治路82巷53號,"24.567353560118875, 120.8187704549993",1.0,"48 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市縣府路122號,"24.56509990410353, 120.81906681081719",1.0,"54 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市忠孝路21號,"24.56513779972299, 120.81909015499926",1.0,"34 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市忠孝路1號,"24.565728188221424, 120.81931762616283",1.0,"16 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市忠孝路27號,"24.56496803085726, 120.81902299732641",1.0,"94 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市和平路131號,"24.56166993239918, 120.8170703261627",1.0,"27 ",苗栗分局,北苗所,
苗栗稅捐處,建功里,苗栗縣苗栗市府前路46號,"24.562644431943635, 120.81979782616283",1.0,"462 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市民族路66巷17弄10號,"24.56358398939095, 120.81935012616285",1.0,"19 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市民族路66巷17弄11號,"24.563593747272193, 120.81932866849004",1.0,"19 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市民族路66巷17弄12號,"24.563574231508948, 120.81933939732647",1.0,"19 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市民族路54號,"24.56332658953139, 120.81954122616288",1.0,"51 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市民族路58號,"24.563280373736884, 120.81952736848996",1.0,"240 ",苗栗分局,北苗所,
農田水利會,建功里,苗栗縣苗栗市民族路61號,"24.563180215859465, 120.81858115499925",1.0,"668 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市府東路2-6號,"24.565027204154568, 120.8216826684901",1.0,"28 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市府東路6號,"24.56484628870251, 120.82160581081727",1.0,"30 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市府東路8號,"24.564819204300353, 120.82163119732647",1.0,"20 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市府東路10號,"24.564792862113624, 120.82160383965358",1.0,"74 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市府東路23號,"24.564282773346246, 120.82170682616284",1.0,"174 ",苗栗分局,北苗所,
公寓,建功里,苗栗縣苗栗市和平路67號,"24.563355815804673, 120.81768829732648",1.0,"59 ",苗栗分局,北苗所,
