類別,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
一般建築,ZN2286,仁昌里,高雄市楠梓區仁昌里壽豐路404號,"22.724989,120.296505",1.2,1033.0,楠梓分局,
一般建築,ZN2439,宏榮里,高雄市楠梓區宏榮里榮新街163號,"22.712696,120.299638",1,1034.0,楠梓分局,
一般建築,ZN2269,翠屏里,高雄市楠梓區翠屏里德維街11號,"22.72765,120.310331",1,1036.0,楠梓分局,
一般建築,ZN2443,加昌里,高雄市楠梓區加昌里秀群路451號,"22.716258,120.299518",1,1038.0,楠梓分局,
一般建築,ZN2461,和昌里,高雄市楠梓區和昌里軍校路930號,"22.713799,120.290879",1.2,1041.0,楠梓分局,
一般建築,ZN2369,翠屏里,高雄市楠梓區翠屏里德民路338號,"22.7258,120.306066",1,1041.0,楠梓分局,
一般建築,ZN2266,翠屏里,高雄市楠梓區翠屏里德賢路220巷22號,"22.726989,120.305933",1,1054.0,楠梓分局,
一般建築,ZN2401,加昌里,高雄市楠梓區加昌里樂群路72巷1號,"22.716777,120.298074",1,1073.0,楠梓分局,
一般建築,ZN2572,翠屏里,高雄市楠梓區翠屏里德祥路37號,"22.728373,120.312099",1.2,1092.0,楠梓分局,
一般建築,ZN2481,藍田里,高雄市楠梓區藍田里高雄大學路375號,"22.728638,120.284242",1,1100.0,楠梓分局,
一般建築,ZN2386,翠屏里,高雄市楠梓區翠屏里德賢路143號,"22.727062,120.308205",1,1105.0,楠梓分局,
一般建築,ZN2619,中和里,高雄市楠梓區中和里大學西路55號,"22.722753,120.281826",1.2,1110.0,楠梓分局,
一般建築,ZN2613,藍田里,高雄市楠梓區藍田里大學二十五路276號,"22.72813,120.280233",1.2,1125.0,楠梓分局,
一般建築,ZN2509,裕昌里,高雄市楠梓區裕昌里裕昌街157號,"22.717063,120.288535",1,1126.0,楠梓分局,
一般建築,ZN2449,宏昌里,高雄市楠梓區宏昌里藍昌路360巷55號,"22.722586,120.292539",1,1129.0,楠梓分局,
一般建築,ZN2426,久昌里,高雄市楠梓區久昌里久昌街632號,"22.71828,120.279666",1,1133.0,楠梓分局,
一般建築,ZN2462,中和里,高雄市楠梓區中和里大學五十八街81號,"22.730346,120.27579",1,1137.0,楠梓分局,
一般建築,ZN2561,享平里,高雄市楠梓區享平里楠梓西巷66號之1,"22.72985378,120.328014267349",1,1180.0,楠梓分局,
一般建築,ZN2271,瑞屏里,高雄市楠梓區瑞屏里瑞昌街20號,"22.721371,120.311941",1,1196.0,楠梓分局,
一般建築,ZN2335,瑞屏里,高雄市楠梓區瑞屏里後昌路128號,"22.718374,120.310246",1,1203.0,楠梓分局,
一般建築,ZN2507,宏昌里,高雄市楠梓區宏昌里信昌街122號,"22.718574,120.29255",1,1211.0,楠梓分局,
學校,ZN0882,金田里,高雄市楠梓區金田里加昌路180號,"22.722648,120.315957",1,1214.0,楠梓分局,
一般建築,ZN2414,宏昌里,高雄市楠梓區宏昌里宏昌街132號,"22.717392,120.293747",1.2,1231.0,楠梓分局,
一般建築,ZN2456,藍田里,高雄市楠梓區藍田里大學七街336號,"22.729614,120.288984",1,1261.0,楠梓分局,
一般建築,ZN2491,清豐里,高雄市楠梓區清豐里創新路888號,"22.749922,120.331819",1,1268.0,楠梓分局,
