類別,建築物名稱,電腦編號,地址,緯經度,地下樓層數,可容納人數,轄管分局,停車場坡道,備註
工廠,私人公司,G30-63-114,桃園市龜山區頂湖一街45號,"25.048711,121.364440",1.0,657.0,龜山分局,,
公寓,力寶建設,G22-01-115,桃園市龜山區復興一路330號,"25.055743,121.362809",1.0,693.0,龜山分局,O,
公寓,永吉成建設公司,G23-01-116,桃園市龜山區文化五路15號,"25.054845,121.362372",1.0,228.0,龜山分局,,
公寓,永吉成建設公司,G24-01-117,桃園市龜山區興華一街242號,"25.055224,121.362666",1.0,237.0,龜山分局,O,
公寓,私人公司,G22-02-118,桃園市龜山區復興一路306號,"25.056284,121.363152",1.0,547.0,龜山分局,O,
公寓,福樺建設公司,G11-01-120,桃園市龜山區復興一路230號,"25.057405,121.365035",3.0,544.0,龜山分局,O,
大樓,寶佳建設公司,G10-01-121,桃園市龜山區文興路206號,"25.055595,121.366762",3.0,1420.0,龜山分局,O,
大樓,福樺建設公司,G11-02-122,桃園市龜山區文興路142號,"25.056897,121.365578",3.0,788.0,龜山分局,O,
大樓,旭聖建設有限公司,G02-04-123,桃園市龜山區文化二路38-10號,"25.059102,121.364937",2.0,299.0,龜山分局,O,
大樓,私人公司,G02-05-124,桃園市龜山區文化二路40號,"25.057465,121.366500",2.0,1407.0,龜山分局,O,
大樓,私人公司,G11-03-125,桃園市龜山區文化三路315號,"25.056410,121.365123",3.0,427.0,龜山分局,O,
公寓,私人公司,G22-03-126,桃園市龜山區興華一街285號,"25.055981,121.364285",1.0,827.0,龜山分局,O,
公寓,雄泰建設股份有限公司,G22-04-127,桃園市龜山區興華一街355號,"25.055082,121.364986",1.0,241.0,龜山分局,O,
公寓,佳林建設,G19-01-128,桃園市龜山區文化七路206巷25號,"25.051306,121.368851",1.0,547.0,龜山分局,O,
學校,文華國小,G16-01-129,桃園市龜山區文化七路116號,"25.051451,121.365079",2.0,687.0,龜山分局,O,
公寓,穎隆建設有限公司,G22-04-130,桃園市龜山區文化三路370號,"25.054779,121.366234",1.0,268.0,龜山分局,O,
公寓,私人公司,G23-03-132,桃園市龜山區文化七路181巷17弄7號,"25.052253,121.366623",1.0,314.0,龜山分局,O,
大樓,私人公司,G28-01-133,桃園市龜山區文化東路2-7號,"25.053154,121.362776",2.0,665.0,龜山分局,O,
公寓,私人公司,G17-01-134,桃園市龜山區文化七路182巷10-1號,"25.051080,121.367776",2.0,409.0,龜山分局,O,
公寓,辛威建設有限公司,G18-01-135,桃園市龜山區文化三路564巷75弄10號,"25.049812,121.367447",2.0,397.0,龜山分局,O,
公寓,森隆建設有限公司,G16-02-136,桃園市龜山區文東五街85號,"25.050030,121.363560",1.0,219.0,龜山分局,O,
公寓,耀晨建設股份有限公司,G22-06-137,桃園市龜山區興華三街28巷28號2樓,"25.052773,121.364792",1.0,295.0,龜山分局,,
公寓,立軒開發有限公司,G02-07-137,桃園市龜山區復興一路212巷25號,"25.057765,121.367224",1.0,488.0,龜山分局,,
大樓,合眾建築經理股份有限公司,G30-63-115,桃園市龜山區文化三路327號7樓,"25.055855,121.365341",4.0,657.0,龜山分局,,
大樓,東亞建築經理股份有限公司,G30-63-120,桃園市龜山區文化二路70號6樓之3,"25.056169,121.367425",3.0,908.0,龜山分局,,
公寓,私人公司,G30-63-118,"桃園市龜山區復興北路6巷46號 ","25.058556,121.367682",2.0,679.0,龜山分局,O,
大樓,合眾建築經理股份有限公司,G30-63-119,桃園市龜山區文興路221號,"25.055500,121.367227",2.0,176.0,龜山分局,O,
公寓,臺億建築經理股份有限公司,G30-63-117,桃園市龜山區文化五路60號,"25.055553,121.361708",2.0,1227.0,龜山分局,O,
公寓,臺億建築經理股份有限公司,G30-63-116,桃園市龜山區文化東路9號,"25.052805,121.362684",1.0,708.0,龜山分局,O,
大樓,芳彬建設有限公司,G30-63-121,桃園市龜山區文昌五街88號四樓之1,"25.056266,121.370707",3.0,609.0,龜山分局,O,
公寓,東遠精技工業股份有限公司,G30-63-122,桃園市龜山區復興二路131巷98號,"25.055308,121.374777",1.0,496.0,龜山分局,O,
公寓,振華電腦有限公司,G24-03-138,桃園市龜山區興華一街272巷11號5樓,"25.055454,121.36397",2.0,339.0,龜山分局,O,
大樓,久鈺建設有限公司,G19-02-148,桃園市龜山區復興二路131巷16號,"25.055924,121.373822",2.0,1233.0,龜山分局,O,
公寓,秀泰建設開發股份有限公司,G19-03-149,桃園市龜山區文化七路96號,"25.051297,121.364110",2.0,530.0,龜山分局,O,
公寓,僑馥建築經理股份有限公司,G19-04-150,桃園市龜山區文化三路399號三樓之2,"25.0546424,121.366813",3.0,488.0,龜山分局,O,
公寓,匯格實業股份有限公司,G19-05-151,桃園市龜山區興華三街18號,"25.054048,121.365732",2.0,728.0,龜山分局,O,
公寓,私人公司,G19-07-153,桃園市龜山區復興北路58號,"25.0583368,121.369999",2.0,543.0,龜山分局,O,
公寓,鴻越開發股份有限公司,G19-08-154,桃園市龜山區文昌三街112號,"25.056316,121.369634",2.0,531.0,龜山分局,O,
大樓,芳彬建設有限公司,G19-06-152,桃園市龜山區復興三路75號,"25.052329,121.373016",2.0,801.0,龜山分局,O,
公寓,私人公司,G19-08-155,桃園市龜山區文七一街91號,"25.052349,121.359739",1.0,227.0,龜山分局,O,
大樓,合遠建設股份有限公司,G19-08-156,桃園市龜山區華亞三路199巷15號六樓,"25.047224,121.379572",4.0,765.0,龜山分局,O,
公寓,川弘建設有限公司,G19-08-157,桃園市龜山區文東五街57巷7號,"25.050650,121.362150",2.0,626.0,龜山分局,O,
公寓,私人公司,G19-08-171,桃園市龜山區文化七路182巷26弄21號,"25.049695,121.367803",2.0,368.0,龜山分局,O,
公寓,私人公司,G19-08-173,桃園市龜山區復興二路10巷27弄11號,"25.054841,121.370782",1.0,128.0,龜山分局,O,
公寓,川業工程有限公司,G19-08-174,桃園市龜山區文化三路564巷76號,"25.050318,121.367200",2.0,428.0,龜山分局,O,
公寓,私人公司,G19-08-176,桃園市龜山區文東五街12號,"25.0503651, 121.3609926",1.0,502.0,龜山分局,O,
公寓,亞鼎國際股份有限公司,G19-08-175,桃園市龜山區復興南路77號,"25.054041,121.374041",1.0,211.0,龜山分局,O,
公司,廣達電腦股份有限公司,G19-08-178,桃園市龜山區文化二路178號,"25.050064,121.373458",2.0,4252.0,龜山分局,O,
大樓,連翔建設股份有限公司,G21-02-001,桃園市龜山區復興二路99號,"25.056316,121.373303",2.0,637.0,龜山分局,O,
大樓,合遠建設股份有限公司,G21-03-001,桃園市龜山區文化二路257號二樓之1,"25.045978,121.378483",4.0,1714.0,龜山分局,O,
大樓,寶品建設有限公司,G22-01-001,桃園市龜山區文化五路49號,"25.054266,121.363238",2.0,617.0,龜山分局,O,
大樓,僑馥建築經理股份有限公司,G22-01-002,桃園市龜山區文化二路287號,"25.045797,121.378742",4.0,3240.0,龜山分局,O,
學校,文欣國小,G22-01-003,桃園市龜山區文昌五街95號,"25.057717,121.371926",1.0,730.0,龜山分局,,
大樓,仁碩有限公司,G22-01-005,桃園市龜山區文昌三街91號2樓之10,"25.056511,121.369060",2.0,495.0,龜山分局,O,
公寓,芳彬建設有限公司,G22-01-006,桃園市龜山區文昌一街47巷20號,"25.058698,121.369031",1.0,431.0,龜山分局,,
民宅,長庚醫療財團法人,G22-01-007,桃園市龜山區復興街7號,"25.062749,121.367367",1.0,8328.0,龜山分局,O,
