類別,電腦編號,里別,地址,地下樓層數,可容納人數,備註
臺南企業,OPA00022,南興里,臺南市歸仁區南興里15鄰中山路三段320號,1.0,4508人,"22.968665,120.28018"
大榮汽車貨運,OPA00023,南興里,臺南市歸仁區南興里15鄰中山路三段378號,1.0,128人,"22.969291,120.27896"
至善幼稚園,OPA00024,南興里,臺南市歸仁區南興里1鄰民生北街130號,1.0,4440人,"22.971596,120.281257"
曜新企業,OPA00025,南興里,臺南市歸仁區南興里15鄰中山路三段486號,1.0,240人,"22.969037,120.276634"
昌樺五金公司,OPA00026,南興里,臺南市歸仁區南興里16鄰中山路三段471號,1.0,1584人,"22.968703,120.27451"
福海企業公司,OPA00027,南興里,臺南市歸仁區南興里16鄰中山路三段371號,1.0,224人,"22.968147,120.277664"
裕昇塑膠,OPA00028,南興里,臺南市歸仁區南興里15鄰民生北街75號,1.0,16人,"22.970148,120.280816"
三星科技公司,OPA00030,南興里,臺南市歸仁區南興里16鄰中山路三段355號,1.0,720人,"22.967251,120.278981"
萬國通路公司,OPA00031,南保里,臺南市歸仁區南保里29鄰中山九街20號,1.0,272人,"22.966815,120.282405"
中連貨運公司,OPA00032,南保里,臺南市歸仁區南保里29鄰中山九街6號,1.0,116人,"22.967383,120.28239"
萬國通路公司,OPA00033,南保里,臺南市歸仁區南保里29鄰中山九街40號,1.0,160人,"22.966137,120.282236"
麗國實業公司,OPA00034,南保里,臺南市歸仁區南保里29鄰中山九街35號,1.0,208人,"22.966148,120.282719"
承翰大樓公寓,OPA00035,南興里,臺南市歸仁區南興里13鄰文化九街43號,1.0,732人,"22.969792,120.281803"
森鉅股份有限公司,OPA00036,南興里,臺南市歸仁區南興里16鄰民生南街一段180號,1.0,156人,"22.964568,120.280762"
永裕塑膠,OPA00039,新田里,臺南市仁德區新田里6鄰勝利路88號,1.0,148人,"22.957751,120.25718"
