類別,電腦編號,村里別,地址,緯經度,避難樓層,可容納人數,轄管分局,備註
一般住宅,COA00176,州北里,臺南市安南區州北里22鄰安和路五段313號,"23.068804,120.216142",B01,42.0,第三分局,
一般住宅,COA00177,州北里,臺南市安南區州北里22鄰安和路五段311號,"23.068764,120.216157",B01,42.0,第三分局,
一般住宅,COA00178,州北里,臺南市安南區州北里13鄰安和路五段139號,"23.065798,120.217983",B01,81.0,第三分局,
一般住宅,COA00179,塭南里,臺南市安南區塭南里1鄰安昌街174巷39弄33號,"23.071065,120.221315",B01,44.0,第三分局,
一般住宅,COA00180,州南里,臺南市安南區州南里13鄰長和路二段12巷28號,"23.064558,120.224774",B01,111.0,第三分局,
公有,COA00181,州南里,臺南市安南區州南里13鄰長和路二段36號,"23.064264,120.223513",B01,222.0,第三分局,
公有,COA00182,安順里,臺南市安南區安順里12鄰安和路三段227號,"23.049557,120.218222",B01,804.0,第三分局,
一般住宅,COA00183,安順里,臺南市安南區安順里18鄰育安街182號,"23.049016,120.215374",B01,196.0,第三分局,
公有,COA00184,總頭里,臺南市安南區總頭里10鄰長溪路二段565號,"23.055126,120.201933",B01,282.0,第三分局,
供公眾使用,COA00185,總頭里,臺南市安南區總頭里12鄰長溪路二段473號,"23.05303,120.202113",B01,82.0,第三分局,
公有,COA00186,總頭里,臺南市安南區總頭里10鄰長溪路二段565號,"23.055126,120.201933",B01,282.0,第三分局,
公有,COA00189,長安里,臺南市安南區長安里17鄰長溪路三段249號,"23.065109,120.197731",B01,133.0,第三分局,
供公眾使用,COA00191,溪墘里,臺南市安南區溪墘里5鄰海佃路一段254號,"23.025607,120.191471",B01,138.0,第三分局,
公有,COA00192,幸福里,臺南市安南區幸福里21鄰國安街157號,"23.02194,120.18763",B01,666.0,第三分局,
公有,COA00193,國安里,臺南市安南區國安里11鄰郡安路六段111巷36弄2號,"23.025255,120.18507",B01,608.0,第三分局,
公有,COA00195,溪東里,臺南市安南區溪東里21鄰郡安路五段56號,"23.028739,120.199816",B01,55.0,第三分局,
一般住宅,COA00205,安富里,臺南市安南區安富里20鄰安富街172號,"23.027073,120.197597",B01,48.0,第三分局,
一般住宅,COA00206,安富里,臺南市安南區安富里20鄰安富街174號,"23.027055,120.197548",B01,48.0,第三分局,
一般住宅,COA00207,安富里,臺南市安南區安富里20鄰安富街176號,"23.027038,120.197503",B01,48.0,第三分局,
