類別,電腦編號,地址,緯經度,地下樓層數,分配容量,轄管分局,備註,placemark_address
台電服務所,KOA000002,南投縣仁愛鄉大同村仁和路50號,"24.022310, 121.132657",1,318.0,仁愛分局,,南投縣仁愛鄉大同村仁和路50號
中華電信,KOA000003,南投縣仁愛鄉大同村仁和路12號,"24.019364, 121.131132",1,192.0,仁愛分局,,南投縣仁愛鄉大同村仁和路12號
霧櫻大飯店,KOA000004,南投縣仁愛鄉大同村仁和路69號,"24.022802, 121.132097",1,152.0,仁愛分局,,南投縣仁愛鄉大同村仁和路69號
天廬大飯店,KOA000005,南投縣仁愛鄉精英村榮華巷24號,"24.023687, 121.188175",2,388.0,仁愛分局,,南投縣仁愛鄉精英村榮華巷24號
太魯閣國家公園管理處,KOA000006,南投縣仁愛鄉榮興村公園巷11號,"24.163345, 121.288220",1,616.0,仁愛分局,,南投縣仁愛鄉榮興村公園巷11號
信義分局,KPA0003,南投縣信義鄉明德村玉山路49號,"23.697433, 120.854118",1,930.0,信義分局,,南投縣信義鄉明德村玉山路49號
東埔山莊,KPA0001,南投縣信義鄉東埔村開高巷70號之2,"23.561319, 120.928132",1,1262.0,信義分局,,南投縣信義鄉東埔村開高巷70號之2
勝華大飯店,KPA0002,南投縣信義鄉東埔村開高巷60號,"23.562789, 120.929777",1,628.0,信義分局,,南投縣信義鄉東埔村開高巷60號
玉山氣象站,KPA0004,南投縣信義鄉東埔村玉山北峰1號,"23.491776, 120.957844",1,13.0,信義分局,,南投縣信義鄉東埔村玉山北峰1號
曾漢棋醫院,KRA00148,南投縣草屯鎮炎峰里虎山路915號,"23.978805, 120.685775",1,182.0,草屯分局,,南投縣草屯鎮炎峰里虎山路915號
一般住宅,KRA00158,南投縣草屯鎮炎峰里虎山路792號,"23.976506, 120.685915",,36.0,草屯分局,,南投縣草屯鎮炎峰里虎山路792號
草屯國中,KRA00241,南投縣草屯鎮炎峰里虎山路808號,"23.977509, 120.685953",1,225.0,草屯分局,,南投縣草屯鎮炎峰里虎山路808號
草屯國中,KRA00248,南投縣草屯鎮炎峰里虎山路808號,"23.977509, 120.685953",1,91.0,草屯分局,,南投縣草屯鎮炎峰里虎山路808號
草屯國中,KRA00324,南投縣草屯鎮炎峰里虎山路808號,"23.977509, 120.685953",1,597.0,草屯分局,,南投縣草屯鎮炎峰里虎山路808號
台灣土地銀行,KRA00299,南投縣草屯鎮炎峰里中正路601-7號,"23.979072, 120.687108",1,2714.0,草屯分局,,南投縣草屯鎮炎峰里中正路601-7號
皇家特區,KRA00305,南投縣草屯鎮炎峰里碧山路14號,"23.978183, 120.687504",1,1398.0,草屯分局,,南投縣草屯鎮炎峰里碧山路14號
高明世家,KRA00310,南投縣草屯鎮炎峰里明賢街1段52弄15號,"23.975831, 120.685983",1,3163.0,草屯分局,,南投縣草屯鎮炎峰里明賢街1段52弄15號
國泰人壽,KRA00138,南投縣草屯鎮炎峰里中正路613號,"23.979181, 120.685821",1,438.0,草屯分局,,南投縣草屯鎮炎峰里中正路613號
草屯鎮立游泳池,KRA00040,南投縣草屯鎮炎峰里中正路571-1號,"23.979400, 120.693602",,91.0,草屯分局,,南投縣草屯鎮炎峰里中正路571-1號
國立手工藝研究所,KRA00057,南投縣草屯鎮炎峰里虎山路572號,"23.970854, 120.686743",1,1050.0,草屯分局,,南投縣草屯鎮炎峰里虎山路572號
南開科技大學,KRA00144,南投縣草屯鎮富寮里中正路568號,"23.979380, 120.697272",1,1388.0,草屯分局,,南投縣草屯鎮富寮里中正路568號
南開科技大學,KRA00330,南投縣草屯鎮富寮里中正路568號,"23.979380, 120.697272",1,1699.0,草屯分局,,南投縣草屯鎮富寮里中正路568號
南開科技大學,KRA00258,南投縣草屯鎮富寮里中正路568號,"23.979380, 120.697272",1,409.0,草屯分局,,南投縣草屯鎮富寮里中正路568號
南開科技大學,KRA00331,南投縣草屯鎮富寮里中正路569號,"23.979742, 120.693335",1,224.0,草屯分局,,南投縣草屯鎮富寮里中正路569號
南開科技大學,KRA00137,南投縣草屯鎮富寮里中正路568號,"23.979380, 120.697272",1,1191.0,草屯分局,,南投縣草屯鎮富寮里中正路568號
草屯鎮立青少年活動中心,KRA00196,南投縣草屯鎮富寮里中正路571-1號,"23.979351, 120.694214",,1248.0,草屯分局,,南投縣草屯鎮富寮里中正路571-1號
富功國小,KRA00217,南投縣草屯鎮富寮里中正路567號,"23.979211, 120.699614",,89.0,草屯分局,,南投縣草屯鎮富寮里中正路567號
一般住宅,KRA00332,南投縣草屯鎮富寮里中正路559巷1號,"23.979256, 120.696473",1,4886.0,草屯分局,,南投縣草屯鎮富寮里中正路559巷1號
總統官邸,KRA00333,南投縣草屯鎮富寮里中正路567-5號,"23.979154, 120.699585",1,1657.0,草屯分局,,南投縣草屯鎮富寮里中正路567-5號
寬心成家,KRA00334,南投縣草屯鎮富寮里富春路48巷26號,"23.979646, 120.702291",1,1734.0,草屯分局,,南投縣草屯鎮富寮里富春路48巷26號
僑光國小,KRA00335,南投縣草屯鎮新豐里稻香路20-2號,"23.992871, 120.686608",1,1125.0,草屯分局,,南投縣草屯鎮新豐里稻香路20-2號
日新國中,KRA00336,南投縣草屯鎮新豐里稻香路45號,"23.995432, 120.678939",1,768.0,草屯分局,,南投縣草屯鎮新豐里稻香路45號
金福華食品公司,KRA00337,南投縣草屯鎮新豐里新豐路96巷100號,"23.992318, 120.681786",1,607.0,草屯分局,,南投縣草屯鎮新豐里新豐路96巷100號
工藝研究中心,KRA00338,南投縣草屯鎮富寮里中正路574號,"23.980979, 120.691895",1,49.0,草屯分局,,南投縣草屯鎮富寮里中正路574號
工藝研究中心生活館,KRA00339,南投縣草屯鎮富寮里中正路574號,"23.980979, 120.691895",1,211.0,草屯分局,,南投縣草屯鎮富寮里中正路574號
草屯地政事務所,KRA00340,南投縣草屯鎮富寮里中正路579-1號,"23.979483, 120.688987",1,1210.0,草屯分局,,南投縣草屯鎮富寮里中正路579-1號
南開會館,KRA00341,南投縣草屯鎮富寮里富中正路71號,"23.976206, 120.705941",1,3018.0,草屯分局,,南投縣草屯鎮富寮里富中正路71號
崧源濾材,KRA00342,南投縣草屯鎮御史里中正路權郎巷9號,"24.002293, 120.692419",1,2764.0,草屯分局,,南投縣草屯鎮御史里中正路權郎巷9號
寶旺萊6號花園酒店,KRA00343,南投縣草屯鎮御史里中正路1747號,"24.003988, 120.693705",2,1590.0,草屯分局,,南投縣草屯鎮御史里中正路1747號
中國醫藥學院草屯院區,KRA00195,南投縣草屯鎮明正里平等街140號,"23.984935, 120.686165",1,592.0,草屯分局,,南投縣草屯鎮明正里平等街140號
華麗大樓,KRA00198,南投縣草屯鎮明正里博愛路451號,"23.985815, 120.684416",1,276.0,草屯分局,,南投縣草屯鎮明正里博愛路451號
一般住宅,KRA00154,南投縣草屯鎮明正里中正路889號,"23.984839, 120.686278",1,27.0,草屯分局,,南投縣草屯鎮明正里中正路889號
一般住宅,KRA00153,南投縣草屯鎮明正里中正路891號,"23.984871, 120.686255",1,27.0,草屯分局,,南投縣草屯鎮明正里中正路891號
一般住宅,KRA00152,南投縣草屯鎮明正里中正路893號,"23.984841, 120.686212",1,27.0,草屯分局,,南投縣草屯鎮明正里中正路893號
一般住宅,KRA00155,"南投縣草屯鎮明正里中正路887號 ","23.984804, 120.686163",1,56.0,草屯分局,,南投縣草屯鎮明正里中正路887號
一般住宅,KRA00154,南投縣草屯鎮明正里中正路893-1號,"23.984802, 120.686233",1,41.0,草屯分局,,南投縣草屯鎮明正里中正路893-1號
中正龍庭,KRA00268,南投縣草屯鎮御史里中正路1182號,"23.992122, 120.688536",1,1359.0,草屯分局,,南投縣草屯鎮御史里中正路1182號
中正家園,KRA00306,南投縣草屯鎮明正里中正路1130-1號,"23.990638, 120.688698",1,1065.0,草屯分局,,南投縣草屯鎮明正里中正路1130-1號
草屯國小,KRA00124,南投縣草屯鎮玉峰里玉屏路210號,"23.981806, 120.686962",1,762.0,草屯分局,,南投縣草屯鎮玉峰里玉屏路210號
廣大天下,KRA00304,南投縣草屯鎮玉峰里自由街55號,"23.983795, 120.686065",1,1473.0,草屯分局,,南投縣草屯鎮玉峰里自由街55號
豐田汽車,KRA00182,"南投縣草屯鎮新豐里中正路1203號 ","23.992768, 120.688147",1,117.0,草屯分局,,南投縣草屯鎮新豐里中正路1203號
上毅天下,KRA00243,"南投縣草屯鎮明正里成功路1段459號 ","23.984574, 120.682283",1,226.0,草屯分局,,南投縣草屯鎮明正里成功路1段459號
大園道,KRA00291,"南投縣草屯鎮明正里成功路1段265號 ","23.981574, 120.681197",1,1486.0,草屯分局,,南投縣草屯鎮明正里成功路1段265號
一般住宅,KRA00123,南投縣草屯鎮明正里中山街322號,"23.980940, 120.683146",1,228.0,草屯分局,,南投縣草屯鎮明正里中山街322號
草屯療養院,KRA00052,南投縣草屯鎮御史里玉屏路161號,"23.990213, 120.704700",1,3124.0,草屯分局,,南投縣草屯鎮御史里玉屏路161號
草屯療養院,KRA00053,"南投縣草屯鎮御史里玉屏路161號 ","23.990213, 120.704700",1,1477.0,草屯分局,,南投縣草屯鎮御史里玉屏路161號
草屯療養院,KRA00054,南投縣草屯鎮御史里玉屏路161號,"23.990213, 120.704700",1,417.0,草屯分局,,南投縣草屯鎮御史里玉屏路161號
草屯療養院,KRA00055,南投縣草屯鎮御史里玉屏路161號,"23.990213, 120.704700",1,198.0,草屯分局,,南投縣草屯鎮御史里玉屏路161號
總慶建設公司,KRA00264,"南投縣草屯鎮炎峰里和興街94號 ","23.979487, 120.685046",1,1606.0,草屯分局,,南投縣草屯鎮炎峰里和興街94號
一般住宅,KRA00297,南投縣草屯鎮炎峰里中正路602號,"23.979362, 120.686896",1,1418.0,草屯分局,,南投縣草屯鎮炎峰里中正路602號
草屯郵局,KRA00297,南投縣草屯鎮炎峰里中正路606號,"23.979312, 120.686357",1,201.0,草屯分局,,南投縣草屯鎮炎峰里中正路606號
新光人壽,KRA00036,"南投縣草屯鎮炎峰里中正路610號 ","23.979299, 120.686085",1,318.0,草屯分局,,南投縣草屯鎮炎峰里中正路610號
"中華電信草屯服務處 ",KRA00147,南投縣草屯鎮炎峰里中正路629號,"23.979032, 120.685210",1,124.0,草屯分局,,南投縣草屯鎮炎峰里中正路629號
欣林瓦斯公司,KRA00165,"南投縣草屯鎮玉峰里博愛路684號 ","23.987694, 120.676768",1,578.0,草屯分局,,南投縣草屯鎮玉峰里博愛路684號
合作金庫,KRA00240,"南投縣草屯鎮炎峰里中正路864號 ","23.984517, 120.686398",1,647.0,草屯分局,,南投縣草屯鎮炎峰里中正路864號
鼎山建設公司天下王朝,KRA00253,南投縣草屯鎮玉峰里儒林街112號,"23.984550, 120.687624",1,824.0,草屯分局,,南投縣草屯鎮玉峰里儒林街112號
惠慶建設,KRA00277,"南投縣草屯鎮敦和里忠孝街287巷1號 ","23.982626, 120.680444",1,2334.0,草屯分局,,南投縣草屯鎮敦和里忠孝街287巷1號
上廣建設公司,KRA00237,南投縣草屯鎮敦和里碧山路342號,"23.979422, 120.677669",1,2312.0,草屯分局,,南投縣草屯鎮敦和里碧山路342號
千葉茶行,KRA00056,南投縣草屯鎮敦和里碧山路122號,"23.978261, 120.683856",1,36.0,草屯分局,,南投縣草屯鎮敦和里碧山路122號
豐閣建設,KRA00237,南投縣草屯鎮敦和里仁愛街59號,"23.979840, 120.679000",1,338.0,草屯分局,,南投縣草屯鎮敦和里仁愛街59號
一般住宅,KRA00237,南投縣草屯鎮敦和里碧山南路112號,"23.978485, 120.678426",1,21.0,草屯分局,,南投縣草屯鎮敦和里碧山南路112號
敦和國小,KRA00125,"南投縣草屯鎮敦和里敦和路72-6號 ","23.981948, 120.677905",,119.0,草屯分局,,南投縣草屯鎮敦和里敦和路72-6號
敦和國小,KRA00235,南投縣草屯鎮敦和里敦和路72-6號,"23.981948, 120.677905",1,94.0,草屯分局,,南投縣草屯鎮敦和里敦和路72-6號
敦和國小,KRA00300,南投縣草屯鎮敦和里敦和路72-6號,"23.981948, 120.677905",,50.0,草屯分局,,南投縣草屯鎮敦和里敦和路72-6號
一般住宅,KRA00121,南投縣草屯鎮敦和里仁愛街267號,"23.984837, 120.677835",,183.0,草屯分局,,南投縣草屯鎮敦和里仁愛街267號
美慶建設,KRA00308,"南投縣草屯鎮山腳里虎山路332巷23號 ","23.965007, 120.686925",1,3200.0,草屯分局,,南投縣草屯鎮山腳里虎山路332巷23號
一般住宅,KRA00238,南投縣草屯鎮山腳里虎山路438號,"23.967371, 120.687353",1,953.0,草屯分局,,南投縣草屯鎮山腳里虎山路438號
"漢鯨建設 ",KRA00257,南投縣草屯鎮山腳里虎山路256號,"23.963597, 120.685835",1,423.0,草屯分局,,南投縣草屯鎮山腳里虎山路256號
鴻銘建設,KRA00322,南投縣草屯鎮山腳里虎山路437號,"23.967371, 120.687201",1,743.0,草屯分局,,南投縣草屯鎮山腳里虎山路437號
一般住宅,KRA00215,"南投縣草屯鎮山腳里虎山路494號 ","23.968456, 120.687264",1,76.0,草屯分局,,南投縣草屯鎮山腳里虎山路494號
"水稻之歌  ",KRA00251,"南投縣草屯鎮山腳里富林路1段658號 ","23.969920, 120.688086",1,1091.0,草屯分局,,南投縣草屯鎮山腳里富林路1段658號
和康6期,KRA00298,"南投縣草屯鎮山腳里嘉興街51號 ","23.968171, 120.685960",1,266.0,草屯分局,,南投縣草屯鎮山腳里嘉興街51號
甜蜜家庭,KRA00293,南投縣草屯鎮山腳里正氣街78號,"23.968004, 120.686222",1,433.0,草屯分局,,南投縣草屯鎮山腳里正氣街78號
佑民醫院,KRA00094,南投縣草屯鎮山腳里太平路1段200號,"23.960817, 120.681765",1,845.0,草屯分局,,南投縣草屯鎮山腳里太平路1段200號
佑民醫院,KRA00246,"南投縣草屯鎮山腳里太平路1段200號 ","23.960817, 120.681765",1,272.0,草屯分局,,南投縣草屯鎮山腳里太平路1段200號
佑民醫院,KRA00249,南投縣草屯鎮山腳里太平路1段202號,"23.961063, 120.681649",1,504.0,草屯分局,,南投縣草屯鎮山腳里太平路1段202號
"台電公司 ",KRA00096,南投縣草屯鎮山腳里太平路1段42號,"23.956845, 120.681333",1,2102.0,草屯分局,,南投縣草屯鎮山腳里太平路1段42號
台電公司,KRA00108,南投縣草屯鎮山腳里太平路1段42號,"23.956845, 120.681333",1,495.0,草屯分局,,南投縣草屯鎮山腳里太平路1段42號
台電公司,KRA00116,南投縣草屯鎮山腳里太平路1段42號,"23.956845, 120.681333",1,852.0,草屯分局,,南投縣草屯鎮山腳里太平路1段42號
台電公司,KRA00117,南投縣草屯鎮山腳里太平路1段42號,"23.956845, 120.681333",1,1752.0,草屯分局,,南投縣草屯鎮山腳里太平路1段42號
一般住宅,KRA00239,南投縣草屯鎮山腳里正興街245號,"23.965638, 120.682876",1,1091.0,草屯分局,,南投縣草屯鎮山腳里正興街245號
宏柱建設,KRA00286,南投縣草屯鎮山腳里正興街187號,"23.964171, 120.682565",1,540.0,草屯分局,,南投縣草屯鎮山腳里正興街187號
孟慎建設（陽光大地）,KRA00278,"南投縣草屯鎮山腳里民生二街43號 ","23.967936, 120.684028",1,2414.0,草屯分局,,南投縣草屯鎮山腳里民生二街43號
"水稻之歌 ",KRA00289,南投縣草屯鎮山腳里虎山路153號,"23.960979, 120.685087",1,996.0,草屯分局,,南投縣草屯鎮山腳里虎山路153號
一般住宅,KRA00292,南投縣草屯鎮新厝里中興路210號,"23.973943, 120.686289",1,295.0,草屯分局,,南投縣草屯鎮新厝里中興路210號
一般住宅,KRA00260,"南投縣草屯鎮新厝里中興路212號 ","23.974043, 120.686166",1,441.0,草屯分局,,南投縣草屯鎮新厝里中興路212號
洋洋大觀管委會-李金水,KRA00283,南投縣草屯鎮新厝里中興路230號,"23.973991, 120.686605",1,441.0,草屯分局,,南投縣草屯鎮新厝里中興路230號
一般住宅,KRA00272,南投縣草屯鎮新厝里中興路178號,"23.974040, 120.685535",1,92.0,草屯分局,,南投縣草屯鎮新厝里中興路178號
華南銀行,KRA00020,南投縣草屯鎮和平里太平路二段331號,"23.977847, 120.683900",1,33.0,草屯分局,,南投縣草屯鎮和平里太平路二段331號
惠德宮,KRA00015,南投縣草屯鎮和平里太平路二段287號,"23.976517, 120.683393",1,80.0,草屯分局,,南投縣草屯鎮和平里太平路二段287號
一般住宅,KRA00213,南投縣草屯鎮和平里太平路二段339號,"23.978057, 120.684090",1,142.0,草屯分局,,南投縣草屯鎮和平里太平路二段339號
第一銀行,KRA00005,南投縣草屯鎮和平里太平路二段256號,"23.976824, 120.684008",1,60.0,草屯分局,,南投縣草屯鎮和平里太平路二段256號
王外科,KRA00006,南投縣草屯鎮和平里太平路二段231號,"23.974974, 120.683449",1,13.0,草屯分局,,南投縣草屯鎮和平里太平路二段231號
一般住宅,KRA00114,南投縣草屯鎮中山里草溪路1052號,"23.977396, 120.681990",1,28.0,草屯分局,,南投縣草屯鎮中山里草溪路1052號
一般住宅,KRA00118,南投縣草屯鎮中山里草溪路1048號,"23.977471, 120.682644",1,42.0,草屯分局,,南投縣草屯鎮中山里草溪路1048號
台灣聖教會,KRA00126,南投縣草屯鎮中山里中山街2號,"23.975123, 120.683614",1,143.0,草屯分局,,南投縣草屯鎮中山里中山街2號
一般住宅,KRA00180,南投縣草屯鎮中山里中山街25號,"23.974983, 120.682692",1,21.0,草屯分局,,南投縣草屯鎮中山里中山街25號
一般住宅,KRA00181,南投縣草屯鎮中山里中山街21號,"23.974940, 120.682861",1,21.0,草屯分局,,南投縣草屯鎮中山里中山街21號
一般住宅,KRA00313,南投縣草屯鎮中山里太平路2段97號,"23.971814, 120.683206",1,80.0,草屯分局,,南投縣草屯鎮中山里太平路2段97號
一般住宅,KRA00183,南投縣草屯鎮中山里太平路2段67號,"23.971121, 120.683082",1,36.0,草屯分局,,南投縣草屯鎮中山里太平路2段67號
一般住宅,KRA00184,南投縣草屯鎮中山里太平路2段69號,"23.971199, 120.682903",1,48.0,草屯分局,,南投縣草屯鎮中山里太平路2段69號
草屯菸葉廠配銷處,KRA00192,南投縣草屯鎮中山里成功路1段194號,"23.979995, 120.681186",1,321.0,草屯分局,,南投縣草屯鎮中山里成功路1段194號
一般住宅,KRA00362,南投縣草屯鎮新厝里新富二街50號,"23.970669, 120.683914",1,389.0,草屯分局,,南投縣草屯鎮新厝里新富二街50號
一般住宅,KRA00361,南投縣草屯鎮中山里明賢街112號,"23.976095, 120.681798",2,834.0,草屯分局,,南投縣草屯鎮中山里明賢街112號
一般住宅,KRA00360,南投縣草屯鎮中山里草溪路1070號1樓之1,"23.977642, 120.682062",2,450.0,草屯分局,,南投縣草屯鎮中山里草溪路1070號1樓之1
愛丁堡大樓,KRA00344,南投縣草屯鎮敦和里仁愛街76巷8號,"23.980299, 120.679153",1,322.0,草屯分局,,南投縣草屯鎮敦和里仁愛街76巷8號
養慧樓,KRA00345,南投縣草屯鎮山腳里民權東街106號,"23.964396, 120.686957",1,1537.0,草屯分局,,南投縣草屯鎮山腳里民權東街106號
草屯公有市場,KRA00346,南投縣草屯鎮和平里碧山路80號,"23.978195, 120.685082",2,3705.0,草屯分局,,南投縣草屯鎮和平里碧山路80號
一般住宅,KRA00347,南投縣草屯鎮中山里草鞋墩一街8號,"23.973939, 120.680539",2,4049.0,草屯分局,,南投縣草屯鎮中山里草鞋墩一街8號
草屯公有立體停車場,KRA00348,南投縣草屯鎮和平里虎山路819號,"23.976358, 120.685628",2,3969.0,草屯分局,,南投縣草屯鎮和平里虎山路819號
草屯鎮公所,KRA00349,南投縣草屯鎮中山里草鞋墩一街8號,"23.973939, 120.680539",1,4049.0,草屯分局,,南投縣草屯鎮中山里草鞋墩一街8號
水稻之歌,KRA00350,南投縣草屯鎮敦和里信義街139號,"23.981927, 120.675957",1,557.0,草屯分局,,南投縣草屯鎮敦和里信義街139號
敦和國小,KRA00351,南投縣草屯鎮敦和里敦和路72-6號,"23.981203, 120.678109",1,956.0,草屯分局,,南投縣草屯鎮敦和里敦和路72-6號
璞仁建設,KRA00352,南投縣草屯鎮敦和里敦和路133號,"23.981012, 120.674520",1,819.0,草屯分局,,南投縣草屯鎮敦和里敦和路133號
台電公司,KRA00353,南投縣草屯鎮山腳里太平路一段42號,"23.956825, 120.681376",2,2662.0,草屯分局,,南投縣草屯鎮山腳里太平路一段42號
一般住宅,KRA00354,南投縣草屯鎮新庄里芬草路二段417號,"23.993183, 120.668923",2,534.0,草屯分局,,南投縣草屯鎮新庄里芬草路二段417號
一般住宅,KRA00355,南投縣草屯鎮北投里北投路文教巷43號,"23.986945, 120.658846",1,200.0,草屯分局,,南投縣草屯鎮北投里北投路文教巷43號
一般住宅,KRA00363,南投縣草屯鎮新庄里芬草路二段417號1樓之1,"23.993056, 120.668837",2,534.0,草屯分局,,南投縣草屯鎮新庄里芬草路二段417號1樓之1
研習中心,KRA00110,南投縣草屯鎮南埔里南平路528號,"23.973950, 120.729602",1,328.0,草屯分局,,南投縣草屯鎮南埔里南平路528號
中原國小,KRA00356,南投縣草屯鎮中原里坪腳巷20號,"23.985036, 120.721637",1,1440.0,草屯分局,,南投縣草屯鎮中原里坪腳巷20號
環隆電子公司,KRA00281,南投縣草屯鎮上林里太平路1段351巷141號,"23.964809, 120.678225",1,1508.0,草屯分局,,南投縣草屯鎮上林里太平路1段351巷141號
環隆電子公司,KRA00381,南投縣草屯鎮上林里太平路1段351巷153號,"23.964806, 120.682298",1,1221.0,草屯分局,,南投縣草屯鎮上林里太平路1段351巷153號
舜邦建設,KRA00294,南投縣草屯鎮上林里太平路1段537號,"23.968813, 120.682535",1,660.0,草屯分局,,南投縣草屯鎮上林里太平路1段537號
上毅建設,KRA00230,南投縣草屯鎮上林里太平路1段307號,"23.963304, 120.681984",1,1073.0,草屯分局,,南投縣草屯鎮上林里太平路1段307號
環隆電子公司,KRA00318,南投縣草屯鎮上林里太平路1段351巷153號,"23.964963, 120.682212",1,6389.0,草屯分局,,南投縣草屯鎮上林里太平路1段351巷153號
將軍廟文教中心,KRA00287,南投縣草屯鎮南埔里中正路344-44號,"23.979103, 120.719314",1,1168.0,草屯分局,,南投縣草屯鎮南埔里中正路344-44號
一般住宅,KRA00357,南投縣草屯鎮上林里太平路1段443巷53號,"23.966857, 120.679306",1,206.0,草屯分局,,南投縣草屯鎮上林里太平路1段443巷53號
一般住宅,KRA00358,南投縣草屯鎮碧峰里碧山路1126-2號,"23.975582, 120.654848",1,547.0,草屯分局,,南投縣草屯鎮碧峰里碧山路1126-2號
雙冬國小,KRA00359,南投縣草屯鎮雙冬里中正路34號,"23.984384, 120.793416",1,200.0,草屯分局,,南投縣草屯鎮雙冬里中正路34號
龍安郵局,KRA00170,南投縣中寮鄉龍安村龍南路45-12號,"23.942000, 120.776538",1,111.0,草屯分局,,南投縣中寮鄉龍安村龍南路45-12號
中寮開閉所,KRA00109,南投縣中寮鄉復興村復興巷10號,"23.880786, 120.766903",1,866.0,草屯分局,,南投縣中寮鄉復興村復興巷10號
中寮國中,KRA00034,南投縣中寮鄉永平村初中巷16號,"23.880073, 120.764945",1,124.0,草屯分局,,南投縣中寮鄉永平村初中巷16號
大乘寶塔納骨塔,KRA00364,"南投縣草屯鎮御史里18鄰大覺路976 號","24.002849, 120.713070",1,453.0,草屯分局,,"南投縣草屯鎮御史里18鄰大覺路976 號"
大樓,KRA00365,南投縣草屯鎮御史里28鄰中正路權郎巷7號,"24.002094, 120.692306",1,1168.0,草屯分局,,南投縣草屯鎮御史里28鄰中正路權郎巷7號
光慧文教,KRA00366,南投縣草屯鎮山腳里民權東街102巷6號2樓,"23.964020, 120.686582",1,755.0,草屯分局,,南投縣草屯鎮山腳里民權東街102巷6號2樓
