類別,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,停車場坡道,備註
工廠,EVX10001,坑口里,桃園市蘆竹區大有街33號,"25.096359,121.27257",1,"377 ",蘆竹分局,,外社所
工廠,EVX10003,坑口里,桃園市蘆竹區山菓路76號,"25.08954, 121.27198",1,"408 ",蘆竹分局,,外社所
工廠,EVX10004,坑口里,桃園市蘆竹區海山路446號,"25.090204,121.276346",1,"154 ",蘆竹分局,,外社所
工廠,EVX10007,坑口里,桃園市蘆竹區海山路638號,"25.092668,121.271705",1,"562 ",蘆竹分局,,外社所
工廠,EVX10010,山腳里,桃園市蘆竹區山富街125號,"25.08403, 121.29064",1,"35 ",蘆竹分局,,外社所
工廠,EVX10011,坑口里,桃園市蘆竹區三德街54巷3號,"25.096854,121.269212",1,"66 ",蘆竹分局,,外社所
工廠,EVX10012,坑口里,桃園市蘆竹區大坑街24號,"25.107517,121.275876",1,"383 ",蘆竹分局,,外社所
工廠,EVX10013,坑口里,桃園市蘆竹區大坑街25號,"25.107876,121.275495",1,"155 ",蘆竹分局,,外社所
工廠,EVX10014,坑口里,桃園市蘆竹區三德街56號,"25.09745, 121.26915",1,"667 ",蘆竹分局,,外社所
工廠,EVX10015,濱海里,桃園市蘆竹區濱海路一段433號,"25.117398,121.262546",1,"54 ",蘆竹分局,,外社所
工廠,EVX10018,海湖里,桃園市蘆竹區海山路二段211號,"25.104077,121.258861",1,"86 ",蘆竹分局,,外社所
工廠,EVX10019,濱海里,桃園市蘆竹區中圳街180號,"25.109234,121.260375",1,"400 ",蘆竹分局,,外社所
工廠,EVX10020,海湖里,桃園市蘆竹區海湖51-6號,"25.10523, 121.26455",1,"277 ",蘆竹分局,,外社所
工廠,EVX10021,外社里,桃園市蘆竹區山林路二段90巷2號,"25.0833301, 121.2959592",1,"200 ",蘆竹分局,,外社所
工廠,EVX10022,外社里,桃園市蘆竹區山林路二段6號,"25.084734,121.294421",1,"184 ",蘆竹分局,,外社所
工廠,EVX10025,坑口里,桃園市蘆竹區大有街36號,"25.096243,121.272891",1,"197 ",蘆竹分局,,外社所
工廠,EVX10026,濱海里,桃園市蘆竹區濱海路一段238號,"25.111906,121.260289",1,"690 ",蘆竹分局,,外社所
工廠,EVX10027,海湖里,桃園市蘆竹區海山中街9號,"25.106635,121.258868",1,"4,608 ",蘆竹分局,O,外社所
工廠,EVX10029,濱海里,桃園市蘆竹區中圳街180號,"25.109234,121.260375",1,"830 ",蘆竹分局,,外社所
工廠,EVX10030,坑口里,桃園市蘆竹區大有街29號,"25.095715,121.271421",1,"265 ",蘆竹分局,,外社所
工廠,EVX10032,坑口里,桃園市蘆竹區三德街54巷7號,"25.101903,121.269554",1,"362 ",蘆竹分局,,外社所
工廠,EVX10033,海湖里,桃園市蘆竹區海山中街55號,"25.107476,121.261013",1,"1,866 ",蘆竹分局,O,外社所
工廠,EVX10034,坑口里,桃園市蘆竹區海湖東路292巷41號,"25.098375,121.272087",1,"898 ",蘆竹分局,O,外社所
工廠,EVX10035,坑口里,桃園市蘆竹區大坑街32號,"25.107973,121.275797",1,"423 ",蘆竹分局,,外社所
工廠,EVX10036,坑口里,桃園市蘆竹區大有街1號,"25.093872,121.268243",1,"16 ",蘆竹分局,,外社所
工廠,EVX10037,山腳里,桃園市蘆竹區海山路89號,"25.085692,121.284493",1,"578 ",蘆竹分局,,外社所
工廠,EVX10038,海湖里,桃園市蘆竹區海山中街51號,"25.107191,121.260377",1,"1,494 ",蘆竹分局,O,外社所
工廠,EVX10039,海湖里,桃園市蘆竹區(電力設施),",",1,"437 ",蘆竹分局,,外社所
工廠,EVX10040,濱海里,桃園市蘆竹區海湖北路309巷61號,"25.113561,121.263322",1,"272 ",蘆竹分局,,外社所
工廠,EVX10041,坑口里,桃園市蘆竹區和平街36號,"25.092784,121.277035",1,"208 ",蘆竹分局,,外社所
工廠,EVX10042,坑口里,桃園市蘆竹區大有街33號,"25.096359,121.27257",1,"963 ",蘆竹分局,,外社所
工廠,EVX10043,海湖里,桃園市蘆竹區海山中街51號,"25.107191,121.260377",1,"976 ",蘆竹分局,,外社所
工廠,EVX10044,外社里,桃園市蘆竹區山林路二段685號,"25.081876,121.309036",1,"90 ",蘆竹分局,,外社所
大樓,EVX10045,坑口里,桃園市蘆竹區海山路一段79號,"25.093098,121.267825",1,"742 ",蘆竹分局,O,外社所
工廠,EVX10046,山腳里,桃園市蘆竹區南山北路一段72號,"25.089252,121.28564",1,"3,959 ",蘆竹分局,O,外社所
工廠,EVX10047,坑口里,桃園市蘆竹區和平街36號,"25.092784,121.277035",1,"254 ",蘆竹分局,,外社所
工廠,EVX10048,坑口里,桃園市蘆竹區大有街11號,"25.094505,121.269487",1,"384 ",蘆竹分局,,外社所
工廠,EVX10049,坑口里,桃園市蘆竹區和平街36號,"25.092784,121.277035",1,"211 ",蘆竹分局,,外社所
工廠,EVX10050,海湖里,桃園市蘆竹區海湖北路309巷61號,"25.113561,121.263322",1,"428 ",蘆竹分局,,外社所
旅館,EVX10051,濱海里,桃園市蘆竹區海港路317號,"25.1097234,121.253821",1,"759 ",蘆竹分局,O,外社所
寺廟 ,EVW10117 ,新興里 ,桃園市蘆竹區大竹路1巷48號 ,"25.0109543, 121.2751322",1,2675,蘆竹分局 ,O,大竹所
大樓 ,EVW10118 ,上興里,桃園市蘆竹區中興四街2巷16號,"25.0204995,121.2625366",1,1058,蘆竹分局,O,大竹所
大樓,EVW10119,新莊里,桃園市蘆竹區大興路111號,"25.0205192, 121.2546019",1,851,蘆竹分局,O,大竹所
大樓,EVW10120,大竹里,桃園市蘆竹區大新三街175-3號,"25.0216374, 121.2559177",1,1078,蘆竹分局,O,大竹所
大樓,EVY10374,山鼻里 ,桃園市蘆竹區機捷路二段960號 ,"25.0812456, 121.2831231",1,764,蘆竹分局,O,南崁所
大樓,EVY10375 ,山鼻里 ,桃園市蘆竹區機捷路二段935巷51號 ,"25.0794733, 121.2833137",1,741,蘆竹分局,O,南崁所
民宅,EVY10376 ,山鼻里 ,桃園市蘆竹區機捷路二段826號 ,"25.0811788, 121.2870401",1,278,蘆竹分局,O,南崁所
大樓,EVY10377,山鼻里,桃園市蘆竹區機捷路二段771號,"25.0803857, 121.2870498",3,1393,蘆竹分局,O,南崁所
民宅,EVY10378,山鼻里,桃園市蘆竹區機捷路二段999巷23號,"25.0801254, 121.2818918",1,305,蘆竹分局,O,南崁所
工廠,EVY10379,山鼻里,桃園市蘆竹區南山路3段17巷10-1號,"25.0771758, 121.2831492",1,1711,蘆竹分局,O,南崁所
大樓,EVZ10070,富竹里,桃園市蘆竹區南竹路4段300巷50號,"25.0286146, 121.2627669",2,2239,蘆竹分局,O,南竹所
大樓,EVW10121,中興里,桃園市蘆竹區中興七街81號,"25.0143525, 121.2611905",2,1182,蘆竹分局,O,大竹所
政府機關,EVY10382,南崁里,桃園市蘆竹區(機敏單位),,1,904,蘆竹分局,,南崁所
大樓,EVY10380,山鼻里,桃園市蘆竹區機捷路二段999巷35號,"25.0797009, 121.2823294",1,334,蘆竹分局,O,南崁所
大樓,EVY10381,山鼻里,桃園市蘆竹區山鼻二路58號,"25.0792744, 121.2839703",1,3352,蘆竹分局,O,南崁所
大樓,EVY10383,山鼻里,桃園市蘆竹區機捷路二段633號,"25.0804899, 121.2911659",1,3038,蘆竹分局,O,南崁所
大樓,EVW10122,大竹里,桃園市蘆竹區新福街276號,"25.024170,121.257593",1,1927,蘆竹分局,O,大竹所
