編號,類別,村里別,地址,避難所在之地下樓層數,可容納人數,轄區分局,經度
239.0,住宅,廣民里,臺中市西區廣民里22鄰四維街62號,1.0,152.0,第一分局,"120.674314 "
240.0,住宅,廣民里,臺中市西區廣民里2鄰三民路一段193號,1.0,264.0,第一分局,"120.675563 "
241.0,住宅,廣民里,臺中市西區廣民里2鄰三民路一段199號,1.0,700.0,第一分局,"120.675711 "
242.0,住宅,廣民里,臺中市西區廣里民08鄰自立街19號,1.0,117.0,第一分局,"120.672095 "
243.0,住宅,廣民里,臺中市西區廣明里20鄰大明街27號,1.0,1296.0,第一分局,"120.674204 "
244.0,住宅,藍興里,臺中市西區藍興里04鄰仁福街12號,1.0,250.0,第一分局,"120.668650 "
245.0,住宅,藍興里,臺中市西區藍興里04鄰仁福街38號,1.0,285.0,第一分局,"120.668935 "
246.0,住宅,藍興里,臺中市西區藍興里04鄰仁福街41號,1.0,200.0,第一分局,"120.668878 "
247.0,住宅,藍興里,臺中市西區藍興里05鄰樂群街249號,1.0,3006.0,第一分局,"120.667304 "
248.0,住宅,藍興里,臺中市西區藍興里06鄰公館路179號,1.0,124.0,第一分局,"120.668211 "
249.0,住宅,藍興里,臺中市西區藍興里08鄰大全街55號,1.0,124.0,第一分局,"120.669437 "
250.0,住宅,藍興里,臺中市西區藍興里08鄰大全街69號,1.0,112.0,第一分局,"120.669152 "
251.0,住宅,藍興里,臺中市西區藍興里08鄰公館路117號,1.0,109.0,第一分局,"120.669893 "
