電腦編號,建築物名稱,里別,緯度,經度,避難樓層,容量,轄管分局,備註
C0093,公園麗景社區,新英里,24.938634,121.213641,B1B2,2149.0,平鎮分局,
C0094,平鎮區公所,新富里,24.945717,121.2183241,B1,639.0,平鎮分局,
C0095,傳世經典社區,北華里,24.945261,121.219446,B1B2,378.0,平鎮分局,
C0096,新榮國小,新勢里,24.952849,121.218359,B1,3193.0,平鎮分局,
C0097,城市CRV社區,金陵里,24.940305,121.221097,B1B2B3,2131.0,平鎮分局,
C0098,領袖王朝社區,新英里,24.941285,121.212253,B1,685.0,平鎮分局,
C0099,早安東京社區,北華里,24.941835,121.220268,B1B2,2168.0,平鎮分局,
C0100,典藏巴黎社區,金陵里,24.941798,121.22451,B1,164.0,平鎮分局,
C0101,平鎮高中,北興里,24.939916,121.218938,B1,1691.0,平鎮分局,
C0102,里仁為美社區,北華里,24.941635,121.220521,B1B2,1804.0,平鎮分局,
C0103,南區青年活動中心,新勢里,24.950773,121.216891,B1,4098.0,平鎮分局,
C0104,中壢國中,新勢里,24.950996,121.218798,B1,1323.0,平鎮分局,
C0105,源美亞典社區,新富里,24.942156,121.218792,B1B2B3,10319.0,平鎮分局,
C0106,台灣電力公司,新貴里,,,B1,270.0,平鎮分局,
C0107,天閱社區,新富里,24.943663,121.218211,B1B2B3,2222.0,平鎮分局,
C0108,兆發富御社區,北安里,24.953808,121.220141,B1B2,178.0,平鎮分局,
C0109,璟都大觀苑社區,新英里,24.940386,121.212841,B1B2B3,2771.0,平鎮分局,
C0110,新文華社區,金陵里,24.942694,121.2210781,B1B2B3,2154.0,平鎮分局,
C0111,璟都綠城市社區,新榮里,24.944169,121.21374,B1B2B3,1701.0,平鎮分局,
C0112,和瑞文華新站社區,北華里,24.942879,121.220925,B1B2B3,1337.0,平鎮分局,
C0113,竑門御天下社區,北安里,24.950209,121.214408,B1B2B3B4,841.0,平鎮分局,
C0114,揚明護理之家,北興里,24.937303,121.224292,B1,390.0,平鎮分局,
C0115,德育御品社區,新富里,24.945395,121.219081,B1,270.0,平鎮分局,
C0116,河美御景社區,新英里,24.939331,121.212689,B1B2B3,2352.0,平鎮分局,
C0117,1號公館社區,北華里,24.942747,121.219489,B1B2B3,988.0,平鎮分局,
C0118,葡萄王生技(股)公司,北興里,24.934014,121.225307,B1B2,3144.0,平鎮分局,
C0119,永春豐社區,新勢里,24.873549,121.213927,B1B2,667.0,平鎮分局,
C0120,豐湛第三期社區,金陵里,24.940302,121.220697,B1B2,627.0,平鎮分局,
C0121,鼎藏帝景社區,新勢里,24.94748,121.217302,B1B2B3,1240.0,平鎮分局,
C0122,悠遊郡社區,新榮里,24.943681,121.21366,B1B2B3,1237.0,平鎮分局,
C0123,鴻灃JIA社區,北華里,24.942583,121.219589,B1B2B3,552.0,平鎮分局,
C0124,平鎮新富市場綜合大樓,新英里,24.93964,121.21366,B1B2,1787.0,平鎮分局,
C0125,鴻灃RICH社區-鄭博文,新富里,24.943666,121.217897,B1B2B3,955.0,平鎮分局,
C0126,樸澍藏社區-鄧甦章,北安里,24.952532,121.220541,B1B2B3B4,1078.0,平鎮分局,
C0127,百川達硯,北勢里,24.947397,121.221681,B1B2B3,920.0,平鎮分局,
C0128,私人住宅,新貴里,24.932145,121.214342,B1,238.0,平鎮分局,
D0003,桃和液化氣製廠,東勢里,24.897232,121.249743,B1,193.0,平鎮分局,
D0006,青技精密工業(股)公司,東勢里,24.904563,121.243446,B1,143.0,平鎮分局,
D0007,龍國工業事務所,新安里,24.908361,121.251797,B1,262.0,平鎮分局,
D0009,嘉泰企業公司,東勢里,24.891371,121.2378647,B1,217.0,平鎮分局,
D0010,東安國小,東安里,24.91752,121.250291,B1,1052.0,平鎮分局,
D0020,龍門福星社區-,華安里,24.915549,121.249632,B1B2,1027.0,平鎮分局,
D0021,東勢活動中心,東勢里,24.910467,121.231471,B1,241.0,平鎮分局,
D0023,東方名園社區,華安里,24.912592,121.24942,B1,900.0,平鎮分局,
D0024,亞碩企業公司,建安里,24.910189,121.241244,B1,887.0,平鎮分局,
D0025,睿磊企業公司,建安里,24.911767,121.239896,B1,716.0,平鎮分局,
