"建築物名稱the names of the buildings","電腦編號 serial number",村里別village,"地址 address","緯經度 latitude and longitude","地下樓層數number of basement levels",可容納人數capacity,轄管分局jurisdiction,"備駐 notes"
屏東公園地下停車場,QMA02145,公園里,"屏東縣屏東市公園里09鄰仁愛路77號
","22.67667021843489, 120.49371342796546",1.2,7570.0,屏東分局,
環球購物中心大樓,QMA02250,公園里,屏東縣屏東市公園里09鄰仁愛路90號,"22.673218978286297, 120.49360011057077",1.2,5760.0,屏東分局,
國立屏東女中/活動中心,QMA02136,公園里,屏東縣屏東市公園里12鄰仁愛路94號,"22.674873575538374, 120.49380005474761",1,1615.0,屏東分局,共有4處、總計可容納人數3604人
國立屏東女中/綜合教學樓,QMA02137,公園里,屏東縣屏東市公園里12鄰仁愛路94號,"22.674873575538374, 120.49380005474761",1,823.0,屏東分局,共有4處、總計可容納人數3604人
國立屏東女中/進德樓,QMA02138,公園里,屏東縣屏東市公園里12鄰仁愛路94號,"22.674873575538374, 120.49380005474761",1,685.0,屏東分局,共有4處、總計可容納人數3604人
國立屏東女中/弘德樓,QMA02150,公園里,屏東縣屏東市公園里12鄰仁愛路94號,"22.67448854174481, 120.49497715608798",1,481.0,屏東分局,共有4處、總計可容納人數3604人
仁愛國小/南棟,QMA02140,公園里,屏東縣屏東市公園里18鄰仁愛路96號,"22.676103070522263, 120.49430062406462",1,830.0,屏東分局,共有4處、總計可容納人數3013人
仁愛國小/音樂館,QMA02141,公園里,屏東縣屏東市公園里18鄰仁愛路96號,"22.67695750056669, 120.49555830061486",1,298.0,屏東分局,共有4處、總計可容納人數3013人
仁愛國小/北棟,"QMA02151 ",公園里,屏東縣屏東市公園里18鄰仁愛路96號,"22.67692435568409, 120.49516759558709",1,950.0,屏東分局,共有4處、總計可容納人數3013人
仁愛國小/東棟,QMA02153,公園里,屏東縣屏東市公園里18鄰仁愛路96號,"22.676548002888318, 120.49536294998788",1,935.0,屏東分局,共有4處、總計可容納人數3013人
屏東縣體育館,QMA02062,公園里,屏東縣屏東市公園里13鄰勝利路9號,"22.677850265007518, 120.49382406824141",1,1433.0,屏東分局,
幸福公園地下停車場,QMA02144,公園里,屏東縣屏東市公園里26鄰勝利路31號,"22.67852416324023, 120.4914272036106",1.2,7565.0,屏東分局,
屏東醫院/復健大樓,QMA02141,公園里,屏東縣屏東市公園里12鄰自由路270號,"22.673571777071555, 120.49544520872321",1,4427.0,屏東分局,
屏東醫院/醫療大樓,QMA02249,公園里,屏東縣屏東市公園里12鄰自由路270-1號,"22.673571777071555, 120.49555249707679",1,1223.0,屏東分局,
屏東縣政府衛生局,QMA02155,公園里,屏東縣屏東市公園里12鄰自由路272號,"22.675178014466823, 120.49637478946418",1.2,5058.0,屏東分局,
衛福部/屏醫高齡大樓,QMA02143,公園里,屏東縣屏東市公園里01鄰公園路1號,"22.67275267834162, 120.49530027250198",1,1912.0,屏東分局,
馬光中醫診所,QMA02161,公園里,屏東縣屏東市公園里05鄰公園路19號,"22.67349014484859, 120.49314422352474",1,305.0,屏東分局,
富光大飯店,QMA02103,公園里,屏東縣屏東市公園里05鄰公園路19-7號,"22.673531767845564, 120.49291642208445",1,353.0,屏東分局,
中洲THEONE大樓,QMA02251,公園里,屏東縣屏東市公園里05鄰公園路21號,"22.67362557634074, 120.49301312591206",1.2,847.0,屏東分局,
郵局4支局,QMA02168,公園里,屏東縣屏東市公園里05鄰開封街7號,"22.676343568489095, 120.49077886824146",1,111.0,屏東分局,
—,QMA02179,公園里,屏東縣屏東市公園里05鄰開封街9號,"22.676279873202876, 120.4906731682415",1,111.0,屏東分局,
—,QMA02181,公園里,屏東縣屏東市公園里06鄰濟南街1號,"22.677046871928876, 120.49113682591225",1,77.0,屏東分局,共有2處、總計可容納人數154人
—,QMA02182,公園里,屏東縣屏東市公園里06鄰濟南街1號,"22.677046871928876, 120.49113682591225",1,77.0,屏東分局,共有2處、總計可容納人數154人
台電公司,QMA02167,公園里,屏東縣屏東市公園里06鄰濟南街3號,"22.676904871054756, 120.49171173940617",1,66.0,屏東分局,
—,QMA02185,公園里,屏東縣屏東市公園里06鄰濟南街5號,"22.677783170705844, 120.48899609707684",1,44.0,屏東分局,
國泰大樓/元大證券,QMA02134,公園里,屏東縣屏東市公園里21鄰濟南街10號,"22.677304570333174, 120.49094023940617",1,500.0,屏東分局,
—,QMA02177,公園里,屏東縣屏東市公園里10鄰天津街1號,"22.67643307347036, 120.48914838173535",1,100.0,屏東分局,
—,QMA02186,公園里,屏東縣屏東市公園里10鄰天津街4號,"22.676686767696044, 120.48929212406465",1,36.0,屏東分局,
—,QMA02073,中正里,屏東縣屏東市中正里08鄰中正路548號,"22.686218157921534, 120.49580261057096",1,51.0,屏東分局,
—,QMA02074,中正里,屏東縣屏東市中正里09鄰中正路582號,"22.686757959600804, 120.49639648358314",1,37.0,屏東分局,
—,QMA02075,中正里,屏東縣屏東市中正里09鄰中正路584號,"22.68683605185095, 120.49637356824152",1,37.0,屏東分局,
