類別,電腦編號,行政區,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註,"unnamed (1)","unnamed (2)","unnamed (3)","unnamed (4)","unnamed (5)","unnamed (6)"
一般建築,FS5888,區興仁里,興仁里,高雄市鳳山區興仁里中山路19巷1號,"22.620714,120.361654",1,437.0,鳳山分局,,,,,,,
一般建築,FS3786,區國泰里,國泰里,高雄市鳳山區國泰里五甲二路496號,"22.59709,120.334171",1,457.0,鳳山分局,,,,,,,
一般建築,FS1577,區文德里,文德里,高雄市鳳山區文德里文建街182號,"22.635494,120.347768",1,458.0,鳳山分局,,,,,,,
一般建築,FS1578,區文德里,文德里,高雄市鳳山區文德里文建街184號,"22.635625,120.347798",1,458.0,鳳山分局,,,,,,,
一般建築,FS1595,區文德里,文德里,高雄市鳳山區文德里文澄街93號,"22.643892,120.35283",1,460.0,鳳山分局,,,,,,,
一般建築,FS4908,區新樂里,新樂里,高雄市鳳山區新樂里崗山北街3號,"22.610534,120.338519",1,466.0,鳳山分局,,,,,,,
一般建築,FS2735,區忠孝里,忠孝里,高雄市鳳山區忠孝里光復路2段186之1號,"22.630042,120.341955",1,469.0,鳳山分局,,,,,,,
一般建築,FS2729,區忠孝里,忠孝里,高雄市鳳山區忠孝里光復路2段188號,"22.629694,120.341858",1,469.0,鳳山分局,,,,,,,
一般建築,FS1128,區文山里,文山里,高雄市鳳山區文山里文衡路153號,"22.63878,120.356198",1,478.0,鳳山分局,,,,,,,
一般建築,FS2732,區忠孝里,忠孝里,高雄市鳳山區忠孝里光復路2段254號,"22.629593,120.340202",1,488.0,鳳山分局,,,,,,,
一般建築,FS2571,區和興里,和興里,高雄市鳳山區和興里大東二路112號,"22.618687,120.358529",1,495.0,鳳山分局,,,,,,,
一般建築,FS1395,區文華里,文華里,高雄市鳳山區文華里文清街101號,"22.644894,120.352864",1,498.0,鳳山分局,,,,,,,
一般建築,FS5140,區瑞興里,瑞興里,高雄市鳳山區瑞興里瑞興路133號,"22.625993,120.36636",1,503.0,鳳山分局,,,,,,,
一般建築,FS2733,區鳳崗里,鳳崗里,高雄市鳳山區鳳崗里光復路65號,"22.628855,120.360183",1,513.0,鳳山分局,,,,,,,
一般建築,FS4109,區曹公里,曹公里,高雄市鳳山區曹公里曹公路36巷2號,"22.629937,120.357637",1,516.0,鳳山分局,,,,,,,
一般建築,FS1571,區文德里,文德里,高雄市鳳山區文德里青年路2段526號,"22.645472,120.349888",1,521.0,鳳山分局,,,,,,,
一般建築,FS6223,區鎮北里,鎮北里,高雄市鳳山區鎮北里鳳松路300號,"22.639261,120.363365",1,548.0,鳳山分局,,,,,,,
一般建築,FS1266,區文英里,文英里,高雄市鳳山區文英里八德路2段210號,"22.645697,120.353399",1,557.0,鳳山分局,,,,,,,
一般建築,FS2266,區老爺里,老爺里,高雄市鳳山區老爺里七聖街148號,"22.610232,120.347217",1,562.0,鳳山分局,,,,,,,
一般建築,FS0454,區協和里,協和里,高雄市鳳山區協和里自由路231號,"22.625447,120.350121",1,576.0,鳳山分局,,,,,,,
一般建築,FS1131,區文山里,文山里,高雄市鳳山區文山里八德路197號,"22.63817919,120.358089763234",1,584.0,鳳山分局,,,,,,,
一般建築,FS1891,區北門里,北門里,高雄市鳳山區北門里立人街23號,"22.63021,120.365123",1,585.0,鳳山分局,,,,,,,
一般建築,FS1892,區北門里,北門里,高雄市鳳山區北門里立人街25號,"22.630268,120.365022",1,585.0,鳳山分局,,,,,,,
一般建築,FS1268,區文英里,文英里,高雄市鳳山區文英里文英路65號,"22.637674,120.359905",1,593.0,鳳山分局,,,,,,,
一般建築,FS0529,區中和里,中和里,高雄市鳳山區中和里自由路224號,"22.625525,120.348803",1,604.0,鳳山分局,,,,,,,
一般建築,FS5690,區鳳東里,鳳東里,高雄市鳳山區鳳東里鳳東路73之1號,"22.626919,120.380486",1,612.0,鳳山分局,,,,,,,
一般建築,FS1613,區文德里,文德里,高雄市鳳山區文德里40鄰文濱路85號,"22.64231,120.348843",1,620.0,鳳山分局,,,,,,,
一般建築,FS6021,區鎮北里,鎮北里,高雄市鳳山區鎮北里經武路6號,"22.625893,120.362162",1,624.0,鳳山分局,,,,,,,
一般建築,FS5691,區鳳東里,鳳東里,高雄市鳳山區鳳東里鳳東路65之1號,"22.626995,120.380658",1,638.0,鳳山分局,,,,,,,
一般建築,FS4805,區新富里,新富里,高雄市鳳山區新富里新富路376號,"22.612793,120.343633",1,641.0,鳳山分局,,,,,,,
一般建築,FS5410,區福誠里,福誠里,高雄市鳳山區福誠里瑞順街48巷7號,"22.627631,120.370146",1,644.0,鳳山分局,,,,,,,
一般建築,FS0893,區文山里,文山里,高雄市鳳山區文山里濱山街10巷14號,"22.645112,120.351562",1,668.0,鳳山分局,,,,,,,
一般建築,FS6557,區鎮南里,鎮南里,高雄市鳳山區鎮南里鎮南街107號,"22.596961,120.330361",1,684.0,鳳山分局,,,,,,,
一般建築,FS3789,區國泰里,國泰里,高雄市鳳山區國泰里21鄰凱旋路256號,"22.613413,120.349378",2,685.0,鳳山分局,,,,,,,
一般建築,FS5626,區福興里,福興里,高雄市鳳山區福興里南安路5號,"22.587966,120.325692",1,689.0,鳳山分局,,,,,,,
一般建築,FS5740,區鳳崗里,鳳崗里,高雄市鳳山區鳳崗里光遠路70巷15號,"22.624276,120.366761",1,693.0,鳳山分局,,,,,,,
一般建築,FS1434,區文華里,文華里,高雄市鳳山區文華里文雅街19巷2號,"22.635064,120.354286",1,695.0,鳳山分局,,,,,,,
