電腦編號,建築物名稱,里別,緯度,經度,避難樓層,容量,轄管分局,備註,placemark_address
B079,一般大樓,中正里,24.856105,"121.218155 ",B1,623.0,龍潭分局,,桃園市龍潭區中正里龍華路479巷37號
B080,一般大樓,中山里,24.875121,"121.218067 ",B2,1042.0,龍潭分局,,桃園市龍潭區中山里福龍路3段216號
B081,一般大樓,中山里,24.863368,"121.218045 ",B3,2901.0,龍潭分局,,桃園市龍潭區中山里中正路261巷83號2樓
B082,一般大樓,上林里,24.861733,"121.212434 ",B2,302.0,龍潭分局,,桃園市龍潭區上林里神龍路130巷31號
B083,一般民宅,中正里,24.861403,"121.219897 ",B1,103.0,龍潭分局,,桃園市龍潭區中正里30鄰大同路168號
B084,一般民宅,中山里,24.866175,"121.210449 ",B2,126.0,龍潭分局,,桃園市龍潭區中山里41鄰中豐路中山段195號
B085,學校,中正里,24.857232,"121.215147 ",B1,1233.0,龍潭分局,,桃園市龍潭區神龍路346號
B086,一般大樓,中山里,24.868679,"121.213613 ",B2,1140.0,龍潭分局,,桃園市龍潭區中山里東龍路353號
B087,一般大樓,中山里,24.869847,"121.214738 ",B3,2424.0,龍潭分局,,桃園市龍潭區中山里大昌路一段10號
B088,一般大樓,中正里,24.858977,"121.218889 ",B2,960.0,龍潭分局,,桃園市龍潭區中正里中正路443號
C001,學校,武漢里,24.871208,"121.234395 ",B1,392.0,龍潭分局,,桃園市龍潭區武漢路100號
C002,工廠,九龍里,24.880707,"121.249107 ",B1,763.0,龍潭分局,,桃園市龍潭區中興路九龍段66-1號
C003,工廠,武漢里,24.871739,"121.233524 ",B1,385.0,龍潭分局,,桃園市龍潭區中興路317巷74弄7號
C004,工廠,九龍里,24.881744,"121.249924 ",B1,1621.0,龍潭分局,,桃園市龍潭區中興路九龍段50巷79號
C005,一般大樓,中興里,24.873405,"121.230198 ",B2,547.0,龍潭分局,,桃園市龍潭區中興路392巷9弄29衖17號
C006,一般大樓,黃唐里,24.877481,"121.228427 ",B2,390.0,龍潭分局,,桃園市龍潭區成功路283巷12弄9號
C007,一般大樓,永興里,24.871204,"121.228662 ",B1,212.0,龍潭分局,,桃園市龍潭區中興路461巷2弄31號
C008,一般大樓,九龍里,24.878144,"121.245959 ",B1,638.0,龍潭分局,,桃園市龍潭區九龍里中興路九龍段129巷135弄觀景樓社區 
C009,一般大樓,黃唐里,24.885931,"121.225986 ",B2,784.0,龍潭分局,,桃園市龍潭區龍平路563巷
C010,一般大樓,九龍里,24.867338,"121.230415 ",B1,650.0,龍潭分局,,桃園市龍潭區九龍里健行路345巷59弄1號
C011,一般大樓,中興里,24.876301,"121.231393 ",B3,1420.0,龍潭分局,,桃園市龍潭區中興里天龍四巷11號 
C012,一般大樓,東興里,24.873774,"121.235730 ",B2,822.0,龍潭分局,,桃園市龍潭區中興路211巷22弄1-12號
C014,工廠,九龍里,24.878168,"121.245797 ",B1,443.0,龍潭分局,,桃園市龍潭區九龍里中興路九龍段129巷91號
C015,一般大樓,東興里,24.872602,"121.236644 ",B2,2594.0,龍潭分局,,桃園市龍潭區中興路211巷70弄1號
C016,桃園高爾夫球場,九龍里,24.870008,"121.247979 ",B1,474.0,龍潭分局,,桃園市龍潭區九龍里悅華路100號
C017,一般住宅,永興里,24.872586,"121.229803 ",B1,46.0,龍潭分局,,桃園市龍潭區中興路433-1號
C020,一般大樓,永興里,24.870609,"121.226040 ",B1,297.0,龍潭分局,,桃園市龍潭區中興路513巷16號
C023,一般大樓,中興里,24.875569,"121.233877 ",B1,527.0,龍潭分局,,桃園市龍潭區中興路288巷45號
C024,工廠,九龍里,24.879732,"121.249753 ",B1,751.0,龍潭分局,,桃園市龍潭區九龍里中興路九龍段3巷13號
C025,工廠,九龍里,24.878508,"121.245658 ",B1,240.0,龍潭分局,,桃園市龍潭區九龍里中興路九龍段129巷91號
C026,工廠,九龍里,24.880157,"121.249002 ",B1,98.0,龍潭分局,,桃園市龍潭區九龍里中興路九龍段11號
C027,工廠,北興里,24.877518,"121.241831 ",B1,706.0,龍潭分局,,桃園市龍潭區北興里中興路18巷20號
C028,一般大樓,祥和里,24.885733,"121.239217 ",B3,1688.0,龍潭分局,,桃園市龍潭區龍平路1107巷55弄26號
C029,工廠,九龍里,24.878465,"121.245551 ",B1,63.0,龍潭分局,,桃園市龍潭區九龍里中興路九龍段129巷91號
C030,一般大樓,黃唐里,24.875587,"121.228082 ",B2,776.0,龍潭分局,,桃園市龍潭區黃唐里武中路20號 
C031,一般大樓,九龍里,24.864616,"121.225435 ",B1,486.0,龍潭分局,,桃園市龍潭區九龍里五福街317號2樓
C032,一般大樓,九龍里,24.857886,"121.225708 ",B1,266.0,龍潭分局,,桃園市龍潭區九龍里雙連街280號二樓
