編號,村里別,地址,避難所在之地下樓層數,可容納人數,轄區分局,經度,緯度,"unnamed (1)"
1168.0,潮洋里,臺中市西屯區潮洋里朝貴路60號,1.0,207.0,第六分局,"120.632838 ","24.163410 ",
1169.0,惠來里,臺中市西屯區惠來里惠中路二段35號,1.0,1725.0,第六分局,"120.641454 ","24.156369 ",
1170.0,惠來里,臺中市西屯區惠來里河南路三段157號,1.0,1921.0,第六分局,"120.639020 ","24.163782 ",
1171.0,惠來里,臺中市西屯區惠來里文中路168號,1.0,638.0,第六分局,"120.648957 ","24.164885 ",
1172.0,潮洋里,臺中市西屯區潮洋里朝富路81號,1.0,720.0,第六分局,"120.637550 ","24.166173 ",
1173.0,潮洋里,臺中市西屯區潮洋里臺灣大道三段713號,1.0,1287.0,第六分局,"120.634906 ","24.171780 ",
1174.0,惠來里,臺中市西屯區惠來里市政北六路16號,1.0,2120.0,第六分局,"120.641244 ","24.164041 ",
1175.0,惠來里,臺中市西屯區惠來里市政北二路25號,1.0,1716.0,第六分局,"120.642180 ","24.160336 ",
1176.0,惠來里,臺中市西屯區惠來里惠來路二段99號,1.0,663.0,第六分局,"120.640066 ","24.160826 ",
1177.0,潮洋里,臺中市西屯區潮洋里朝貴一街16號,1.0,947.0,第六分局,"120.635707 ","24.169837 ",
1178.0,惠來里,臺中市西屯區惠來里市政北一路58號,1.0,1515.0,第六分局,"120.643901 ","24.158763 ",
1179.0,惠來里,臺中市西屯區惠來里市政北一路355號,1.0,1281.0,第六分局,"120.637868 ","24.161332 ",
1180.0,惠來里,臺中市西屯區惠來里市政北六路28號,1.0,727.0,第六分局,"120.640012 ","24.164788 ",
1181.0,惠來里,臺中市西屯區惠來里惠中路一段198號,1.0,1343.0,第六分局,"120.642711 ","24.159596 ",
1182.0,潮洋里,臺中市西屯區潮洋里市政北二路386號,1.0,1670.0,第六分局,"120.633720 ","24.165489 ",
1183.0,惠來里,臺中市西屯區惠來里市政路386號,1.0,1990.0,第六分局,"120.640227 ","24.158809 ",
1184.0,惠來里,臺中市西屯區惠來里府會園道177號,1.0,774.0,第六分局,"120.648478 ","24.168915 ",
1185.0,惠來里,臺中市西屯區惠來里臺灣大道三段99號,2.0,11922.0,第六分局,"120.647296 ","24.161989 ",
1186.0,惠來里,臺中市西屯區惠來里市政北一路118號,1.0,523.0,第六分局,"120.642219 ","24.159503 ",
1187.0,惠來里,臺中市西屯區惠來里文心路二段201號,1.0,2400.0,第六分局,"120.647283 ","24.159600 ",
1188.0,惠來里,臺中市西屯區惠來里市政北七路166號,1.0,2501.0,第六分局,"120.641876 ","24.164878 ",
1189.0,惠來里,臺中市西屯區惠來里惠來路二段1號,1.0,2731.0,第六分局,"120.639283 ","24.159884 ",
1190.0,潮洋里,臺中市西屯區潮洋里青海南街77號,2.0,595.0,第六分局,"120.635371 ","24.172903 ",
1191.0,惠來里,臺中市西屯區惠來里市政北七路48號,6.0,7179.0,第六分局,"120.644558 ","24.163547 ",
1192.0,惠來里,臺中市西屯區惠來里臺灣大道三段389號,1.0,3540.0,第六分局,"120.641673 ","24.166288 ",
1193.0,惠來里,臺中市西屯區惠來里市政北七路147號,1.0,2497.0,第六分局,"120.641812 ","24.164366 ",
1194.0,惠來里,臺中市西屯區惠來里文心路二段93號,1.0,3200.0,第六分局,"120.646435 ","24.158089 ",
1195.0,惠來里,臺中市西屯區惠來里市政北二路21號,1.0,615.0,第六分局,"120.642608 ","24.160098 ",
1196.0,惠來里,臺中市西屯區惠來里市政北一路56號,1.0,5901.0,第六分局,"120.644758 ","24.158639 ",
1197.0,何成里,臺中市西屯區何成里臺灣大道2段857號,1.0,1371.0,第六分局,"120.651774 ","24.160976 ",
1198.0,惠來里,臺中市西屯區惠來里市政路535號,1.0,1212.0,第六分局,"120.636582 ","24.159866 ",
1199.0,惠來里,臺中市西屯區惠來里市政北一路258號,1.0,1059.0,第六分局,"120.638199 ","24.161701 ",
1200.0,惠來里,臺中市西屯區惠來里惠來路3段150號,1.0,111.0,第六分局,"120.647696 ","24.169065 ",
1201.0,潮洋里,臺中市西屯區潮洋里市政北二路230號,2.0,1881.0,第六分局,"120.637859 ","24.163671 ",
1202.0,何南里,臺中市西屯區何南里精明路18號,1.0,802.0,第六分局,"120.656822 ","24.157380 ",
1203.0,潮洋里,臺中市西屯區潮洋里臺灣大道3段565號,1.0,665.0,第六分局,"120.637773 ","24.169730 ",
