類別,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註,placemark_address
5樓公寓,信綠里,基隆市信義區正信路24之52號,"25.1315, 121.76141",1.0,225,第二分局,,"5樓公寓 信綠004 信綠里 基隆市信義區正信路24之52號 225 第二分局"
東信國小,信綠里,基隆市信義區正信路26號,"25.12872, 121.76013",1.0,170,第二分局,,"東信國小 信綠005 信綠里 基隆市信義區正信路26號 170 第二分局"
東信國小,信綠里,基隆市信義區正信路26號,"25.13136, 121.76001",1.0,288,第二分局,,"東信國小 信綠006 信綠里 基隆市信義區正信路26號 288 第二分局"
四海一家,信綠里,基隆市信義區東信路306號,"25.12872, 121.76013",1.0,182,第二分局,,"四海一家 信綠007 信綠里 基隆市信義區東信路306號 182 第二分局"
行政執行署,信綠里,基隆市信義區東信路169號,"25.12853, 121.76146",1.0,209,第二分局,,"行政執行署 信綠008 信綠里 基隆市信義區東信路169號 209 第二分局"
7樓電梯,信綠里,基隆市信義區正信路35號,"25.12872, 121.76013",1.0,98,第二分局,,"7樓電梯 信綠009 信綠里 基隆市信義區正信路35號 98 第二分局"
正信華廈,信綠里,基隆市信義區正信路215號,"25.12879, 121.74989",1.0,278,第二分局,,"正信華廈 信綠010 信綠里 基隆市信義區正信路215號 278 第二分局"
7樓電梯,信綠里,基隆市信義區正信路95號,"25.13072, 121.76097",1.0,157,第二分局,,"7樓電梯 信綠011 信綠里 基隆市信義區正信路95號 157 第二分局"
名仕麗廈,信綠里,基隆市信義區正信路179號,"25.13185, 121.76014",1.0,791,第二分局,,"名仕麗廈 信綠013 信綠里 基隆市信義區正信路179號 791 第二分局"
9樓電梯,信綠里,基隆市信義區正信路223號,"25.13449, 121.76061",2.0,279,第二分局,,"9樓電梯 信綠014 信綠里 基隆市信義區正信路223號 279 第二分局"
正信華廈,信綠里,基隆市信義區正信路213號,"25.12872, 121.76013",1.0,99,第二分局,,"正信華廈 信綠015 信綠里 基隆市信義區正信路213號 99 第二分局"
翰林苑,信綠里,基隆市信義區正信路49號,"25.13, 121.76102",2.0,171,第二分局,,"翰林苑 信綠016 信綠里 基隆市信義區正信路49號 171 第二分局"
身心障礙福利服務中心,信綠里,基隆市信義區東信路282之45號,"25.12981, 121.76213",1.0,989,第二分局,,"身心障礙福利服務中心 信綠017 信綠里 基隆市信義區東信路282之45號 989 第二分局"
7樓電梯,信綠里,基隆市信義區正信路175巷15之5號,"25.13219, 121.75914",2.0,144,第二分局,,"7樓電梯 信綠018 信綠里 基隆市信義區正信路175巷15之5號 144 第二分局"
東信國小,信綠里,基隆市信義區正信路26號,"25.12872, 121.76013",1.0,579,第二分局,,"東信國小 信綠019 信綠里 基隆市信義區正信路26號 579 第二分局"
東信國小,信綠里,基隆市信義區正信路26號,"25.13527, 121.74738",1.0,660,第二分局,,"東信國小 信綠020 信綠里 基隆市信義區正信路26號 660 第二分局"
地面5層地下1層公寓,建國里,基隆市中正區祥豐街335號,"25.14448, 121.76708",1.0,854,第二分局,,"地面5層地下1層公寓 建國001 建國里 基隆市中正區祥豐街335號 854 第二分局"
財政部基隆關,建國里,基隆市中正區祥豐街198巷6號,"25.14449, 121.76756",1.0,1002,第二分局,,"財政部基隆關 建國002 建國里 基隆市中正區祥豐街198巷6號 1002 第二分局"
私立二信高級中學,建國里,基隆市中正區立德路243號,"25.1439, 121.77151",1.0,632,第二分局,,"私立二信高級中學 建國003 建國里 基隆市中正區立德路243號 632 第二分局"
7樓電梯大樓,建國里,基隆市中正區立德路188號之1,"25.14371, 121.77012",1.0,118,第二分局,,"7樓電梯大樓 建國004 建國里 基隆市中正區立德路188號之1 118 第二分局"
海洋學園,建國里,基隆市中正區祥豐街237號,"25.15054, 121.77577",1.0,1502,第二分局,,"海洋學園 建國005 建國里 基隆市中正區祥豐街237號 1502 第二分局"
私立二信高級中學,建國里,基隆市中正區立德路243號,"25.1439, 121.77151",1.0,1514,第二分局,,"私立二信高級中學 建國006 建國里 基隆市中正區立德路243號 1514 第二分局"
正濱國小,建國里,基隆市中正區祥豐街216號,"25.14664, 121.77063",1.0,474,第二分局,,"正濱國小 建國007 建國里 基隆市中正區祥豐街216號 474 第二分局"
正濱國小,建國里,基隆市中正區祥豐路216號,"25.14664, 121.77063",1.0,2202,第二分局,,"正濱國小 建國009 建國里 基隆市中正區祥豐路216號 2202 第二分局"
