類別,電腦編號,村里別,地址,地下樓層數,可容納人數,轄管分局,備註,placemark_address
榮民服務處,127.0,林頭里,雲林縣斗六市林頭里榮譽路160號,1.0,188.0,斗六分局,,雲林縣斗六市林頭里榮譽路160號
公寓,128.0,社口里,雲林縣斗六市社口里中山路173號,1.0,129.0,斗六分局,,雲林縣斗六市社口里中山路173號
公寓,129.0,社口里,雲林縣斗六市社口里4鄰六合街25號,1.0,841.0,斗六分局,,雲林縣斗六市社口里4鄰六合街25號
公寓,130.0,社口里,雲林縣斗六市社口里中山路171巷9-1號,1.0,433.0,斗六分局,,雲林縣斗六市社口里中山路171巷9-1號
大樓,131.0,社口里,雲林縣斗六市社口里22鄰南揚街64至68號,1.0,458.0,斗六分局,,雲林縣斗六市社口里22鄰南揚街64至68號
公寓,132.0,社口里,雲林縣斗六市社口里鎮南路100巷42號,1.0,172.0,斗六分局,,雲林縣斗六市社口里鎮南路100巷42號
公寓,133.0,社口里,雲林縣斗六市社口里13鄰鎮南路100巷45號,1.0,657.0,斗六分局,,雲林縣斗六市社口里13鄰鎮南路100巷45號
公寓,134.0,社口里,雲林縣斗六市社口里15鄰大智街58號,1.0,2694.0,斗六分局,,雲林縣斗六市社口里15鄰大智街58號
公寓,135.0,社口里,雲林縣斗六市社口里大智街11號,1.0,4053.0,斗六分局,,雲林縣斗六市社口里大智街11號
公寓,136.0,社口里,雲林縣斗六市社口里大智街82-1號,1.0,180.0,斗六分局,,雲林縣斗六市社口里大智街82-1號
公寓,137.0,社口里,雲林縣斗六市社口里13鄰鎮南路100巷45號,1.0,3464.0,斗六分局,,雲林縣斗六市社口里13鄰鎮南路100巷45號
公寓,138.0,社口里,雲林縣斗六市社口里中山路171巷36號,1.0,130.0,斗六分局,,雲林縣斗六市社口里中山路171巷36號
雲林縣消防局,139.0,社口里,雲林縣斗六市社口里5鄰府前街56號,1.0,254.0,斗六分局,,雲林縣斗六市社口里5鄰府前街56號
不公開,140.0,社口里,雲林縣斗六市社口里鎮南路67號,1.0,160.0,斗六分局,,雲林縣斗六市社口里鎮南路67號
"V-MAX KTV",141.0,社口里,雲林縣斗六市社口里中山路145號,1.0,414.0,斗六分局,,雲林縣斗六市社口里中山路145號
鎮南國小健身館,142.0,社口里,雲林縣斗六市社口里22鄰南揚街60號,1.0,3458.0,斗六分局,,雲林縣斗六市社口里22鄰南揚街60號
鎮南國小力學樓,143.0,社口里,雲林縣斗六市社口里22鄰南揚街60號,1.0,2258.0,斗六分局,,雲林縣斗六市社口里22鄰南揚街60號
鎮南國小敦品樓,144.0,社口里,雲林縣斗六市社口里22鄰南揚街60號,1.0,1380.0,斗六分局,,雲林縣斗六市社口里22鄰南揚街60號
鎮南國小,145.0,社口里,雲林縣斗六市社口里22鄰南揚街60號,1.0,2370.0,斗六分局,,雲林縣斗六市社口里22鄰南揚街60號
公寓,146.0,虎溪里,雲林縣斗六市虎溪里正心路70巷7號,1.0,141.0,斗六分局,,雲林縣斗六市虎溪里正心路70巷7號
公寓,147.0,虎溪里,雲林縣斗六市虎溪里正心路70巷10號,1.0,112.0,斗六分局,,雲林縣斗六市虎溪里正心路70巷10號
公寓,148.0,虎溪里,雲林縣斗六市虎溪里正心路70巷5號,1.0,141.0,斗六分局,,雲林縣斗六市虎溪里正心路70巷5號
經濟部工業局,149.0,虎溪里,雲林縣斗六市虎溪里科工六路6號,1.0,150.0,斗六分局,,雲林縣斗六市虎溪里科工六路6號
正心中學(行政樓),150.0,虎溪里,雲林縣斗六市虎溪里正心路1號,1.0,1042.0,斗六分局,,雲林縣斗六市虎溪里正心路1號
正心中學(教室),151.0,虎溪里,雲林縣斗六市虎溪里正心路1號,1.0,1418.0,斗六分局,,雲林縣斗六市虎溪里正心路1號
裕源紡織廠,152.0,虎溪里,雲林縣斗六市虎溪里西平426路1號,1.0,104.0,斗六分局,,雲林縣斗六市虎溪里西平426路1號
上銀科技股份有限公司B棟,153.0,虎溪里,斗六市虎溪里23鄰雲科路三段128號,1.0,774.0,斗六分局,,斗六市虎溪里23鄰雲科路三段128號
上銀科技股份有限公司C棟,154.0,虎溪里,斗六市虎溪里23鄰雲科路三段129號,1.0,452.0,斗六分局,,斗六市虎溪里23鄰雲科路三段129號
不公開,155.0,虎溪里,雲林縣斗六市虎溪里雲科路3段78號,1.0,502.0,斗六分局,,雲林縣斗六市虎溪里雲科路3段78號
常陽興業,156.0,虎溪里,雲林縣斗六市虎溪里雲科路3段37號,1.0,705.0,斗六分局,,雲林縣斗六市虎溪里雲科路3段37號
佑升公司,157.0,虎溪里,雲林縣斗六市虎溪里雲科路3段87號,1.0,234.0,斗六分局,,雲林縣斗六市虎溪里雲科路3段87號
凱韋公司,158.0,虎溪里,雲林縣斗六市虎溪里雲科路3段86號,1.0,472.0,斗六分局,,雲林縣斗六市虎溪里雲科路3段86號
豐泰公司,159.0,虎溪里,雲林縣斗六市虎溪里科工八路52號,1.0,2174.0,斗六分局,,雲林縣斗六市虎溪里科工八路52號
巧新公司,160.0,虎溪里,雲林縣斗六市虎溪里雲科路3段82號,1.0,282.0,斗六分局,,雲林縣斗六市虎溪里雲科路3段82號
金居開發銅箔公司,161.0,虎溪里,雲林縣斗六市虎溪里科工八路56號,1.0,2572.0,斗六分局,,雲林縣斗六市虎溪里科工八路56號
華鮮食品,162.0,虎溪里,雲林縣斗六市虎溪里科工一路3號,1.0,242.0,斗六分局,,雲林縣斗六市虎溪里科工一路3號
