編號,村里別,地址,可容納人數,轄區分局,經度,緯度,避難所在之地下樓層數
215.0,豐榮里,臺中市豐原區豐榮里三民路98號,61.0,豐原分局,"120.720426 ","24.253717 ",1.0
216.0,豐榮里,臺中市豐原區豐榮里三民路118號,3.0,豐原分局,"120.719810 ","24.253639 ",1.0
217.0,豐榮里,臺中市豐原區豐榮里三民路106號,203.0,豐原分局,"120.720183 ","24.253686 ",1.0
218.0,豐榮里,臺中市豐原區豐榮里三民路104號,61.0,豐原分局,"120.720286 ","24.253703 ",1.0
219.0,豐榮里,臺中市豐原區豐榮里三民路102號,61.0,豐原分局,"120.720335 ","24.253709 ",1.0
220.0,豐榮里,臺中市豐原區豐榮里三民路100號,61.0,豐原分局,"120.720382 ","24.253713 ",1.0
221.0,豐榮里,臺中市豐原區豐榮里三民路151號,61.0,豐原分局,"120.718345 ","24.253281 ",1.0
222.0,豐榮里,臺中市豐原區豐榮里三民路145號,51.0,豐原分局,"120.718436 ","24.253291 ",1.0
223.0,豐榮里,臺中市豐原區豐榮里中正路212巷13號,115.0,豐原分局,"120.718048 ","24.252374 ",1.0
224.0,豐榮里,臺中市豐原區豐榮里和平街45巷23號,27.0,豐原分局,"120.719129 ","24.253052 ",1.0
225.0,豐榮里,臺中市豐原區豐榮里信義街148號,88.0,豐原分局,"120.718847 ","24.253011 ",1.0
226.0,豐榮里,臺中市豐原區豐榮里信義街158號,14.0,豐原分局,"120.718834 ","24.253263 ",1.0
227.0,豐榮里,臺中市豐原區豐榮里和平街45巷9號,20.0,豐原分局,"120.719421 ","24.253060 ",1.0
228.0,豐榮里,臺中市豐原區豐榮里和平街45巷7號,47.0,豐原分局,"120.719465 ","24.253063 ",1.0
229.0,豐榮里,臺中市豐原區豐榮里和平街45巷10號,203.0,豐原分局,"120.719544 ","24.253145 ",1.0
230.0,豐榮里,臺中市豐原區豐榮里和平街45巷8號,14.0,豐原分局,"120.719544 ","24.253145 ",1.0
231.0,豐榮里,臺中市豐原區豐榮里和平街45巷6號,11.0,豐原分局,"120.719588 ","24.253149 ",1.0
232.0,豐榮里,臺中市豐原區豐榮里三民路95號,34.0,豐原分局,"120.719728 ","24.253464 ",1.0
233.0,豐榮里,臺中市豐原區豐榮里和平街46號,54.0,豐原分局,"120.719962 ","24.252955 ",1.0
234.0,豐榮里,臺中市豐原區豐榮里三民路83號,5.0,豐原分局,"120.720198 ","24.253536 ",1.0
235.0,豐榮里,臺中市豐原區豐榮里和平街37號,11.0,豐原分局,"120.719815 ","24.252969 ",1.0
236.0,豐榮里,臺中市豐原區豐榮里三民路108號,34.0,豐原分局,"120.720028 ","24.253668 ",1.0
237.0,豐榮里,臺中市豐原區豐榮里和平街58號,121.0,豐原分局,"120.719950 ","24.253250 ",1.0
238.0,豐榮里,臺中市豐原區豐榮里源豐路158號,899.0,豐原分局,"120.717541 ","24.253927 ",1.0
239.0,圳寮里,臺中市豐原區圳寮里豐洲路73巷54號,27.0,豐原分局,"120.713911 ","24.255261 ",1.0
